	PCA_X	PCA_Y	tsne_X	tsne_Y	fittsne_X	fittsne_Y	umap_X	umap_Y
O24	7.21126959889775	1.225732271774849	-36.4794807434082	35.86888122558594	7.7661203053812695	0.960806628655008	4.721948623657227	-5.4123640060424805
O26	11.718733365498954	1.1624624719765422	-26.017017364501953	23.730531692504883	4.494820401982965	-0.8071510820673059	4.045532703399658	-5.753130912780762
O31	7.864315764266388	-12.933619091767083	-55.27749252319336	10.102226257324219	6.95058934837895	-5.956971548457305	5.494014263153076	-6.583747863769531
O32	-11.621685016506516	-1.7450494892544464	-26.541275024414062	-3.626171350479126	0.1190382076028796	-9.847104195768644	5.957918643951416	-6.866759300231934
O34	9.884812947236863	21.39696712885139	52.65336608886719	18.35592269897461	-1.951774294696995	10.741436483073027	4.9429030418396	-3.517874002456665
O35	33.71712628010182	-4.703526747833074	61.95269775390625	72.42326354980469	5.0490651781756535	16.854160377237047	3.912663459777832	-2.173600435256958
O36	-11.228928379699466	-8.307057460674493	2.700140953063965	-32.463966369628906	-7.001605073962769	-5.647303528432023	4.995657920837402	-7.759097099304199
O39	13.143644390221338	1.4079998683453925	-39.47216033935547	43.010311126708984	8.606883825395403	1.8941209726886228	4.931087970733643	-5.209513187408447
O41	14.793159100415988	-6.952750471304236	-14.376391410827637	26.602943420410156	2.2021231847421885	0.22594477212037486	3.8621490001678467	-6.273878574371338
O44	-11.029027672026428	-1.8223722929508042	-66.18762969970703	21.109722137451172	-7.0908134271112475	-11.25836298369916	5.058933734893799	-7.19042444229126
O46	-13.817069629393995	-2.9525846235763273	-18.957706451416016	-30.91303062438965	-5.347452833334713	-7.357989269064088	4.801454544067383	-6.627858638763428
O47	-12.161744343131453	-6.011220388481387	-10.06609058380127	-23.80402374267578	-5.54131629980705	-4.898972752317462	4.692476749420166	-7.982650279998779
O48	-10.005186192029372	-9.771278483948729	0.9857556819915771	-49.94976806640625	-10.565660873128579	-5.617705550584096	4.638636589050293	-8.480306625366211
O49	22.941241121793034	-0.9090643791899422	44.135162353515625	54.42545700073242	4.9848474418367354	12.420827190641713	3.540271282196045	-2.8359460830688477
O54	24.254514485610066	-2.081066002985369	65.72504425048828	80.06094360351562	4.43117205045801	18.30327444475234	3.8964827060699463	-2.2667946815490723
O55	25.627613692808858	-5.435697498924917	61.65375518798828	58.661136627197266	7.015560873745677	17.90207147468739	3.6588501930236816	-1.9049022197723389
O56	-3.791462408837106	-7.073471951851335	-68.64888763427734	-17.633899688720703	-7.1873226241276775	-8.53345245148476	4.814518451690674	-6.305770397186279
O58	-1.4237935542833315	12.731079527692607	32.621089935302734	14.491838455200195	-0.7029736573148803	6.580594632102484	5.417084693908691	-4.501480579376221
O60	17.283864978183622	-5.891628105817036	41.59579849243164	68.24620819091797	7.558874001093966	13.127318287900282	3.3975436687469482	-2.3469431400299072
