status	family	pval	qval	gene_short_name	num_cells_expressed	use_for_ordering
1700128F08Rik	OK	negbinomial.size	0.0566714048624107	0.470284534967673	1700128F08Rik	31	FALSE
1810009A15Rik	OK	negbinomial.size	0.939522099645532	0.999999999737279	1810009A15Rik	34	FALSE
1810010H24Rik	OK	negbinomial.size	0.187791078382031	0.763501345401442	1810010H24Rik	6	FALSE
1810013L24Rik	OK	negbinomial.size	0.611653990754575	0.984187020677871	1810013L24Rik	27	FALSE
1810014B01Rik	OK	negbinomial.size	0.745213329267501	0.999999999737279	1810014B01Rik	20	FALSE
1810024B03Rik	OK	negbinomial.size	0.296908298122373	0.861325788544022	1810024B03Rik	8	FALSE
1810030O07Rik	OK	negbinomial.size	0.976059555946838	0.999999999737279	1810030O07Rik	33	FALSE
1810032O08Rik	OK	negbinomial.size	0.488991934709045	0.957488162126501	1810032O08Rik	25	FALSE
1810037I17Rik	OK	negbinomial.size	0.698597050182594	0.999999999737279	1810037I17Rik	38	FALSE
1810049J17Rik	OK	negbinomial.size	0.0126858043957632	0.192999491218437	1810049J17Rik	8	FALSE
1810055G02Rik	OK	negbinomial.size	0.593904343783218	0.980264147490807	1810055G02Rik	22	FALSE
2010109I03Rik	OK	negbinomial.size	0.692296215995869	0.999959400056494	2010109I03Rik	32	FALSE
2010111I01Rik	OK	negbinomial.size	0.293127495110637	0.858590668072638	2010111I01Rik	33	FALSE
2010300C02Rik	OK	negbinomial.size	0.0175601980499567	0.235636119867649	2010300C02Rik	6	FALSE
2010315B03Rik	OK	negbinomial.size	0.170803382188794	0.740751617474518	2010315B03Rik	32	FALSE
2200002D01Rik	OK	negbinomial.size	0.51658872833726	0.963188957974354	2200002D01Rik	6	FALSE
2210010C04Rik	OK	negbinomial.size	0.337514722090954	0.89115447554938	2210010C04Rik	10	FALSE
2210016F16Rik	OK	negbinomial.size	0.352843368940494	0.899449153784558	2210016F16Rik	24	FALSE
2210016L21Rik	OK	negbinomial.size	0.927498921043616	0.999999999737279	2210016L21Rik	37	FALSE
2210017I01Rik	OK	negbinomial.size	0.448588740508052	0.941629164077038	2210017I01Rik	21	FALSE
2210408I21Rik	OK	negbinomial.size	0.845598424200728	0.999999999737279	2210408I21Rik	9	FALSE
2210418O10Rik	OK	negbinomial.size	0.390188956763345	0.914765966693357	2210418O10Rik	35	FALSE
2300009A05Rik	OK	negbinomial.size	0.514167209062785	0.963188957974354	2300009A05Rik	32	FALSE
2310009B15Rik	OK	negbinomial.size	0.388089090847753	0.914664864798908	2310009B15Rik	30	FALSE
2310011J03Rik	OK	negbinomial.size	0.556237158232751	0.970835882740574	2310011J03Rik	23	FALSE
2310022B05Rik	OK	negbinomial.size	0.117429084635877	0.637745358988028	2310022B05Rik	11	FALSE
2310030G06Rik	OK	negbinomial.size	0.0621749238354729	0.499812901632205	2310030G06Rik	6	FALSE
2310033P09Rik	OK	negbinomial.size	0.183866529468715	0.760088799683647	2310033P09Rik	20	FALSE
2310039H08Rik	OK	negbinomial.size	0.064838887861977	0.510949370761834	2310039H08Rik	11	FALSE
2310057M21Rik	OK	negbinomial.size	0.679770650756378	0.998538676306326	2310057M21Rik	38	FALSE
2310061I04Rik	OK	negbinomial.size	0.529835091615066	0.96343578806849	2310061I04Rik	34	FALSE
2410002F23Rik	OK	negbinomial.size	0.636931103942627	0.989521785601159	2410002F23Rik	32	FALSE
2410004B18Rik	OK	negbinomial.size	0.826556035173175	0.999999999737279	2410004B18Rik	34	FALSE
2410004P03Rik	OK	negbinomial.size	0.0223280155818713	0.272712338202874	2410004P03Rik	23	FALSE
2410024N13Rik	OK	negbinomial.size	8.13413453614496e-05	0.00458785027191103	2410024N13Rik	12	FALSE
2410131K14Rik	OK	negbinomial.size	0.427014347848792	0.930418813147533	2410131K14Rik	33	FALSE
2410141K09Rik	OK	negbinomial.size	0.360902780446722	0.903769405849238	2410141K09Rik	8	FALSE
2510002D24Rik	OK	negbinomial.size	0.757794736986294	0.999999999737279	2510002D24Rik	34	FALSE
2510009E07Rik	OK	negbinomial.size	0.741183155376515	0.999999999737279	2510009E07Rik	15	FALSE
2510039O18Rik	OK	negbinomial.size	0.749496969255789	0.999999999737279	2510039O18Rik	18	FALSE
2610001J05Rik	OK	negbinomial.size	0.990437584188824	0.999999999737279	2610001J05Rik	30	FALSE
2610002M06Rik	OK	negbinomial.size	0.618813683835103	0.985995631719328	2610002M06Rik	32	FALSE
2610005L07Rik	OK	negbinomial.size	0.88804980642194	0.999999999737279	2610005L07Rik	38	FALSE
2610008E11Rik	OK	negbinomial.size	0.808180584562509	0.999999999737279	2610008E11Rik	26	FALSE
2610021A01Rik	OK	negbinomial.size	0.0750591256081569	0.540449075149547	2610021A01Rik	15	FALSE
2610028H24Rik	OK	negbinomial.size	0.951227733550863	0.999999999737279	2610028H24Rik	12	FALSE
2610042L04Rik	OK	negbinomial.size	0.491934174787669	0.958725033667041	2610042L04Rik	13	FALSE
2610044O15Rik8	OK	negbinomial.size	0.491546094537333	0.958725033667041	2610044O15Rik8	37	FALSE
2610301B20Rik	OK	negbinomial.size	0.289474236585421	0.855292809331923	2610301B20Rik	30	FALSE
2610318N02Rik	OK	negbinomial.size	0.644031243784699	0.99089970143188	2610318N02Rik	11	FALSE
2610507B11Rik	OK	negbinomial.size	0.459952165925792	0.947018412887096	2610507B11Rik	38	FALSE
2700049A03Rik	OK	negbinomial.size	0.340860340401383	0.893946891948157	2700049A03Rik	14	FALSE
2700062C07Rik	OK	negbinomial.size	0.299643572382215	0.865255893195261	2700062C07Rik	18	FALSE
2700081O15Rik	OK	negbinomial.size	0.462611208261586	0.948389303431924	2700081O15Rik	14	FALSE
2700099C18Rik	OK	negbinomial.size	0.0702132791551756	0.526824334022472	2700099C18Rik	16	FALSE
2810004N23Rik	OK	negbinomial.size	0.373666245231704	0.91150068805426	2810004N23Rik	32	FALSE
2810006K23Rik	OK	negbinomial.size	0.31388146641956	0.875325388002788	2810006K23Rik	28	FALSE
2810021J22Rik	OK	negbinomial.size	0.797121036438437	0.999999999737279	2810021J22Rik	6	FALSE
2810025M15Rik	OK	negbinomial.size	0.273300631565696	0.840744147894544	2810025M15Rik	21	FALSE
2810039B14Rik	OK	negbinomial.size	0.339987396205923	0.893094494955921	2810039B14Rik	35	FALSE
2900011O08Rik	OK	negbinomial.size	0.860371854283307	0.999999999737279	2900011O08Rik	37	FALSE
2900026A02Rik	OK	negbinomial.size	0.268204611541505	0.837385010157151	2900026A02Rik	10	FALSE
2900055J20Rik	OK	negbinomial.size	0.00207851587817992	0.0523401230666904	2900055J20Rik	9	TRUE
3110001I22Rik	OK	negbinomial.size	0.887638622086764	0.999999999737279	3110001I22Rik	8	FALSE
3110009E18Rik	OK	negbinomial.size	0.349879773289709	0.897208979188702	3110009E18Rik	34	FALSE
3110021N24Rik	OK	negbinomial.size	0.0167158431759002	0.228159581102663	3110021N24Rik	25	FALSE
3110040N11Rik	OK	negbinomial.size	0.656225500431055	0.99206023300075	3110040N11Rik	13	FALSE
3110053B16Rik	OK	negbinomial.size	0.00598204290443617	0.112772887634581	3110053B16Rik	17	FALSE
3110082I17Rik	OK	negbinomial.size	0.302956996280382	0.869072455957785	3110082I17Rik	15	FALSE
3300002I08Rik	OK	negbinomial.size	0.0265303275152254	0.303219352779038	3300002I08Rik	11	FALSE
3830406C13Rik	OK	negbinomial.size	0.665446640178217	0.994429521102833	3830406C13Rik	27	FALSE
4430402I18Rik	OK	negbinomial.size	0.833722211187354	0.999999999737279	4430402I18Rik	14	FALSE
4632433K11Rik	OK	negbinomial.size	0.0891192315026289	0.582170121044715	4632433K11Rik	18	FALSE
4833420G17Rik	OK	negbinomial.size	0.774318241842874	0.999999999737279	4833420G17Rik	34	FALSE
4833439L19Rik	OK	negbinomial.size	0.46406201189153	0.948488192162751	4833439L19Rik	39	FALSE
4921524J17Rik	OK	negbinomial.size	0.849298081001792	0.999999999737279	4921524J17Rik	21	FALSE
4921536K21Rik	OK	negbinomial.size	0.658197109951017	0.992661402235909	4921536K21Rik	9	FALSE
4930402H24Rik	OK	negbinomial.size	0.520440364572736	0.96343578806849	4930402H24Rik	39	FALSE
4930430A15Rik	OK	negbinomial.size	0.251302718981396	0.822651485927929	4930430A15Rik	10	FALSE
4930430F08Rik	OK	negbinomial.size	0.173773558398015	0.744210512334822	4930430F08Rik	18	FALSE
4930431P19Rik	OK	negbinomial.size	0.990657458124532	0.999999999737279	4930431P19Rik	15	FALSE
4930442H23Rik	OK	negbinomial.size	0.761093375596544	0.999999999737279	4930442H23Rik	13	FALSE
4930444P10Rik	OK	negbinomial.size	0.0737252619543541	0.535212860678834	4930444P10Rik	33	FALSE
