	PCA_X	PCA_Y	tsne_X	tsne_Y	fittsne_X	fittsne_Y	umap_X	umap_Y
O100	-2.2742972989666224	0.2928939083781752	8.538687705993652	123.07648468017578	-1.6636617661061144	13.414922875573762	-4.170794486999512	-3.6850972175598145
O102	-1.7706579418960025	1.0365718649917035	-17.87441635131836	112.43025970458984	1.1678571428082984	14.633464772284098	-4.0328850746154785	-3.270677089691162
O103	-0.8963185451240272	-0.12181148199413244	8.536947250366211	110.5047836303711	-1.1803568578984405	14.324076309416991	-4.213565349578857	-3.747063636779785
O109	-0.5893605809888649	-0.8669191016120437	4.680916786193848	21.829071044921875	-2.059563902006464	3.6377961614111594	-1.2173316478729248	-2.51731276512146
O111	1.5817886861265962	-2.0221913783023227	74.43350219726562	19.380477905273438	-4.451969994508673	-9.109206719881769	-1.4531073570251465	0.9646778702735901
O113	-2.15206487717426	-1.1005795315927767	-14.936999320983887	3.3062493801116943	0.7604822737406658	5.005045582423417	-1.694656491279602	-3.0190327167510986
O117	0.31152176166354506	-2.3605171228717534	64.92239379882812	27.71770668029785	-4.4543101932915015	-10.189136231973484	-1.5369093418121338	1.0002326965332031
O125	-0.766247505778027	0.47629948496313607	4.3943328857421875	-36.130306243896484	4.65838722228928	0.8066296020446921	-2.9143824577331543	-1.433510184288025
O127	0.6781640153316371	0.42525509272708284	-90.83747100830078	39.28581619262695	0.3236016715139284	-4.802922735778443	-2.339555263519287	0.9987189173698425
O128	-1.270773475903311	-0.16378781289610972	-14.833602905273438	-30.575885772705078	3.7753069187025896	2.112727277576093	-2.6412346363067627	-1.6292647123336792
O129	1.0196857250908498	-1.3434633615343947	60.62363815307617	5.525876998901367	-1.931543669537178	-8.965032830394112	-1.8148016929626465	0.9042432308197021
O130	-1.9344060127541447	-1.2463385944493048	-15.083826065063477	-12.43042278289795	2.2579649818190695	3.4610507369394194	-2.3531923294067383	-2.8215625286102295
O131	0.13099793422297606	-1.0304991765234999	22.918140411376953	3.168095111846924	0.29422266005735404	0.09493002015105748	-2.270921468734741	-0.7773289680480957
O132	0.16426668628103536	-1.2985101070421923	69.43326568603516	-77.94661712646484	-11.005446518148178	-5.044150515258512	-1.9620771408081055	-0.4153413474559784
O135	1.1239645525906077	0.4162179874613196	-91.68114471435547	29.141096115112305	-0.08048945788391926	-5.303237743987745	-1.3066074848175049	1.470839023590088
O137	1.607043160971673	-0.11253375669827455	-101.51495361328125	3.345010280609131	-5.137890135518211	-4.063815272277721	-0.6239024996757507	-0.2432188093662262
O138	-1.9447960496703829	1.2654648128986459	32.3326301574707	-90.83842468261719	8.405105236949497	0.3322063216932111	-3.1533336639404297	-0.8675971627235413
O141	1.4986232435359452	-1.23888278042619	79.95406341552734	29.362594604492188	-4.979232153442016	-8.411800429735768	-1.155318021774292	0.752794623374939
O145	1.8276615235438853	-1.703683700236121	50.74769973754883	11.814129829406738	-1.8742541738302883	-7.999867013508122	-1.534193754196167	0.7665650248527527
O147	0.05705073540137823	-0.09592088255798298	39.56512451171875	-58.39762496948242	5.559870677641259	-3.643516367115902	-3.2176289558410645	-0.15196850895881653
O149	0.0798144418802397	-0.42259715350271637	48.09679412841797	-70.02920532226562	4.93177370041127	-2.5131117986577793	-2.8523809909820557	-0.47970646619796753
O159	0.08659719831596005	-0.10828269676379086	-69.5939712524414	-13.263923645019531	-7.013542060936236	0.5113167404133769	-0.7019427418708801	-1.2595140933990479
O160	-1.364583727880145	-0.40024895012677014	-7.119868755340576	-24.083023071289062	3.2047381797029058	2.179236729260041	-2.9301154613494873	-2.1566479206085205
O162	2.9295223094596152	0.29690328572261176	-35.735111236572266	-92.32366180419922	0.1258422858840288	-7.345392539510361	-0.8349249362945557	1.4559184312820435
O165	2.124382325444688	-0.37668792893553393	77.7325668334961	-13.69943618774414	1.0151396049445327	-11.470811242768832	-1.439724087715149	1.7631200551986694
O171	0.9880810320390511	-2.2190338412020045	90.11885070800781	6.2502946853637695	-2.2678474469879837	-11.767276858064898	-1.6849435567855835	1.3950657844543457
O216	0.44481901994576634	-0.3968818887595446	-64.76870727539062	-2.2654638290405273	-8.144473718021395	0.5699321686326506	-0.6456543207168579	-1.2148065567016602
O222	1.2898179079695014	-1.3082890218873835	92.3359146118164	-4.621586799621582	-1.4697137715512651	-11.868755213663333	-1.8528732061386108	1.4027594327926636
O24	-0.627226848061504	0.2564467544041647	9.966721534729004	91.07808685302734	-0.7428579339963811	16.75879078998192	-3.9015777111053467	-3.740302085876465
O240	4.02052658304021	1.6927738790118445	-39.17369079589844	-137.7037353515625	6.455862589928508	-15.24031067353719	0.2564646601676941	2.1321234703063965
O242	3.10533813875612	2.392355418825137	-43.71909713745117	-123.2285385131836	4.7661655214384115	-15.196230950327749	0.08921399712562561	1.9242967367172241
O243	3.6491541156124567	2.094963470194279	-32.19739532470703	-129.38209533691406	5.977151121749041	-15.57860106512469	0.2085413932800293	2.06799578666687
O248	3.7565308997254063	1.0261109392226884	-59.636627197265625	-126.83541870117188	3.8516377952247134	-13.49726581824054	-0.010625682771205902	2.0894482135772705
O250	2.1670438985314227	2.8520623184787572	-66.46836853027344	-104.220703125	2.5745336203485216	-15.814106227968782	-0.19260835647583008	1.7918230295181274
O255	1.5388552686422856	-0.8957913721612012	66.3099136352539	-16.664766311645508	1.0205018224739817	-10.483904934980057	-2.2294371128082275	1.1222038269042969
O26	-1.5024857670649325	0.4984777012941168	-5.661057472229004	112.3558349609375	0.22282485783348907	14.017799108738634	-4.073856353759766	-3.4215548038482666
O284	-0.16896081839138827	0.30362714323128126	18.2574405670166	-63.210289001464844	8.043951519916604	-2.622904091609932	-3.3205816745758057	-0.4503355920314789
O285	-1.162512760282294	1.0829824094663045	-69.46064758300781	-30.7751407623291	-8.375152393653337	2.3161638761100396	-0.7679373621940613	-1.3263591527938843
