Cell	CellType
GSM1820357	Cortical CCK+ cell
GSM1820358	Cortical CCK+ cell
GSM1820359	Cortical CCK+ cell
GSM1820360	Cortical CCK+ cell
GSM1820361	Cortical CCK+ cell
GSM1820362	Cortical CCK+ cell
GSM1820363	Cortical CCK+ cell
GSM1820364	Cortical CCK+ cell
GSM1820365	Cortical CCK+ cell
GSM1820366	Cortical CCK+ cell
GSM1820367	Cortical CCK+ cell
GSM1820368	Cortical CCK+ cell
GSM1820369	Cortical CCK+ cell
GSM1820370	Cortical CCK+ cell
GSM1820371	Cortical CCK+ cell
GSM1820372	Cortical CCK+ cell
GSM1820373	Cortical CCK+ cell
GSM1820374	Cortical CCK+ cell
GSM1820375	Cortical CCK+ cell
GSM1820376	Cortical CCK+ cell
GSM1820377	Cortical CCK+ cell
GSM1820378	Cortical CCK+ cell
GSM1820379	Cortical CCK+ cell
GSM1820380	Cortical CCK+ cell
GSM1820381	Cortical CCK+ cell
GSM1820382	Cortical CCK+ cell
GSM1820383	Cortical CCK+ cell
GSM1820384	Cortical CCK+ cell
GSM1820385	Cortical CCK+ cell
GSM1820386	Cortical CCK+ cell
GSM1820387	Cortical CCK+ cell
GSM1820388	Cortical CCK+ cell
GSM1820389	Cortical CCK+ cell
GSM1820390	Cortical CCK+ cell
GSM1820391	Cortical CCK+ cell
GSM1820392	Cortical CCK+ cell
GSM1820393	Cortical CCK+ cell
GSM1820394	Cortical CCK+ cell
GSM1820395	Cortical CCK+ cell
GSM1820396	Cortical CCK+ cell
GSM1820397	Cortical CCK+ cell
GSM1820398	Cortical CCK+ cell
GSM1820399	Cortical CCK+ cell
GSM1820400	Cortical CCK+ cell
GSM1820401	Cortical CCK+ cell
GSM1820402	Cortical CCK+ cell
GSM1820403	Cortical CCK+ cell
GSM1820404	Cortical CCK+ cell
GSM1820405	Cortical CCK+ cell
GSM1820406	Cortical CCK+ cell
GSM1820407	Cortical CCK+ cell
GSM1820408	Cortical CCK+ cell
GSM1820409	Cortical CCK+ cell
GSM1820410	Cortical CCK+ cell
GSM1820411	Cortical CCK+ cell
GSM1820412	Cortical CCK+ cell
GSM1820413	Cortical CCK+ cell
GSM1820414	Cortical CCK+ cell
GSM1820415	Cortical CCK+ cell
GSM1820416	Cortical CCK+ cell
GSM1820417	Cortical CCK+ cell
GSM1820418	Cortical CCK+ cell
GSM1820419	Cortical CCK+ cell
GSM1820420	Cortical CCK+ cell
GSM1820421	Cortical CCK+ cell
GSM1820422	Cortical CCK+ cell
GSM1820423	Cortical CCK+ cell
GSM1820424	Cortical CCK+ cell
GSM1820425	Cortical CCK+ cell
GSM1820426	Cortical CCK+ cell
GSM1820427	Cortical CCK+ cell
GSM1820428	Cortical CCK+ cell
GSM1820429	Cortical CCK+ cell
GSM1820430	Cortical CCK+ cell
GSM1820431	Cortical CCK+ cell
GSM1820432	Cortical CCK+ cell
GSM1820433	Cortical CCK+ cell
GSM1820434	Cortical CCK+ cell
GSM1820435	Cortical CCK+ cell
GSM1820436	Cortical CCK+ cell
GSM1820437	Cortical CCK+ cell
GSM1820438	Cortical CCK+ cell
GSM1820439	Cortical CCK+ cell
