Cell	CellType
GSM2026617	CA1 regular-spiking interneuron
GSM2026618	CA1 pyramidal cell
GSM2026619	CA1 regular-spiking interneuron
GSM2026620	CA1 pyramidal cell
GSM2026621	CA1 regular-spiking interneuron
GSM2026622	CA1 pyramidal cell
GSM2026623	CA1 regular-spiking interneuron
GSM2026624	CA1 pyramidal cell
GSM2026625	CA1 regular-spiking interneuron
GSM2026626	CA1 pyramidal cell
GSM2026627	CA1 regular-spiking interneuron
GSM2026628	CA1 pyramidal cell
GSM2026629	CA1 regular-spiking interneuron
GSM2026630	CA1 pyramidal cell
GSM2026631	CA1 regular-spiking interneuron
GSM2026632	CA1 pyramidal cell
GSM2026633	CA1 fast-spiking interneuron
GSM2026634	CA1 pyramidal cell
GSM2026635	CA1 regular-spiking interneuron
GSM2026636	CA1 fast-spiking interneuron
GSM2026637	CA1 fast-spiking interneuron
GSM2026638	CA1 fast-spiking interneuron
GSM2026639	CA1 regular-spiking interneuron
GSM2026640	CA1 pyramidal cell
GSM2026641	CA1 fast-spiking interneuron
GSM2026642	CA1 pyramidal cell
GSM2026643	CA1 regular-spiking interneuron
GSM2026644	CA1 pyramidal cell
GSM2026645	CA1 fast-spiking interneuron
GSM2026646	CA1 fast-spiking interneuron
GSM2026647	CA1 regular-spiking interneuron
GSM2026648	CA1 pyramidal cell
GSM2026649	CA1 fast-spiking interneuron
GSM2026650	CA1 pyramidal cell
GSM2026651	CA1 regular-spiking interneuron
GSM2026652	CA1 pyramidal cell
GSM2026653	CA1 fast-spiking interneuron
GSM2026654	CA1 pyramidal cell
GSM2026655	Subiculum burst-spiking pyramidal cell
GSM2026656	Subiculum burst-spiking pyramidal cell
GSM2026657	Subiculum regular-spiking pyramidal cell
GSM2026658	Subiculum burst-spiking pyramidal cell
GSM2026659	Subiculum burst-spiking pyramidal cell
GSM2026660	Subiculum burst-spiking pyramidal cell
GSM2026661	Subiculum burst-spiking pyramidal cell
GSM2026662	Subiculum regular-spiking pyramidal cell
GSM2026663	Subiculum regular-spiking pyramidal cell
GSM2026664	Subiculum burst-spiking pyramidal cell
GSM2026665	Subiculum burst-spiking pyramidal cell
GSM2026666	Subiculum burst-spiking pyramidal cell
GSM2026667	Subiculum burst-spiking pyramidal cell
GSM2026668	Subiculum burst-spiking pyramidal cell
GSM2026669	Subiculum burst-spiking pyramidal cell
GSM2026670	Subiculum burst-spiking pyramidal cell
GSM2026671	Subiculum regular-spiking pyramidal cell
GSM2026672	Subiculum burst-spiking pyramidal cell
GSM2026673	Subiculum regular-spiking pyramidal cell
GSM2026674	Subiculum regular-spiking pyramidal cell
GSM2026675	Subiculum regular-spiking pyramidal cell
GSM2026676	Subiculum regular-spiking pyramidal cell
GSM2026677	Subiculum regular-spiking pyramidal cell
GSM2026678	Subiculum regular-spiking pyramidal cell
GSM2026679	Subiculum regular-spiking pyramidal cell
GSM2026680	Subiculum regular-spiking pyramidal cell
GSM2026681	Subiculum burst-spiking pyramidal cell
GSM2026682	Subiculum burst-spiking pyramidal cell
GSM2026683	Subiculum burst-spiking pyramidal cell
GSM2026684	Subiculum burst-spiking pyramidal cell
GSM2026685	Subiculum regular-spiking pyramidal cell
GSM2026686	Subiculum burst-spiking pyramidal cell
GSM2026687	Subiculum burst-spiking pyramidal cell
GSM2026688	Subiculum burst-spiking pyramidal cell
GSM2026689	Subiculum regular-spiking pyramidal cell
GSM2026690	CA1 fast-spiking interneuron
GSM2026691	CA1 pyramidal cell
GSM2026692	CA1 fast-spiking interneuron
GSM2026693	CA1 pyramidal cell
GSM2026694	CA1 regular-spiking interneuron
GSM2026695	CA1 pyramidal cell
GSM2026696	CA1 regular-spiking interneuron
GSM2026697	CA1 pyramidal cell
GSM2026698	CA1 fast-spiking interneuron
GSM2026699	CA1 pyramidal cell
GSM2026700	CA1 fast-spiking interneuron
GSM2026701	CA1 pyramidal cell
GSM2026702	CA1 fast-spiking interneuron
GSM2026703	CA1 pyramidal cell
GSM2026704	CA1 regular-spiking interneuron
GSM2026705	CA1 pyramidal cell
GSM2026707	CA1 pyramidal cell
GSM2026708	CA1 regular-spiking interneuron
GSM2026709	CA1 regular-spiking interneuron
GSM2026710	hippocampus
GSM2026711	hippocampus
GSM2026712	hippocampus
GSM2026713	hippocampus
GSM2026714	hippocampus
GSM2026715	hippocampus
GSM2026716	hippocampus
GSM2026717	hippocampus
GSM2026718	hippocampus
GSM2026719	hippocampus
GSM2026720	hippocampus
GSM2026721	hippocampus
GSM2026722	hippocampus
GSM2026723	hippocampus
GSM2026724	hippocampus
GSM2026706	CA1 regular-spiking interneuron
