Cell	CellType	Age
GSM2657560	Unknown	27
GSM2657561	Unknown	27
GSM2657562	Unknown	27
GSM2657563	Unknown	27
GSM2657564	Unknown	27
GSM2657565	Unknown	27
GSM2657566	Unknown	27
GSM2657567	Pvalb.C1ql1.Cpne5	27
GSM2657568	Unknown	27
GSM2657569	Unknown	27
GSM2657570	Sst.Pnoc.Pvalb	27
GSM2657571	Unknown	27
GSM2657572	Unknown	27
GSM2657573	Unknown	27
GSM2657574	Unknown	27
GSM2657575	Unknown	27
GSM2657576	Unknown	27
GSM2657577	Unknown	27
GSM2657578	Unknown	27
GSM2657579	Calb2.Cryab	27
GSM2657580	Unknown	27
GSM2657581	Unknown	27
GSM2657582	Calb2.Vip.Igfbp4	27
GSM2657583	Unknown	27
GSM2657584	Unknown	27
GSM2657585	Unknown	27
GSM2657586	Pvalb.Tac1.Sst	27
GSM2657587	Unknown	27
GSM2657588	Calb2.Vip.Gpd1	27
GSM2657589	Cacna2d1.Lhx6.Vwa5a	27
GSM2657590	Pvalb.Tac1.Sst	27
GSM2657591	Unknown	27
GSM2657592	Unknown	27
GSM2657593	Unknown	27
GSM2657594	Unknown	27
GSM2657595	Unknown	27
GSM2657596	Unknown	27
GSM2657597	Unknown	27
GSM2657598	Unknown	27
GSM2657599	Unknown	27
GSM2657600	Unknown	27
GSM2657601	Unknown	27
GSM2657602	Unknown	27
GSM2657603	Unknown	27
GSM2657604	Unknown	27
GSM2657605	Unknown	27
GSM2657606	Unknown	27
GSM2657607	Unknown	27
GSM2657608	Unknown	27
GSM2657609	Unknown	27
GSM2657610	Unknown	27
GSM2657611	Pvalb.C1ql1.Pvalb	27
GSM2657612	Unknown	27
GSM2657613	Unknown	27
GSM2657614	Unknown	27
GSM2657615	Unknown	27
GSM2657616	Pvalb.Tac1.Nr4a2	27
GSM2657617	Unknown	27
GSM2657618	Cck.Lmo1.Vip.Crh	27
GSM2657619	Unknown	27
GSM2657620	Unknown	27
GSM2657621	Unknown	27
GSM2657622	Unknown	27
GSM2657623	Unknown	27
GSM2657624	Unknown	27
