Cell	CellType
648527193	Pvalb Tpbg
648544600	Sst Rxfp1 Prdm8
648564602	Pvalb Reln Itm2a
648582997	Lamp5 Ntn1 Npy2r
648585371	Lamp5 Plch2 Dock5
648593656	Lamp5 Plch2 Dock5
648594299	Lamp5 Ntn1 Npy2r
648600158	Pvalb Reln Itm2a
648607165	Lamp5 Ntn1 Npy2r
648609504	Sst Tac2 Tacstd2
648852680	Vip Crispld2 Kcne4
648881660	Pvalb Sema3e Kank4
649008116	Lamp5 Plch2 Dock5
649272757	Sst Calb2 Pdlim5
649382312	Lamp5 Plch2 Dock5
649387261	Sst Nr2f2 Necab1
649387936	Sst Calb2 Pdlim5
649666842	Vip Arhgap36 Hmcn1
650129743	Pvalb Tpbg
650131308	Lamp5 Plch2 Dock5
650132917	Lamp5 Ntn1 Npy2r
650146312	Pvalb Tpbg
650156059	Lamp5 Lsp1
650161028	Lamp5 Ntn1 Npy2r
650172921	Lamp5 Ntn1 Npy2r
650176200	Pvalb Tpbg
650487944	Sst Rxfp1 Prdm8
651151937	Lamp5 Plch2 Dock5
651161691	Lamp5 Ntn1 Npy2r
651734562	Pvalb Reln Itm2a
651763842	Sst Calb2 Pdlim5
651969572	Sst Myh8 Etv1 
651985184	Sst Rxfp1 Prdm8
652286698	Pvalb Vipr2
652299236	Pvalb Tpbg
652300499	Lamp5 Lsp1
652303366	Lamp5 Lsp1
652304219	Pvalb Reln Itm2a
652305423	Lamp5 Lsp1
652313391	Pvalb Reln Itm2a
652516963	Sncg Gpr50
652533530	Sst Esm1
652764831	Sst Esm1
652809932	Pvalb Vipr2
652810157	Lamp5 Plch2 Dock5
652812484	Lamp5 Plch2 Dock5
652920631	Sncg Vip Itih5
652938130	Lamp5 Lsp1
652953931	Lamp5 Plch2 Dock5
652956871	Sst Hpse Cbln4
652959162	Pvalb Sema3e Kank4
652959904	Lamp5 Fam19a1 Tmem182
653024237	Lamp5 Lsp1
653024481	Lamp5 Lsp1
653195941	Sst Hpse Sema3c
653199987	Lamp5 Plch2 Dock5
