	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
GSM1820357	Cortical CCK+ cell	2.361046	1.337821	56.662216661598286	4.589	5.866
GSM1820358	Cortical CCK+ cell	1.888763	1.150545	60.91526570564967	5.523	7.382
GSM1820359	Cortical CCK+ cell	1.395507	0.800278	57.346756411827386	3.474	4.288
GSM1820360	Cortical CCK+ cell	1.020383	0.454463	44.53847231872738	3.716	4.629
GSM1820361	Cortical CCK+ cell	1.925752	1.174299	60.978724155550665	4.277	5.533
GSM1820362	Cortical CCK+ cell	1.082996	0.473365	43.70884102988376	2.519	2.972
GSM1820363	Cortical CCK+ cell	0.557842	0.220353	39.5009698086555	3.291	4.065
GSM1820364	Cortical CCK+ cell	1.596401	0.568682	35.62275393212608	6.405	8.766
GSM1820365	Cortical CCK+ cell	1.293737	0.667221	51.57315590417527	4.497	5.873
GSM1820366	Cortical CCK+ cell	1.054006	0.264094	25.056214101248	2.316	2.738
GSM1820367	Cortical CCK+ cell	5.277159	0.761386	14.427952616170936	3.921	4.82
GSM1820368	Cortical CCK+ cell	4.83162	2.166176	44.833327124235765	6.145	8.267
GSM1820369	Cortical CCK+ cell	9.706186	0.846595	8.722221066029437	4.102	5.118
GSM1820370	Cortical CCK+ cell	4.106954	2.095255	51.01725025408125	4.807	6.048
GSM1820371	Cortical CCK+ cell	3.285355	0.836042	25.447539154824973	3.026	3.619
GSM1820372	Cortical CCK+ cell	1.283524	0.357375	27.843265883614173	3.203	3.899
GSM1820373	Cortical CCK+ cell	2.074628	0.734392	35.39873172443445	4.945	6.482
GSM1820374	Cortical CCK+ cell	2.715235	1.810318	66.67260844825587	3.72	4.648
GSM1820375	Cortical CCK+ cell	1.927376	0.448681	23.27937050165614	3.735	4.628
GSM1820376	Cortical CCK+ cell	2.597827	0.887396	34.15916456330618	2.82	3.319
GSM1820377	Cortical CCK+ cell	1.54447	0.541138	35.03713247910286	4.179	5.273
GSM1820378	Cortical CCK+ cell	1.566256	0.272088	17.371872797294948	2.397	2.844
GSM1820379	Cortical CCK+ cell	1.647154	0.638756	38.779373391923286	4.401	5.544
GSM1820380	Cortical CCK+ cell	1.002315	0.286517	28.585524510757597	3.095	3.73
