	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
GSM1820381	Cortical CCK+ cell	0.514073	0.145621	28.326910769482154	2.952	3.579
GSM1820382	Cortical CCK+ cell	0.764735	0.236334	30.904038653912792	2.819	3.334
GSM1820383	Cortical CCK+ cell	2.31519	0.821145	35.46771539268915	3.925	4.944
GSM1820384	Cortical CCK+ cell	4.272203	1.559104	36.49414599446702	4.091	5.086
GSM1820385	Cortical CCK+ cell	2.906522	0.908397	31.253745885976436	4.606	5.908
GSM1820386	Cortical CCK+ cell	0.984219	0.280371	28.486647788754333	2.232	2.619
GSM1820387	Cortical CCK+ cell	2.152108	1.075739	49.985363188092784	3.083	3.699
GSM1820388	Cortical CCK+ cell	3.097158	1.310151	42.301716605998145	4.559	5.782
GSM1820390	Cortical CCK+ cell	0.254351	0.071701	28.18978498217031	3.34	4.071
GSM1820391	Cortical CCK+ cell	1.961491	0.960587	48.97228689807906	3.851	4.749
GSM1820392	Cortical CCK+ cell	4.352339	2.040183	46.87555358164885	6.945	9.611
GSM1820393	Cortical CCK+ cell	1.868794	1.088616	58.25232743683895	4.287	5.45
GSM1820394	Cortical CCK+ cell	3.035561	1.096389	36.118167284399824	3.407	4.153
GSM1820395	Cortical CCK+ cell	4.763561	1.646265	34.55954484470756	4.005	4.967
GSM1820396	Cortical CCK+ cell	1.149286	0.360591	31.37521904904436	3.007	3.624
GSM1820397	Cortical CCK+ cell	2.71727	1.217086	44.790764259716546	4.294	5.417
GSM1820398	Cortical CCK+ cell	0.835213	0.195757	23.437973307407812	2.004	2.339
GSM1820400	Cortical CCK+ cell	0.888003	0.250877	28.251818969080063	3.07	3.787
GSM1820401	Cortical CCK+ cell	1.606121	0.420911	26.206680567653372	2.713	3.215
GSM1820402	Cortical CCK+ cell	0.689123	0.311119	45.14709275412371	2.779	3.367
GSM1820403	Cortical CCK+ cell	0.364963	0.16306	44.678501656332294	1.977	2.299
GSM1820404	Cortical CCK+ cell	1.475369	0.616826	41.80825271508348	2.586	3.079
GSM1820405	Cortical CCK+ cell	1.17874	0.386561	32.794424555033345	2.637	3.15
GSM1820406	Cortical CCK+ cell	1.53899	0.615708	40.00727750017869	3.95	4.906
GSM1820407	Cortical CCK+ cell	3.40866	1.770083	51.928998492076076	4.152	5.187
GSM1820408	Cortical CCK+ cell	1.630826	0.849867	52.112671738125336	4.491	5.75
GSM1820409	Cortical CCK+ cell	1.455397	0.549532	37.75821992212434	2.562	2.992
GSM1820410	Cortical CCK+ cell	7.915693	3.877309	48.982559076002566	7.362	10.464
GSM1820411	Cortical CCK+ cell	5.85903	0.242296	4.135428560700321	3.763	4.631
GSM1820412	Cortical CCK+ cell	1.180029	0.705211	59.76217533636885	5.538	7.489
GSM1820413	Cortical CCK+ cell	2.707854	1.316339	48.61188971044967	3.627	4.488
GSM1820414	Cortical CCK+ cell	1.702649	1.071448	62.92829584958497	4.627	6.012
GSM1820415	Cortical CCK+ cell	0.639885	0.396075	61.89784101830797	4.39	5.686
GSM1820416	Cortical CCK+ cell	0.874435	0.271126	31.005849491385867	2.425	2.829
GSM1820417	Cortical CCK+ cell	0.719032	0.212486	29.551675029762237	3.025	3.751
GSM1820418	Cortical CCK+ cell	1.382313	0.452025	32.70062569041889	2.736	3.253
GSM1820419	Cortical CCK+ cell	3.047829	2.002456	65.701061312823	5.41	7.247
GSM1820420	Cortical CCK+ cell	0.811923	0.268041	33.01310592260596	2.475	2.953
GSM1820421	Cortical CCK+ cell	0.297636	0.093674	31.472671316641797	3.194	3.96
GSM1820422	Cortical CCK+ cell	0.304085	0.08608	28.307874443001136	3.004	3.708
GSM1820423	Cortical CCK+ cell	1.01555	0.225126	22.167889321057554	2.516	2.978
GSM1820424	Cortical CCK+ cell	1.113621	0.404747	36.345129985874905	3.681	4.559
GSM1820426	Cortical CCK+ cell	1.01033	0.210881	20.872487207150144	2.288	2.721
GSM1820427	Cortical CCK+ cell	0.621645	0.237825	38.25736553820911	2.792	3.355
GSM1820428	Cortical CCK+ cell	1.116742	0.354151	31.712875489593838	3.16	3.778
GSM1820429	Cortical CCK+ cell	1.393289	0.097869	7.024314410003954	2.68	3.198
GSM1820430	Cortical CCK+ cell	1.194212	0.373161	31.24746694891694	2.445	2.864
GSM1820431	Cortical CCK+ cell	0.705807	0.238658	33.813492923702945	2.656	3.217
GSM1820432	Cortical CCK+ cell	1.291253	0.393651	30.485969829305333	3.0	3.608
GSM1820433	Cortical CCK+ cell	0.600159	0.1154	19.228237850303003	2.22	2.618
GSM1820434	Cortical CCK+ cell	0.777885	0.186002	23.911246521015318	2.56	3.016
GSM1820435	Cortical CCK+ cell	2.007778	0.363298	18.09453037138568	3.337	4.106
GSM1820436	Cortical CCK+ cell	0.648169	0.298113	45.99309747920681	3.015	3.629
GSM1820437	Cortical CCK+ cell	1.837469	0.575271	31.30779349202626	3.004	3.682
GSM1820438	Cortical CCK+ cell	2.551594	1.036503	40.62178387313969	8.584	12.233
GSM1820439	Cortical CCK+ cell	1.456095	0.253995	17.443573393219538	3.629	4.391
