Cell	CellType	Gender	Age
GSM1474769	sscortex	male	26
GSM1474770	sscortex	male	26
GSM1474771	sscortex	male	26
GSM1474772	sscortex	male	26
GSM1474773	sscortex	male	26
GSM1474774	sscortex	male	26
GSM1474775	sscortex	male	26
GSM1474776	sscortex	male	26
GSM1474777	sscortex	male	26
GSM1474778	sscortex	male	26
GSM1474779	sscortex	male	26
GSM1474782	sscortex	male	26
GSM1474783	sscortex	male	26
GSM1474784	sscortex	male	26
GSM1474785	sscortex	male	26
GSM1474786	sscortex	male	26
GSM1474787	sscortex	male	26
GSM1474788	sscortex	male	26
GSM1474789	sscortex	male	26
GSM1474791	sscortex	male	26
GSM1474792	sscortex	male	26
GSM1474793	sscortex	male	26
GSM1474794	sscortex	male	26
GSM1474795	sscortex	male	26
GSM1474796	sscortex	male	26
GSM1474797	sscortex	male	26
GSM1474800	sscortex	male	26
GSM1474801	sscortex	male	26
GSM1474802	sscortex	male	26
GSM1474803	sscortex	male	26
GSM1474805	sscortex	male	26
GSM1474807	sscortex	male	26
GSM1474808	sscortex	male	26
GSM1474809	sscortex	male	26
GSM1474810	sscortex	male	26
GSM1474811	sscortex	female	27
GSM1474812	sscortex	female	27
GSM1474814	sscortex	female	27
GSM1474816	sscortex	female	27
GSM1474817	sscortex	female	27
GSM1474820	sscortex	female	27
GSM1474821	sscortex	female	27
GSM1474822	sscortex	female	27
GSM1474823	sscortex	female	27
GSM1474826	sscortex	female	27
GSM1474828	sscortex	female	27
GSM1474829	sscortex	female	27
GSM1474830	sscortex	female	27
GSM1474831	sscortex	female	27
GSM1474832	sscortex	female	27
GSM1474833	sscortex	female	27
GSM1474839	sscortex	female	27
GSM1474840	sscortex	female	27
GSM1474841	sscortex	female	27
GSM1474842	sscortex	female	27
GSM1474843	sscortex	female	27
GSM1474845	sscortex	female	27
GSM1474846	sscortex	female	27
GSM1474847	sscortex	female	27
GSM1474848	sscortex	female	27
GSM1474851	sscortex	male	28
GSM1474854	sscortex	male	28
GSM1474856	sscortex	male	28
GSM1474857	sscortex	male	28
GSM1474858	sscortex	male	28
GSM1474860	sscortex	male	28
GSM1474862	sscortex	male	28
GSM1474864	sscortex	male	28
GSM1474866	sscortex	male	28
GSM1474867	sscortex	male	28
GSM1474870	sscortex	male	28
GSM1474871	sscortex	male	28
GSM1474872	sscortex	male	28
GSM1474873	sscortex	male	28
GSM1474874	sscortex	male	28
GSM1474875	sscortex	male	28
GSM1474877	sscortex	male	28
GSM1474878	sscortex	male	28
GSM1474879	sscortex	male	28
GSM1474880	sscortex	male	28
GSM1474882	sscortex	male	28
GSM1474884	sscortex	male	28
GSM1474885	sscortex	male	28
GSM1474886	sscortex	male	28
GSM1474887	sscortex	male	28
GSM1474888	sscortex	male	28
GSM1474889	sscortex	male	28
GSM1474891	sscortex	male	28
GSM1474892	sscortex	male	28
GSM1474893	sscortex	male	28
GSM1474894	sscortex	male	28
GSM1474895	sscortex	male	28
GSM1474896	sscortex	male	28
GSM1474897	sscortex	male	28
GSM1474899	sscortex	male	28
GSM1474901	sscortex	male	28
GSM1474902	sscortex	male	28
GSM1474903	sscortex	male	28
GSM1474904	sscortex	male	28
GSM1474905	sscortex	female	22
GSM1474906	sscortex	female	22
GSM1474907	sscortex	female	22
GSM1474908	sscortex	female	22
GSM1474910	sscortex	female	22
GSM1474911	sscortex	female	22
GSM1474912	sscortex	female	22
GSM1474913	sscortex	female	22
GSM1474914	sscortex	female	22
GSM1474915	sscortex	female	22
GSM1474916	sscortex	female	22
GSM1474917	sscortex	female	22
GSM1474918	sscortex	female	22
GSM1474920	sscortex	female	22
GSM1474924	sscortex	female	22
GSM1474925	sscortex	female	22
GSM1474926	sscortex	female	22
GSM1474928	sscortex	female	22
GSM1474929	sscortex	female	22
GSM1474930	sscortex	female	22
GSM1474932	sscortex	female	22
GSM1474933	sscortex	female	22
GSM1474934	sscortex	female	22
GSM1474935	sscortex	female	22
GSM1474936	sscortex	female	22
GSM1474937	sscortex	female	22
GSM1474938	sscortex	female	22
GSM1474939	sscortex	female	22
GSM1474940	sscortex	female	22
GSM1474941	sscortex	female	22
GSM1474943	sscortex	female	22
GSM1474944	sscortex	male	24
GSM1474946	sscortex	male	24
GSM1474947	sscortex	male	24
GSM1474948	sscortex	male	24
GSM1474949	sscortex	male	24
GSM1474951	sscortex	male	24
GSM1474952	sscortex	male	24
GSM1474953	sscortex	male	24
GSM1474954	sscortex	male	24
GSM1474956	sscortex	male	24
GSM1474957	sscortex	male	24
GSM1474958	sscortex	male	24
GSM1474960	sscortex	male	24
GSM1474962	sscortex	male	24
GSM1474963	sscortex	male	24
GSM1474965	sscortex	male	24
GSM1474966	sscortex	male	24
GSM1474968	sscortex	male	24
GSM1474969	sscortex	male	24
GSM1474970	sscortex	male	24
GSM1474971	sscortex	male	24
GSM1474972	sscortex	male	24
GSM1474973	sscortex	male	24
GSM1474974	sscortex	male	24
GSM1474975	sscortex	male	24
GSM1474976	sscortex	male	24
GSM1474977	sscortex	male	24
GSM1474979	sscortex	male	24
GSM1474980	sscortex	male	24
GSM1474981	sscortex	male	24
GSM1474982	sscortex	male	24
GSM1474983	sscortex	male	24
GSM1474984	sscortex	male	24
GSM1474985	sscortex	male	24
GSM1474986	sscortex	male	24
GSM1474987	sscortex	male	24
GSM1474988	sscortex	female	23
GSM1474989	sscortex	female	23
GSM1474990	sscortex	female	23
GSM1474991	sscortex	female	23
GSM1474992	sscortex	female	23
GSM1474993	sscortex	female	23
GSM1474994	sscortex	female	23
GSM1474995	sscortex	female	23
GSM1474996	sscortex	female	23
GSM1474997	sscortex	female	23
GSM1474998	sscortex	female	23
GSM1474999	sscortex	female	23
GSM1475000	sscortex	female	23
GSM1475001	sscortex	female	23
GSM1475002	sscortex	female	23
GSM1475003	sscortex	female	23
GSM1475004	sscortex	female	23
GSM1475005	sscortex	female	23
GSM1475006	sscortex	female	23
GSM1475007	sscortex	female	23
GSM1475008	sscortex	female	23
GSM1475009	sscortex	female	23
GSM1475010	sscortex	female	23
GSM1475011	sscortex	female	23
GSM1475012	sscortex	female	23
GSM1475013	sscortex	female	23
GSM1475014	sscortex	female	23
GSM1475015	sscortex	female	23
GSM1475016	sscortex	female	23
GSM1475017	sscortex	female	23
GSM1475018	sscortex	female	23
GSM1475019	sscortex	female	23
GSM1475020	sscortex	female	23
GSM1475021	sscortex	female	23
GSM1475022	sscortex	female	23
GSM1475023	sscortex	female	23
GSM1475024	sscortex	female	23
GSM1475025	sscortex	female	23
GSM1475026	sscortex	female	23
GSM1475027	sscortex	female	23
GSM1475028	sscortex	female	23
GSM1475029	sscortex	female	23
GSM1475030	sscortex	female	23
GSM1475031	sscortex	female	23
GSM1475032	sscortex	female	23
GSM1475033	sscortex	female	23
GSM1475034	sscortex	female	23
GSM1475035	sscortex	female	23
GSM1475036	sscortex	female	23
GSM1475037	sscortex	female	23
GSM1475038	sscortex	female	23
GSM1475039	sscortex	female	23
GSM1475040	sscortex	female	23
GSM1475041	sscortex	female	23
GSM1475042	sscortex	female	23
GSM1475043	sscortex	female	23
GSM1475044	sscortex	female	23
GSM1475045	sscortex	female	23
GSM1475046	sscortex	female	23
GSM1475047	sscortex	female	23
GSM1475048	sscortex	female	23
GSM1475049	sscortex	male	31
GSM1475050	sscortex	male	31
GSM1475051	sscortex	male	31
GSM1475052	sscortex	male	31
GSM1475053	sscortex	male	31
GSM1475054	sscortex	male	31
GSM1475055	sscortex	male	31
GSM1475056	sscortex	male	31
GSM1475057	sscortex	male	31
GSM1475058	sscortex	male	31
GSM1475059	sscortex	male	31
GSM1475060	sscortex	male	31
GSM1475061	sscortex	male	31
GSM1475062	sscortex	male	31
GSM1475063	sscortex	male	31
GSM1475064	sscortex	male	31
GSM1475065	sscortex	male	31
GSM1475067	sscortex	male	31
GSM1475068	sscortex	male	31
GSM1475069	sscortex	male	31
GSM1475070	sscortex	male	31
GSM1475073	sscortex	male	31
GSM1475074	sscortex	male	31
GSM1475075	sscortex	male	31
GSM1475077	sscortex	male	31
GSM1475078	sscortex	male	31
GSM1475079	sscortex	male	31
GSM1475080	sscortex	male	31
GSM1475081	sscortex	male	31
GSM1475082	sscortex	male	31
GSM1475083	sscortex	male	31
GSM1475085	sscortex	male	31
GSM1475086	sscortex	male	31
GSM1475087	sscortex	male	31
GSM1475088	sscortex	male	31
GSM1475089	sscortex	male	31
GSM1475090	sscortex	male	31
GSM1475091	sscortex	male	31
GSM1475092	sscortex	male	31
GSM1475095	sscortex	male	31
GSM1475096	sscortex	male	31
GSM1475097	sscortex	male	31
GSM1475098	sscortex	male	31
GSM1475099	sscortex	male	31
GSM1475100	sscortex	male	31
GSM1475101	sscortex	male	31
GSM1475102	sscortex	male	31
GSM1475103	sscortex	male	31
GSM1475104	sscortex	female	20
GSM1475105	sscortex	female	20
GSM1475108	sscortex	female	20
GSM1475110	sscortex	female	20
GSM1475111	sscortex	female	20
GSM1475112	sscortex	female	20
GSM1475113	sscortex	female	20
GSM1475114	sscortex	female	20
GSM1475115	sscortex	female	20
GSM1475116	sscortex	female	20
GSM1475117	sscortex	female	20
GSM1475118	sscortex	female	20
GSM1475119	sscortex	female	20
GSM1475120	sscortex	female	20
GSM1475121	sscortex	female	20
GSM1475124	sscortex	female	20
GSM1475126	sscortex	female	20
GSM1475129	sscortex	female	20
GSM1475130	sscortex	female	20
GSM1475131	sscortex	female	20
GSM1475132	sscortex	female	20
GSM1475133	sscortex	female	20
GSM1475134	sscortex	female	20
GSM1475135	sscortex	female	20
GSM1475139	sscortex	female	20
GSM1475140	sscortex	female	20
GSM1475141	sscortex	female	20
GSM1475142	sscortex	female	20
GSM1475143	sscortex	female	20
GSM1475144	sscortex	female	20
GSM1475145	sscortex	female	20
GSM1475148	sscortex	female	20
GSM1475150	sscortex	female	20
GSM1475152	sscortex	female	20
GSM1475153	sscortex	female	20
GSM1475154	sscortex	female	20
GSM1475155	sscortex	male	21
GSM1475156	sscortex	male	21
GSM1475157	sscortex	male	21
GSM1475158	sscortex	male	21
GSM1475159	sscortex	male	21
GSM1475160	sscortex	male	21
GSM1475161	sscortex	male	21
GSM1475162	sscortex	male	21
GSM1475165	sscortex	male	21
GSM1475166	sscortex	male	21
GSM1475169	sscortex	male	21
GSM1475170	sscortex	male	21
GSM1475171	sscortex	male	21
GSM1475172	sscortex	male	21
GSM1475173	sscortex	male	21
GSM1475176	sscortex	male	21
GSM1475177	sscortex	male	21
GSM1475178	sscortex	male	21
GSM1475179	sscortex	male	21
GSM1475180	sscortex	male	21
GSM1475181	sscortex	male	21
GSM1475182	sscortex	male	21
GSM1475183	sscortex	male	21
GSM1475184	sscortex	male	21
GSM1475185	sscortex	male	21
GSM1475186	sscortex	male	21
GSM1475187	sscortex	male	21
GSM1475188	sscortex	male	21
GSM1475191	sscortex	male	21
GSM1475192	sscortex	male	21
GSM1475193	sscortex	male	21
GSM1475194	sscortex	male	21
GSM1475195	sscortex	male	21
GSM1475196	sscortex	male	21
GSM1475198	sscortex	male	21
GSM1475199	sscortex	male	21
GSM1475200	sscortex	male	21
GSM1475201	sscortex	male	21
GSM1475202	sscortex	male	21
GSM1475203	sscortex	male	21
GSM1475204	sscortex	male	21
GSM1475205	sscortex	male	21
GSM1475206	sscortex	female	20
GSM1475207	sscortex	female	20
GSM1475208	sscortex	female	20
GSM1475209	sscortex	female	20
GSM1475210	sscortex	female	20
GSM1475211	sscortex	female	20
GSM1475212	sscortex	female	20
GSM1475213	sscortex	female	20
GSM1475214	sscortex	female	20
GSM1475215	sscortex	female	20
GSM1475216	sscortex	female	20
GSM1475217	sscortex	female	20
GSM1475219	sscortex	female	20
GSM1475220	sscortex	female	20
GSM1475221	sscortex	female	20
GSM1475222	sscortex	female	20
GSM1475224	sscortex	female	20
GSM1475225	sscortex	female	20
GSM1475226	sscortex	female	20
GSM1475227	sscortex	female	20
GSM1475228	sscortex	female	20
GSM1475229	sscortex	female	20
GSM1475230	sscortex	female	20
GSM1475231	sscortex	male	23
GSM1475232	sscortex	male	23
GSM1475233	sscortex	male	23
GSM1475234	sscortex	male	23
GSM1475235	sscortex	male	23
GSM1475236	sscortex	male	23
GSM1475237	sscortex	male	23
GSM1475238	sscortex	male	23
GSM1475239	sscortex	male	23
GSM1475240	sscortex	male	23
GSM1475241	sscortex	male	23
GSM1475242	sscortex	male	23
GSM1475243	sscortex	male	23
GSM1475244	sscortex	male	23
GSM1475245	sscortex	male	23
GSM1475246	sscortex	male	23
GSM1475247	sscortex	male	23
GSM1475248	sscortex	male	23
GSM1475249	sscortex	male	23
GSM1475250	sscortex	male	23
GSM1475251	sscortex	male	23
GSM1475252	sscortex	male	23
GSM1475253	sscortex	male	23
GSM1475254	sscortex	male	23
GSM1475255	sscortex	male	23
GSM1475256	sscortex	male	23
GSM1475257	sscortex	male	23
GSM1475258	sscortex	male	23
GSM1475259	sscortex	male	23
GSM1475260	sscortex	male	23
GSM1475261	sscortex	male	23
GSM1475262	sscortex	male	23
