	CellType	Resting membrane potential (mV)	Max. AP frequency (Hz)	Frequency Slope (Hz/pA)	AP firing threshold (pA)	Input resistance (MOhm)	Series Resistance (MOhm)	Capacitance (pF)	AP basewidth (ms)	AP halfwidth (ms)	AP symmetricity	AP peak amplitude (mV)	Sag potential	Attenuation	Latency (ms)	Approx Resistance (MOhm)
O448	Cortical	-83.3435	374.99999999999466	0.3134707705175465	-50.0	174.72088600541963	16.355122249779477	33.7492682	0.7131942172916852	0.3675599572142696	0.3786656961890352	75.58286150283371	6.957999999999998	1.4196139113193655	22.160000000000082	0.08389905227327789
O449	UC	-63.6902	201.22285756529493	0.41783670862825917	-100.0	94.31307262182041	12.150651455962748	70.47133240000001	0.5077325118697308	0.25540240948121945	0.43700102101223337	83.74434947512874	4.058799999999998	1.2168838031050824	71.68000000000006	0.03833633615836029
O450	hBIC	-65.4602	202.8825829656732	0.4613817833671927	25.704770067645562	217.21411429511284	15.943002516073644	22.20358540000001	0.5451613232233277	0.2714424114106837	0.45143003826783706	88.57426108655812	3.1738	1.5059759550152942	520.16	0.034998778445828625
O451	UC	-46.3562	286.8457259653747	0.6108912453643516	-125.0	76.40492808729967	8.335984801699135	63.389100600000006	0.46780253004524125	0.2438829688422661	0.4901421693240504	83.19603419163374	7.293700000000001	1.644445772745094	685.4800000000001	0.03288427759816774
O452	UC	-57.8613	201.25467130264673	0.40043690916551894	-50.0	70.79226025386953	6.3356124178459545	76.468266	0.5398043064177447	0.28931972758016933	0.5025484825866012	63.8090177206139	3.5705000000000027	1.5208846591635106	110.32000000000005	0.03342310553189225
O453	UC	-71.5942	167.6490677326822	0.4076616615699996	109.92015580714657	58.8458769989356	9.60669111415848	81.74255840000001	0.48572636259525104	0.2435499279572546	0.45620589856511057	70.22298495580215	2.410899999999998	1.3203655660907765	407.4	0.061425157216410516
O454	vBC	-50.6592	237.49175740017236	0.5081899698145752	10.228155282181135	121.14699552422424	16.86135205280638	25.774670000000008	0.5695666800121854	0.2993136674076342	0.4604222433501937	76.82211911263289	2.0446999999999917	1.2456715558722697	59.72000000000003	0.026760773041424046
O46	vBC	-57.2144	137.064489034051	0.3881528215843523	75.0	75.75860882951434	16.45824493884281	48.75372399999999	0.4710455277945661	0.23341797345409557	0.45527142433339735	78.95805010001548	0.8789000000000016	1.0988090439964922	1231.1599999999999	0.057489177117997725
O47	vBC	-61.4746	140.01366148750554	0.4979695769660714	175.0	123.90191924072907	10.352106187764432	35.78126720000002	0.4541258119214351	0.21679324455911358	0.4725947900324731	82.60611863111913	1.6602000000000032	1.1009543925561165	1202.6	0.06324463579337242
O48	vBC	-60.31795	91.06726551656767	0.3082211480364618	200.0	73.73174033450616	13.365328146873196	45.31886560000002	0.4362214718740298	0.21587188741800006	0.4196497755316898	83.52494219323731	0.7079999999999984	1.0654588045575997	410.19999999999993	0.04993857659599381
