	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
F2S4_160505_003_H01	Vip Rspo1 Itga4	2.794205	2.164808	77.47491683681046	9.82	19.135
F2S4_160502_010_C01	Vip Rspo1 Itga4	3.061985	2.030591	66.31616418761031	9.366	16.58
F2S4_160422_011_F01	Vip Rspo1 Itga4	2.588688	2.253724	87.06047233193031	8.764	16.533
F2S4_160415_020_E01	Vip Rspo1 Itga4	2.504354	1.980294	79.07404464384827	9.524	17.9
F2S4_160404_016_C01	Vip Rspo1 Itga4	2.428122	2.020483	83.21175789354899	9.253	17.534
F2S4_160330_019_H01	Vip Rspo1 Itga4	1.760199	1.372806	77.99152254943901	7.671	12.86
F2S4_160205_025_A01	Vip Rspo1 Itga4	2.388829	1.93222	80.88565569155432	9.353	17.981
F2S4_160204_019_F01	Vip Rspo1 Itga4	3.936934	2.304925	58.546193560775976	10.804	19.86
F2S4_160204_018_C01	Vip Rspo1 Itga4	1.104218	0.544248	49.288093474295835	9.228	18.876
F2S4_160629_013_G01	Vip Rspo1 Itga4	2.53365	1.84367	72.76735144948987	8.637	15.18
F2S4_171006_014_E01	Vip Pygm C1ql1	1.44079	1.212562	84.15952359469458	8.278	15.369
F2S4_171006_010_F01	Vip Pygm C1ql1	1.63613	1.359134	83.07004944594867	8.843	16.893
F2S4_171006_004_G01	Vip Pygm C1ql1	1.794701	1.447794	80.67048494428877	9.301	17.467
F2S4_170807_007_H01	Vip Pygm C1ql1	1.402026	1.056765	75.37413714153661	7.899	14.058
F2S4_170807_007_G01	Vip Pygm C1ql1	1.400132	1.148886	82.0555490482326	9.186	18.25
F2S4_170707_036_H01	Vip Pygm C1ql1	2.689071	2.029826	75.4842843495021	7.886	13.309
F2S4_170707_020_A01	Vip Pygm C1ql1	2.242136	1.855244	82.74449007553511	9.282	18.051
F2S4_170707_014_H01	Vip Pygm C1ql1	2.427434	1.557361	64.15667738031189	9.229	17.633
F2S4_170707_014_F01	Vip Pygm C1ql1	2.229099	1.530034	68.63912280253142	8.84	16.186
F2S4_170707_014_E01	Vip Pygm C1ql1	2.166433	1.447418	66.81111301388042	8.765	15.99
F2S4_170707_014_C01	Vip Pygm C1ql1	2.41201	1.974596	81.86516639649089	8.702	16.124
F2S4_170518_002_B01	Vip Pygm C1ql1	2.768529	2.344567	84.6863803846736	9.156	17.379
F2S4_170320_006_E01	Vip Pygm C1ql1	2.800698	2.278835	81.3666807345883	8.087	13.156
F2S4_161109_001_E01	Vip Pygm C1ql1	2.118576	1.684536	79.51265378254074	9.483	17.744
F2S4_161107_018_C01	Vip Pygm C1ql1	2.82137	2.010307	71.2528665152036	7.51	12.243
F2S4_161107_017_H01	Vip Pygm C1ql1	2.156056	1.826874	84.7322147476689	7.119	12.259
F2S4_161107_015_B01	Vip Pygm C1ql1	2.75492	2.227689	80.86220289518388	8.018	14.635
F2S4_161107_012_H01	Vip Pygm C1ql1	2.703344	2.266036	83.82344237359361	8.257	15.172
F2S4_161107_012_G01	Vip Pygm C1ql1	2.761553	2.464935	89.25901476451837	7.76	14.56
F2S4_161107_012_C01	Vip Pygm C1ql1	2.694511	2.391673	88.7609291630281	8.64	16.858
F2S4_161107_006_H01	Vip Pygm C1ql1	2.625715	2.188205	83.33749093104163	8.877	15.901
F2S4_161107_001_D01	Vip Pygm C1ql1	2.538425	2.11696	83.39659434491861	8.718	15.928
F2S4_161017_025_D01	Vip Pygm C1ql1	2.961802	2.465584	83.246077894471	10.512	20.844
F2S4_161017_024_A01	Vip Pygm C1ql1	2.487069	1.890711	76.0216544052457	9.758	17.707
F2S4_161017_021_C01	Vip Pygm C1ql1	2.696979	2.070406	76.76759811626269	10.798	21.999
F2S4_161017_021_B01	Vip Pygm C1ql1	2.909731	2.323906	79.86669558113792	11.096	23.121
F2S4_161017_019_E01	Vip Pygm C1ql1	2.185757	1.65624	75.77420545833776	10.359	20.719
F2S4_161017_018_H01	Vip Pygm C1ql1	2.255998	1.714286	75.98792197510814	8.436	14.23
F2S4_161017_016_E01	Vip Pygm C1ql1	1.154816	0.837907	72.55761956883174	9.637	18.314
F2S4_161017_016_B01	Vip Pygm C1ql1	2.842856	2.201828	77.45126731709239	9.135	16.656
F2S4_161017_015_B01	Vip Pygm C1ql1	2.924551	2.178904	74.50388110858727	10.215	19.198
F2S4_161017_013_G01	Vip Pygm C1ql1	2.756633	1.898136	68.85704408240053	10.764	20.755
F2S4_161017_013_A01	Vip Pygm C1ql1	2.199714	1.688289	76.75038664117243	9.453	17.504
F2S4_161017_012_B01	Vip Pygm C1ql1	2.359979	2.040035	86.4429302125146	9.457	18.663
F2S4_161017_011_B01	Vip Pygm C1ql1	2.601227	1.951904	75.03781869094854	9.501	17.703
F2S4_161017_010_H01	Vip Pygm C1ql1	2.070194	1.666022	80.47661233681481	8.422	15.316
F2S4_161017_010_A01	Vip Pygm C1ql1	2.421885	1.949091	80.47826383168481	10.407	21.414
F2S4_161017_009_B01	Vip Pygm C1ql1	2.574256	2.037044	79.13136844198867	8.096	14.054
F2S4_161017_008_F01	Vip Pygm C1ql1	2.240432	1.574693	70.2852396323566	9.594	17.511
F2S4_161017_005_F01	Vip Pygm C1ql1	2.235215	1.839671	82.30398418049269	8.8	16.479
F2S4_161017_004_F01	Vip Pygm C1ql1	2.429491	1.967566	80.98675813164155	10.438	21.714
F2S4_161017_003_C01	Vip Pygm C1ql1	1.634132	1.332319	81.53068417973579	8.37	15.73
F2S4_160819_018_H01	Vip Pygm C1ql1	2.702114	2.198445	81.36018687590531	8.997	16.791
F2S4_160819_011_C01	Vip Pygm C1ql1	2.40797	1.49354	62.024859113693275	9.763	17.643
F2S4_160819_007_B01	Vip Pygm C1ql1	2.395107	1.4905	62.231040199874165	9.627	17.303
F2S4_160808_029_F01	Vip Pygm C1ql1	2.801864	2.184856	77.97865992068137	10.634	20.758
F2S4_160808_017_D01	Vip Pygm C1ql1	2.754453	2.52735	91.75505989755499	9.089	18.329
F2S4_160707_007_A01	Vip Pygm C1ql1	2.232699	1.583427	70.91985977509731	7.252	12.324
F2S4_160629_021_H01	Vip Pygm C1ql1	2.224845	1.796188	80.73317467059502	10.028	19.225
F2S4_160623_031_G01	Vip Pygm C1ql1	2.512814	1.89986	75.60686943004934	8.739	15.697
F2S4_160623_028_E01	Vip Pygm C1ql1	2.258584	1.672393	74.04608374096337	9.557	17.879
F2S4_160623_026_H01	Vip Pygm C1ql1	2.706043	2.143669	79.21784687087381	9.221	17.077
F2S4_160623_012_F01	Vip Pygm C1ql1	2.481103	1.789674	72.13219281908087	10.387	19.626
F2S4_160620_026_G01	Vip Pygm C1ql1	2.427524	1.836177	75.63991128409029	9.225	17.093
F2S4_160620_025_C01	Vip Pygm C1ql1	4.678229	3.097735	66.21597617388973	11.659	22.261
F2S4_160620_016_A01	Vip Pygm C1ql1	2.836786	2.189746	77.19108878850925	10.18	19.231
F2S4_160620_014_A01	Vip Pygm C1ql1	2.698842	2.065364	76.5277848795891	9.84	18.536
F2S4_160620_010_A01	Vip Pygm C1ql1	2.767702	2.278244	82.31536487670999	10.339	20.33
F2S4_160620_005_E01	Vip Pygm C1ql1	1.026661	0.754701	73.51024340069408	8.851	16.675
F2S4_160620_001_C01	Vip Pygm C1ql1	5.063826	4.315831	85.2286591205938	8.782	15.788
F2S4_160616_007_F01	Vip Pygm C1ql1	2.361418	1.882869	79.73467636818216	9.111	16.75
F2S4_160613_019_E01	Vip Pygm C1ql1	2.244007	1.673777	74.58876019548958	9.547	17.862
F2S4_160613_016_E01	Vip Pygm C1ql1	2.407409	1.794933	74.55870606116368	10.7	21.134
F2S4_160613_013_C01	Vip Pygm C1ql1	2.362168	1.793399	75.92173799662005	10.173	19.755
F2S4_160613_007_F01	Vip Pygm C1ql1	2.497584	2.002612	80.18196785373387	10.377	20.591
F2S4_160601_010_E01	Vip Pygm C1ql1	2.569093	1.924139	74.89565383580899	9.34	17.153
F2S4_160601_008_C01	Vip Pygm C1ql1	2.695751	2.106442	78.13933853683073	9.333	17.304
F2S4_160601_007_G01	Vip Pygm C1ql1	2.583882	2.188481	84.69740491245344	8.871	16.288
F2S4_160601_007_B01	Vip Pygm C1ql1	2.899297	2.349241	81.02795263817403	8.468	15.157
F2S4_160531_028_G01	Vip Pygm C1ql1	3.314091	2.434486	73.45863466030355	10.302	19.221
F2S4_160531_028_D01	Vip Pygm C1ql1	2.201565	1.562042	70.95143681880843	9.331	16.726
F2S4_160531_027_E01	Vip Pygm C1ql1	2.304221	1.654952	71.82262465275683	9.343	16.807
F2S4_160531_027_A01	Vip Pygm C1ql1	2.668215	2.041979	76.52977739799829	9.666	18.465
F2S4_160531_024_H01	Vip Pygm C1ql1	2.497991	1.983142	79.38947738402581	11.152	23.653
F2S4_160531_022_F01	Vip Pygm C1ql1	2.644083	1.913967	72.38679723745433	9.72	18.285
F2S4_160531_019_H01	Vip Pygm C1ql1	2.230603	1.676577	75.1625009022224	9.322	17.848
F2S4_160531_016_D01	Vip Pygm C1ql1	2.585554	2.000367	77.36705557106909	9.763	18.264
F2S4_160531_007_G01	Vip Pygm C1ql1	3.337208	2.389317	71.5962864765996	10.303	18.945
F2S4_160531_004_H01	Vip Pygm C1ql1	3.241844	2.58246	79.66021807341748	10.639	20.708
F2S4_160531_004_C01	Vip Pygm C1ql1	3.319212	2.436052	73.39247990185623	9.773	17.69
F2S4_160531_003_E01	Vip Pygm C1ql1	2.41741	1.790738	74.0767184714219	10.506	20.041
F2S4_160531_002_C01	Vip Pygm C1ql1	3.146774	2.14756	68.24640091725685	9.588	17.661
F2S4_160526_022_C01	Vip Pygm C1ql1	2.832784	2.299267	81.16633672034294	10.178	20.206
F2S4_160526_022_A01	Vip Pygm C1ql1	2.73943	2.260173	82.50522919001398	10.338	20.91
F2S4_160526_020_G01	Vip Pygm C1ql1	2.367168	1.734313	73.26531112282694	8.916	16.13
F2S4_160526_018_E01	Vip Pygm C1ql1	2.598751	2.19992	84.65297367850941	10.139	20.586
F2S4_160525_021_H01	Vip Pygm C1ql1	2.035352	1.426565	70.08935063812058	10.211	19.333
F2S4_160525_011_E01	Vip Pygm C1ql1	2.397483	1.768858	73.7797932248112	10.469	19.924
F2S4_160525_010_H01	Vip Pygm C1ql1	2.542414	1.878867	73.90090677600108	10.757	20.999
F2S4_160525_007_C01	Vip Pygm C1ql1	2.524277	1.882073	74.55889349702906	10.176	19.92
F2S4_160525_005_F01	Vip Pygm C1ql1	2.446016	1.757695	71.85950541615426	10.313	20.084
F2S4_160525_004_G01	Vip Pygm C1ql1	3.103459	2.147325	69.19134423879935	10.748	20.598
F2S4_160524_016_C01	Vip Pygm C1ql1	2.487452	1.623265	65.25814367473221	9.236	16.403
F2S4_160524_015_G01	Vip Pygm C1ql1	2.53514	1.900146	74.95231032605693	10.126	19.383
F2S4_160524_008_D01	Vip Pygm C1ql1	2.877113	2.26331	78.66600998987528	8.504	15.169
F2S4_160524_008_C01	Vip Pygm C1ql1	3.526101	2.55275	72.39582757272126	9.425	16.818
F2S4_160523_011_F01	Vip Pygm C1ql1	3.949389	3.2375	81.97470545443865	9.653	17.797
F2S4_160523_002_C01	Vip Pygm C1ql1	3.658856	2.670715	72.99317054292379	9.326	16.603
F2S4_160518_036_A01	Vip Pygm C1ql1	3.774283	3.119535	82.65238722162593	10.55	21.031
F2S4_160518_013_E01	Vip Pygm C1ql1	3.645875	2.896453	79.44466006102788	10.304	19.49
F2S4_160518_012_E01	Vip Pygm C1ql1	3.728593	3.007618	80.66361761661838	10.421	20.425
F2S4_160518_002_E01	Vip Pygm C1ql1	3.457166	2.622113	75.84573607399818	10.567	20.431
F2S4_160517_026_H01	Vip Pygm C1ql1	2.497699	2.144019	85.83976692147453	9.396	18.472
F2S4_160517_010_H01	Vip Pygm C1ql1	3.688642	3.067714	83.16648782939629	10.578	21.603
F2S4_160516_015_G01	Vip Pygm C1ql1	3.106622	2.244356	72.24425758911124	10.374	19.623
F2S4_160516_010_G01	Vip Pygm C1ql1	2.798429	2.173331	77.66253851714659	8.523	14.957
F2S4_160516_008_F01	Vip Pygm C1ql1	2.651201	1.872542	70.629952236741	10.422	20.248
F2S4_160506_014_F01	Vip Pygm C1ql1	4.058308	3.372919	83.11145925839044	10.079	19.781
F2S4_160506_012_G01	Vip Pygm C1ql1	3.517145	2.892808	82.24875573796359	10.984	22.035
F2S4_160506_010_G01	Vip Pygm C1ql1	3.588626	2.947028	82.12134672155861	10.108	19.204
F2S4_160506_008_D01	Vip Pygm C1ql1	3.182353	2.591705	81.43989683105552	10.601	21.387
F2S4_160505_024_A01	Vip Pygm C1ql1	4.06563	2.790124	68.6271008429198	9.312	16.258
F2S4_160505_022_C01	Vip Pygm C1ql1	3.591053	2.67518	74.49569805848034	9.811	18.42
F2S4_160505_019_F01	Vip Pygm C1ql1	3.675523	3.166993	86.16441796174314	9.89	19.679
F2S4_160505_018_H01	Vip Pygm C1ql1	2.103762	1.679054	79.81197492872293	10.315	20.38
F2S4_160505_003_C01	Vip Pygm C1ql1	2.997155	2.342865	78.16963086660517	8.997	16.34
F2S4_160503_005_H01	Vip Pygm C1ql1	2.625358	1.818656	69.27268585846198	10.399	19.962
F2S4_160502_014_H01	Vip Pygm C1ql1	2.893629	2.361941	81.62556430005367	9.507	18.474
F2S4_160502_012_B01	Vip Pygm C1ql1	3.145685	2.44175	77.6222031131534	9.402	17.502
F2S4_160502_005_E01	Vip Pygm C1ql1	3.088842	2.052331	66.44337910453173	9.233	16.296
F2S4_160502_005_D01	Vip Pygm C1ql1	2.896329	2.29213	79.13914475876186	7.906	13.579
F2S4_160502_004_H01	Vip Pygm C1ql1	2.579331	2.195146	85.10524628285397	9.862	19.998
F2S4_160502_001_H01	Vip Pygm C1ql1	2.874268	2.211333	76.93551888689574	10.317	19.521
F2S4_160502_001_A01	Vip Pygm C1ql1	2.952274	2.548396	86.31976571280308	7.741	13.6
F2S4_160429_010_A01	Vip Pygm C1ql1	3.072835	2.460568	80.07484944684632	9.581	18.009
F2S4_160429_009_D01	Vip Pygm C1ql1	2.904464	2.306981	79.42880338678668	7.771	13.551
F2S4_160429_007_D01	Vip Pygm C1ql1	2.782279	2.288361	82.24771850702248	8.921	16.79
F2S4_160422_010_B01	Vip Pygm C1ql1	2.433799	1.865325	76.64252471136687	9.096	16.457
F2S4_160421_018_B01	Vip Pygm C1ql1	2.526822	1.965528	77.78656351733521	9.043	16.35
F2S4_160421_002_F01	Vip Pygm C1ql1	2.675143	2.27924	85.20067899173989	10.286	20.911
F2S4_160421_001_H01	Vip Pygm C1ql1	1.929261	1.5422	79.93734388452366	8.131	14.338
F2S4_160420_028_C01	Vip Pygm C1ql1	3.001706	2.276978	75.85612981417901	9.238	16.981
F2S4_160420_022_G01	Vip Pygm C1ql1	2.839133	2.101147	74.00664216857753	9.922	18.523
F2S4_160420_011_D01	Vip Pygm C1ql1	2.656475	2.150877	80.9673345316632	10.521	21.145
F2S4_160420_010_G01	Vip Pygm C1ql1	2.349157	1.735286	73.86845579073686	9.442	17.347
F2S4_160420_006_D01	Vip Pygm C1ql1	2.617042	2.116845	80.88693265144389	9.776	18.759
F2S4_160420_003_E01	Vip Pygm C1ql1	2.349906	1.633874	69.52933436486396	10.44	20.366
F2S4_160420_003_B01	Vip Pygm C1ql1	3.019326	2.071625	68.61216708629675	9.884	18.438
F2S4_160419_022_H01	Vip Pygm C1ql1	2.65505	1.991355	75.00254232500329	8.899	16.085
F2S4_160419_019_B01	Vip Pygm C1ql1	2.541144	2.065166	81.26914492055548	9.648	18.509
F2S4_160419_011_D01	Vip Pygm C1ql1	2.298366	1.852117	80.58407581734154	11.166	24.591
F2S4_160419_007_C01	Vip Pygm C1ql1	2.488545	2.165806	87.0310161158428	9.123	17.254
F2S4_160419_003_E01	Vip Pygm C1ql1	2.552677	1.878723	73.59814814016814	9.222	16.751
F2S4_160415_025_H01	Vip Pygm C1ql1	2.199922	1.559694	70.89769546374825	8.979	16.27
F2S4_160415_025_E01	Vip Pygm C1ql1	2.489798	1.947344	78.21293133017217	8.708	15.746
F2S4_160415_024_C01	Vip Pygm C1ql1	3.000274	2.43005	80.99426919008064	10.113	19.486
F2S4_160415_024_B01	Vip Pygm C1ql1	2.37422	1.870216	78.77180716193108	8.898	16.004
F2S4_160415_018_F01	Vip Pygm C1ql1	3.24799	2.767553	85.20817490201632	9.418	18.222
F2S4_160414_010_E01	Vip Pygm C1ql1	2.968962	2.563894	86.35657849443677	8.239	15.376
F2S4_160413_024_F01	Vip Pygm C1ql1	2.406312	2.031557	84.42616751277474	8.807	16.356
F2S4_160407_001_D01	Vip Pygm C1ql1	2.564158	2.076334	80.9752753145477	11.35	23.88
F2S4_160406_002_D01	Vip Pygm C1ql1	2.636463	2.272271	86.18634132168742	10.481	21.365
F2S4_160405_041_H01	Vip Pygm C1ql1	2.780457	2.236011	80.41883042967396	10.451	21.096
F2S4_160405_035_G01	Vip Pygm C1ql1	2.878597	2.501855	86.91230484850779	8.457	15.757
F2S4_160405_035_B01	Vip Pygm C1ql1	2.697216	2.181835	80.89211245966212	10.416	20.902
F2S4_160405_033_H01	Vip Pygm C1ql1	3.093945	2.596558	83.92385772856336	10.636	21.921
F2S4_160404_047_H01	Vip Pygm C1ql1	2.316475	1.829136	78.96204362231408	8.865	16.131
F2S4_160404_047_F01	Vip Pygm C1ql1	2.838743	2.258795	79.57025345372935	10.72	21.649
F2S4_160404_046_A01	Vip Pygm C1ql1	2.545291	2.058124	80.86006668785612	10.576	21.253
F2S4_160404_024_F01	Vip Pygm C1ql1	3.137566	2.462025	78.46926566644335	11.025	22.088
F2S4_160404_021_F01	Vip Pygm C1ql1	2.684215	2.133099	79.46826167054428	10.88	22.218
F2S4_160404_019_G01	Vip Pygm C1ql1	2.8414	2.260001	79.53829098331808	10.493	20.69
F2S4_160404_016_H01	Vip Pygm C1ql1	2.689224	2.115412	78.66254354415996	9.572	18.286
F2S4_160404_014_F01	Vip Pygm C1ql1	2.74607	2.230315	81.21843215941327	10.023	19.513
F2S4_160404_002_G01	Vip Pygm C1ql1	2.439626	2.07392	85.00975149469633	8.854	16.906
F2S4_160330_022_E01	Vip Pygm C1ql1	2.710156	1.965713	72.5313598184016	9.57	17.679
F2S4_160330_015_F01	Vip Pygm C1ql1	2.5998	2.022995	77.81348565274251	9.444	17.411
F2S4_160330_014_D01	Vip Pygm C1ql1	2.97574	2.365081	79.47875150382761	10.084	19.31
F2S4_160330_001_C01	Vip Pygm C1ql1	2.608032	1.632372	62.59018294254057	10.157	18.959
F2S4_160321_002_E01	Vip Pygm C1ql1	2.919806	2.107224	72.17000033563875	10.138	19.563
F2S4_160304_018_G01	Vip Pygm C1ql1	3.16889	2.179204	68.768685564977	9.014	15.942
F2S4_160304_013_D01	Vip Pygm C1ql1	3.368902	2.699933	80.1428180457609	10.918	21.92
F2S4_160304_012_E01	Vip Pygm C1ql1	2.656442	1.978821	74.49140617412311	10.216	19.036
F2S4_160303_022_D01	Vip Pygm C1ql1	2.9881	2.289501	76.62062849302231	10.722	21.211
F2S4_160303_022_B01	Vip Pygm C1ql1	2.599229	1.386986	53.36143910367267	8.343	13.856
F2S4_160303_021_C01	Vip Pygm C1ql1	2.556834	1.463691	57.24622717000791	8.537	14.656
F2S4_160224_002_F01	Vip Pygm C1ql1	1.815855	1.176912	64.81310457057418	9.664	17.721
F2S4_160224_002_C01	Vip Pygm C1ql1	1.852739	1.392358	75.15133000384836	10.496	20.044
F2S4_160224_001_G01	Vip Pygm C1ql1	1.689453	1.116591	66.09186523685476	9.48	17.398
F2S4_160224_001_F01	Vip Pygm C1ql1	2.294378	1.32763	57.86448440492369	9.9	18.067
F2S4_160224_001_C01	Vip Pygm C1ql1	1.902774	1.271844	66.84156920369944	9.829	17.928
F2S4_160216_002_E01	Vip Pygm C1ql1	2.148362	1.496214	69.6444081584016	10.019	18.801
F2S4_160205_032_G01	Vip Pygm C1ql1	1.384849	1.067083	77.0541048157597	10.676	22.14
F2S4_160205_032_D01	Vip Pygm C1ql1	1.362726	0.925134	67.8884823508174	10.029	19.109
F2S4_160205_030_G01	Vip Pygm C1ql1	1.874411	1.370147	73.0974690182676	9.442	17.233
F2S4_160205_029_G01	Vip Pygm C1ql1	2.089799	1.449654	69.36810669351455	9.898	17.914
F2S4_160205_029_A01	Vip Pygm C1ql1	2.229693	1.32304	59.33731684137681	9.679	17.336
F2S4_160205_027_A01	Vip Pygm C1ql1	1.897585	1.212023	63.87186871734336	9.372	16.798
F2S4_160205_023_H01	Vip Pygm C1ql1	1.097478	0.525057	47.84214353271774	9.903	17.532
F2S4_160204_023_E01	Vip Pygm C1ql1	2.926889	1.788645	61.11079033062067	10.637	19.957
F2S4_160204_023_D01	Vip Pygm C1ql1	2.723689	1.71765	63.06336736683227	10.895	20.827
F2S4_160204_022_D01	Vip Pygm C1ql1	2.737779	1.922298	70.21377547274633	10.193	19.393
F2S4_160204_022_B01	Vip Pygm C1ql1	2.73703	1.596068	58.31386575960074	10.769	20.728
F2S4_160204_020_H01	Vip Pygm C1ql1	1.988365	1.031576	51.880615480558156	9.253	16.352
F2S4_160204_020_G01	Vip Pygm C1ql1	1.930172	0.977668	50.65185900531144	9.184	16.179
F2S4_160204_015_D01	Vip Pygm C1ql1	1.233964	0.759933	61.584697770761544	10.191	19.358
F2S4_160204_015_A01	Vip Pygm C1ql1	1.405211	0.761189	54.16901803359069	9.45	17.292
F2S4_160204_014_A01	Vip Pygm C1ql1	3.012418	1.785071	59.25708185251848	10.315	19.258
F2S4_160129_027_H01	Vip Pygm C1ql1	3.053012	1.834001	60.07185690721164	9.056	15.914
F2S4_160129_027_A01	Vip Pygm C1ql1	2.690221	1.600119	59.479091122996955	9.538	16.965
F2S4_160127_007_F01	Vip Pygm C1ql1	2.214035	1.480527	66.87008109627897	10.5	20.174
F2S4_160121_011_E01	Vip Pygm C1ql1	2.247671	1.566109	69.6769678480525	9.931	18.57
F2S4_160121_010_G01	Vip Pygm C1ql1	2.417367	1.795612	74.27966047356483	10.205	19.801
F2S4_160121_009_D01	Vip Pygm C1ql1	2.118644	1.563422	73.79352076139266	9.428	17.729
F2S4_160121_009_B01	Vip Pygm C1ql1	2.106388	1.414118	67.13473491113699	9.732	18.363
F2S4_160121_005_E01	Vip Pygm C1ql1	2.211562	1.483536	67.08091385183866	10.645	20.78
F2S4_160119_009_C01	Vip Pygm C1ql1	2.030449	1.286567	63.36366980899298	10.297	19.782
F2S4_160119_009_B01	Vip Pygm C1ql1	1.694371	1.302104	76.84881292231748	9.146	17.366
F2S4_160119_005_A01	Vip Pygm C1ql1	1.733499	1.347569	77.73693552750825	9.293	17.264
F2S4_160119_004_A01	Vip Pygm C1ql1	2.101352	1.304003	62.055429076137656	9.778	18.459
F2S4_160119_001_C01	Vip Pygm C1ql1	3.579533	2.404664	67.17814865793945	10.66	19.838
F2S4_160115_029_A01	Vip Pygm C1ql1	2.530447	1.73712	68.64874071656114	9.015	16.398
F2S4_160115_023_E01	Vip Pygm C1ql1	2.064551	1.763838	85.43446008357266	10.024	19.781
F2S4_160115_009_B01	Vip Pygm C1ql1	2.636808	1.778694	67.45633356694913	9.858	18.005
F2S4_160115_007_A01	Vip Pygm C1ql1	2.912329	2.008483	68.96483879396868	10.427	20.567
F2S4_160114_020_A01	Vip Pygm C1ql1	2.508684	1.465528	58.41819854553223	9.838	17.491
F2S4_160114_018_G01	Vip Pygm C1ql1	2.626029	1.398045	53.23798785161931	9.578	17.214
