	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
F2S4_171204_001_C01	Vip Rspo4 Rxfp1 Chat	1.947362	1.618973	83.13672547785157	8.317	15.083
F2S4_170707_036_F01	Vip Rspo4 Rxfp1 Chat	2.33431	0.808832	34.64972518645767	8.236	16.464
F2S4_170707_035_D01	Vip Rspo4 Rxfp1 Chat	2.493231	2.030772	81.451417858995	7.551	12.832
F2S4_160819_012_A01	Vip Rspo4 Rxfp1 Chat	2.554831	1.76757	69.18539817310813	9.469	17.543
F2S4_160819_001_E01	Vip Rspo4 Rxfp1 Chat	2.737211	1.826802	66.7395388956131	8.814	15.813
F2S4_160725_002_E01	Vip Rspo4 Rxfp1 Chat	2.718924	1.909894	70.24447906598346	7.279	11.957
F2S4_160725_002_B01	Vip Rspo4 Rxfp1 Chat	2.623619	1.922629	73.28156260493616	8.053	13.305
F2S4_160715_010_C01	Vip Rspo4 Rxfp1 Chat	2.342715	2.117818	90.4001553752804	8.201	15.143
F2S4_160524_007_F01	Vip Rspo4 Rxfp1 Chat	2.914028	1.016429	34.88055022120584	11.036	25.553
F2S4_160518_013_G01	Vip Rspo4 Rxfp1 Chat	3.547976	2.607288	73.48663012376635	9.812	17.991
F2S4_160505_023_F01	Vip Rspo4 Rxfp1 Chat	3.28529	2.867926	87.29597691527994	9.376	18.262
F2S4_160420_030_G01	Vip Rspo4 Rxfp1 Chat	2.324855	0.680176	29.25670633222287	9.918	23.628
F2S4_160205_030_C01	Vip Rspo4 Rxfp1 Chat	1.833805	1.012659	55.22173840730067	7.65	12.162
F2S4_160205_024_B01	Vip Rspo4 Rxfp1 Chat	1.226411	0.906654	73.92741911153765	8.589	15.801
F2S4_160204_020_A01	Vip Rspo4 Rxfp1 Chat	2.116428	1.184753	55.978894628118695	8.987	15.726
F2S4_160204_019_E01	Vip Rspo4 Rxfp1 Chat	0.536571	0.253302	47.20754569292787	7.04	11.741
F2S4_160204_018_H01	Vip Rspo4 Rxfp1 Chat	1.892725	1.110303	58.661612225759164	8.852	15.258
F2S4_160127_003_E01	Vip Rspo4 Rxfp1 Chat	2.654007	1.745926	65.78452882754266	9.574	17.462
F2S4_160121_001_D01	Vip Rspo4 Rxfp1 Chat	2.61468	1.659964	63.48631572506005	8.483	14.725
F2S4_170406_017_C01	Vip Rspo1 Itga4	2.553421	2.094793	82.0386845725793	9.4	17.424
F2S4_161017_002_G01	Vip Rspo1 Itga4	2.813842	2.39048	84.95430802440222	9.747	19.074
F2S4_160819_010_G01	Vip Rspo1 Itga4	2.39949	1.7858	74.42414846488212	9.537	18.303
F2S4_160819_005_C01	Vip Rspo1 Itga4	2.580938	2.012666	77.98195849725951	9.285	16.623
F2S4_160819_002_B01	Vip Rspo1 Itga4	2.876813	1.694455	58.900422099038074	9.764	17.308
F2S4_160725_001_A01	Vip Rspo1 Itga4	2.070858	1.766732	85.31400994177292	7.722	13.583
F2S4_160721_003_H01	Vip Rspo1 Itga4	2.554063	1.890885	74.03439147742243	8.299	14.487
F2S4_160708_005_D01	Vip Rspo1 Itga4	2.265666	1.760055	77.68378039834644	8.234	14.318
F2S4_160707_006_F01	Vip Rspo1 Itga4	1.993314	1.657226	83.13923446080247	7.72	13.851
F2S4_160707_005_B01	Vip Rspo1 Itga4	2.478495	1.785149	72.02552355360814	9.055	16.078
F2S4_160629_019_C01	Vip Rspo1 Itga4	2.574255	0.674717	26.210185082674403	9.509	22.465
F2S4_160620_016_F01	Vip Rspo1 Itga4	2.705528	2.000492	73.94090913123057	8.65	15.375
F2S4_160602_002_C01	Vip Rspo1 Itga4	2.846491	2.336814	82.0945507995634	10.076	20.2
F2S4_160526_006_B01	Vip Rspo1 Itga4	2.847565	2.388474	83.87776925197493	9.841	19.821
F2S4_160518_011_G01	Vip Rspo1 Itga4	3.623222	2.961886	81.74729563907482	10.476	20.531
F2S4_160518_008_E01	Vip Rspo1 Itga4	3.58597	2.526145	70.44523518043933	9.364	16.711
F2S4_160517_018_G01	Vip Rspo1 Itga4	3.252002	2.409932	74.1061044857906	9.458	17.171
F2S4_160517_003_A01	Vip Rspo1 Itga4	3.837975	3.103805	80.87090197304568	10.798	21.643
