Cell	CellType	Age
GSM3362199	Pthlh	17
GSM3362200	Pthlh	21
GSM3362201	Th	24
GSM3362202	Th	26
GSM3362203	Th	26
GSM3362204	Pthlh	27
GSM3362205	Pthlh	27
GSM3362206	No	15
GSM3362207	Npy/Mia	15
GSM3362208	Pthlh	17
GSM3362209	No	17
GSM3362210	Pthlh	17
GSM3362211	No	21
GSM3362212	Pthlh	21
GSM3362213	Npy/Mia	21
GSM3362214	No	21
GSM3362215	No	22
GSM3362216	No	15
GSM3362217	Npy/Mia	15
GSM3362218	Pthlh	15
GSM3362219	Pthlh	15
GSM3362220	No	15
GSM3362221	No	15
GSM3362222	Pthlh	17
GSM3362223	Th	17
GSM3362224	Pthlh	18
GSM3362225	Pthlh	18
GSM3362226	No	18
GSM3362227	Pthlh	18
GSM3362228	No	18
GSM3362229	Pthlh	19
GSM3362230	Npy/Mia	19
GSM3362231	Th	19
GSM3362232	Th	19
GSM3362233	No	19
GSM3362234	No	19
GSM3362235	Pthlh	23
GSM3362236	Pthlh	30
GSM3362237	Pthlh	31
GSM3362238	Pthlh	31
GSM3362239	Pthlh	31
GSM3362240	Pthlh	23
GSM3362241	Pthlh	23
GSM3362242	Pthlh	24
GSM3362243	Pthlh	24
GSM3362244	Npy/Mia	24
GSM3362245	No	24
GSM3362246	Pthlh	24
GSM3362247	Th	24
GSM3362248	Th	24
GSM3362249	Th	25
GSM3362250	Pthlh	25
GSM3362251	Pthlh	25
GSM3362252	Pthlh	25
GSM3362253	Th	25
GSM3362254	No	26
GSM3362255	Npy/Mia	26
GSM3362256	No	26
GSM3362257	Pthlh	26
GSM3362258	Pthlh	26
GSM3362259	Th	26
GSM3362260	Pthlh	26
GSM3362261	Pthlh	16
GSM3362262	No	16
GSM3362263	Pthlh	16
GSM3362264	No	17
GSM3362265	Pthlh	17
GSM3362266	No	33
GSM3362267	Pthlh	33
GSM3362268	No	33
GSM3362269	Th	23
GSM3362270	No	29
GSM3362271	Pthlh	15
GSM3362272	Th	23
GSM3362273	No	29
GSM3362274	Pthlh	15
GSM3362275	No	24
GSM3362276	No	23
GSM3362277	No	15
GSM3362278	No	32
GSM3362279	Pthlh	25
GSM3362280	Th	23
GSM3362281	Th	15
GSM3362282	Cck+Vip	26
GSM3362283	Th	23
GSM3362284	Pthlh	15
GSM3362285	No	23
GSM3362286	No	24
GSM3362287	Pthlh	27
GSM3362288	Pthlh	23
GSM3362289	Pthlh	15
GSM3362290	Pthlh	37
GSM3362291	Pthlh	27
GSM3362292	Pthlh	15
GSM3362293	No	23
GSM3362294	Th	43
GSM3362295	Th	29
GSM3362296	Npy/Mia	32
