Axo-morphological types	AAC	BIC	BC	SST-OLM
AAC	0.5065949486279886	0.5424058927715468	0.5083193060385546	0.4868426068663903
BIC	0.5424058927715468	0.5608253406550695	0.5279038650861007	0.5133567878934823
BC	0.5083193060385546	0.5279038650861007	0.49722185638877303	0.4791031623017974
SST-OLM	0.4868426068663902	0.5133567878934823	0.47910316230179745	0.581903843066351
