Morphological types	vAAC	vBIC	hBIC	vBC	hBC	SST-OLM
vAAC	0.5065949486279886	0.575181834353121	0.5155892132957134	0.49456690565421674	0.5556886851401632	0.4868426068663903
vBIC	0.5751818343531209	0.6340342284647342	0.5638391042916403	0.5466657088752828	0.6088217788801202	0.5454085018581292
hBIC	0.5155892132957136	0.5638391042916404	0.5074820213610978	0.4889329859891676	0.5430570402129371	0.4871326582860439
vBC	0.4945669056542165	0.5466657088752828	0.48893298598916757	0.4737581525660862	0.5250849580569784	0.468369509446674
hBC	0.5556886851401632	0.6088217788801201	0.543057040212937	0.5250849580569783	0.5843556595032199	0.5160746332472226
SST-OLM	0.4868426068663902	0.5454085018581291	0.487132658286044	0.46836950944667394	0.5160746332472226	0.581903843066351
