Dendro-morphological types	Vertical	Horizontal	SST-OLM
Vertical	0.5086387363150452	0.5245406845978355	0.4858729693113784
Horizontal	0.5245406845978355	0.5405840099897741	0.5001565470185743
SST-OLM	0.48587296931137863	0.5001565470185743	0.581903843066351
