Gene	This Study	CA1-INs
0610009B22Rik	72.22222222222221	39.03966597077244
0610010F05Rik	57.407407407407405	18.789144050104383
0610010K14Rik	64.81481481481481	39.24843423799583
0610012G03Rik	87.03703703703704	87.89144050104383
0610030E20Rik	27.77777777777778	16.075156576200413
0610037L13Rik	90.74074074074075	28.39248434237996
0610040J01Rik	18.51851851851852	0.8350730688935281
1110002E22Rik	1.8518518518518516	0.8350730688935281
1110004F10Rik	77.77777777777779	70.9812108559499
1110008L16Rik	31.48148148148148	10.647181628392484
1110008P14Rik	72.22222222222221	75.15657620041753
1110012L19Rik	37.03703703703704	10.22964509394572
1110017D15Rik	24.074074074074076	4.175365344467641
1110032A03Rik	68.51851851851852	41.962421711899786
1110032F04Rik	9.25925925925926	5.010438413361169
1110038F14Rik	87.03703703703704	38.20459290187891
1110051M20Rik	77.77777777777779	44.258872651357
1110059E24Rik	50.0	32.77661795407098
1110059G10Rik	79.62962962962963	17.118997912317326
1110065P20Rik	77.77777777777779	82.25469728601253
1190002N15Rik	62.96296296296296	10.22964509394572
1190005I06Rik	11.11111111111111	2.2964509394572024
1190007I07Rik	48.14814814814815	11.691022964509395
1300017J02Rik	24.074074074074076	1.4613778705636744
1500009C09Rik	62.96296296296296	77.24425887265136
1500009L16Rik	37.03703703703704	36.74321503131524
1500011B03Rik	83.33333333333334	89.56158663883089
1500015O10Rik	1.8518518518518516	0.20876826722338201
1520401A03Rik	1.8518518518518516	0.0
1600002K03Rik	16.666666666666664	5.219206680584551
1600012H06Rik	46.296296296296305	16.075156576200413
1600014C10Rik	42.59259259259259	14.40501043841336
1600014C23Rik	1.8518518518518516	0.0
1600029O15Rik	74.07407407407408	9.603340292275574
1700001C19Rik	22.22222222222222	0.6263048016701461
1700001L19Rik	11.11111111111111	8.1419624217119
1700001O22Rik	24.074074074074076	6.471816283924843
1700001P01Rik	0.0	0.20876826722338201
1700003E16Rik	14.814814814814813	5.010438413361169
1700003F12Rik	7.4074074074074066	0.0
1700003N22Rik	9.25925925925926	0.0
