Cell	CellType	X	Y
GSM2662559	Pvalb.C1ql1.Cpne5	-0.06497199088335037	5.827223777770996
GSM2662566	Pvalb.Tac1.Sst	3.4684059619903564	6.347001075744629
GSM2662576	Pvalb.Tac1.Akr1c18	1.3198410272598267	3.6551687717437744
GSM2662583	Pvalb.C1ql1.Pvalb	-0.4930269420146942	4.10330867767334
GSM2662584	Pvalb.C1ql1.Pvalb	-0.24801987409591675	5.342243671417236
GSM2662592	Pvalb.C1ql1.Cpne5	-0.48722076416015625	6.011326313018799
GSM2662603	Pvalb.C1ql1.Cpne5	-1.2250477075576782	6.4334893226623535
GSM2662620	Pvalb.Tac1.Nr4a2	2.7611825466156006	7.14279842376709
GSM2662634	Pvalb.Tac1.Syt2	2.288691997528076	3.9313478469848633
GSM2662637	Pvalb.Tac1.Akr1c18	-0.11500320583581924	3.4742565155029297
GSM2662645	Pvalb.Tac1.Syt2	2.182481288909912	3.421245813369751
GSM2662648	Pvalb.Tac1.Syt2	2.7587578296661377	5.067809581756592
GSM2662654	Pvalb.Tac1.Akr1c18	0.851667046546936	3.1230509281158447
GSM2662656	Pvalb.C1ql1.Pvalb	-1.557573676109314	3.779510736465454
GSM2662666	Pvalb.Tac1.Sst	2.283837080001831	6.183272838592529
GSM2662671	Pvalb.Tac1.Nr4a2	4.174392223358154	5.363850116729736
GSM2662688	Pvalb.Tac1.Nr4a2	2.7861151695251465	5.829695701599121
GSM2662692	Pvalb.C1ql1.Pvalb	-0.821971595287323	5.043442726135254
GSM2662695	Pvalb.Tac1.Syt2	2.819929361343384	6.5167059898376465
GSM2662708	Pvalb.Tac1.Sst	3.618896007537842	5.273087024688721
GSM2662709	Pvalb.C1ql1.Cpne5	-0.774247944355011	4.8150739669799805
GSM2662717	Pvalb.Tac1.Syt2	2.6010704040527344	4.193820476531982
GSM2662744	Pvalb.C1ql1.Pvalb	-0.07556596398353577	6.882739067077637
GSM2662745	Pvalb.Tac1.Syt2	2.7367374897003174	5.231317520141602
GSM2662748	Pvalb.Tac1.Syt2	2.743387222290039	3.8689467906951904
GSM2662758	Pvalb.C1ql1.Pvalb	-1.018397569656372	6.3071441650390625
GSM2662759	Pvalb.Tac1.Nr4a2	1.9818235635757446	6.481490135192871
GSM2662760	Pvalb.C1ql1.Npy	-1.7379953861236572	5.218377113342285
GSM2662773	Pvalb.C1ql1.Cpne5	-0.7380862832069397	5.904160022735596
GSM2662778	Pvalb.Tac1.Nr4a2	3.3403499126434326	6.349854469299316
GSM2662781	Pvalb.Tac1.Syt2	2.4028375148773193	4.834115505218506
GSM2662782	Pvalb.C1ql1.Cpne5	-0.7262272238731384	6.163431167602539
GSM2662806	Pvalb.C1ql1.Pvalb	-1.5992382764816284	4.139595985412598
GSM2662807	Pvalb.C1ql1.Npy	-1.5530884265899658	5.478709697723389
GSM2662822	Pvalb.C1ql1.Npy	-2.2183985710144043	4.1464314460754395
GSM2662838	Pvalb.C1ql1.Cpne5	-0.2687973976135254	6.814713954925537
GSM2662839	Pvalb.Tac1.Nr4a2	1.9399865865707397	7.010683059692383
GSM2662841	Pvalb.Tac1.Nr4a2	2.743300199508667	5.438938140869141
GSM2662846	Pvalb.Tac1.Nr4a2	3.0721492767333984	6.261777400970459
GSM2662857	Pvalb.Tac1.Akr1c18	-0.1473085582256317	2.690600872039795
GSM2662858	Pvalb.Tac1.Nr4a2	2.694812059402466	6.2837233543396
GSM2662859	Pvalb.C1ql1.Pvalb	-1.9681276082992554	4.1037821769714355
GSM2662866	Pvalb.Tac1.Akr1c18	0.10160717368125916	3.2887022495269775
GSM2662876	Pvalb.Tac1.Sst	3.5852549076080322	4.477944374084473
GSM2662881	Pvalb.C1ql1.Pvalb	-1.0830079317092896	5.008407115936279
GSM2662890	Pvalb.C1ql1.Pvalb	-0.6766188144683838	4.837230682373047
GSM2662928	Pvalb.Tac1.Syt2	2.8493807315826416	5.97042989730835
GSM2662929	Pvalb.Tac1.Syt2	3.676260232925415	6.43709135055542
GSM2662936	Pvalb.C1ql1.Pvalb	-1.3969439268112183	4.197474479675293
GSM2662944	Pvalb.C1ql1.Pvalb	0.09002455323934555	5.672926902770996
GSM2662966	Pvalb.Tac1.Sst	4.166693210601807	5.306996822357178
GSM2662972	Pvalb.C1ql1.Cpne5	-1.8531972169876099	4.700376033782959
GSM2662988	Pvalb.C1ql1.Pvalb	-1.3061158657073975	4.536901473999023
GSM2662994	Pvalb.Tac1.Sst	3.245119094848633	5.350755214691162
GSM2663030	Pvalb.Tac1.Sst	1.4671413898468018	3.748232841491699
GSM2663044	Pvalb.Tac1.Akr1c18	0.8261505365371704	2.965102195739746
GSM2663064	Pvalb.Tac1.Syt2	1.9534695148468018	3.6280617713928223
GSM2663081	Pvalb.Tac1.Sst	3.289599895477295	6.2028374671936035
GSM2663112	Pvalb.Tac1.Akr1c18	0.893970251083374	2.8619346618652344
GSM2663134	Pvalb.Tac1.Nr4a2	3.132307529449463	6.5627617835998535
GSM2663141	Pvalb.Tac1.Akr1c18	0.9855533242225647	3.511061668395996
GSM2663143	Pvalb.C1ql1.Cpne5	0.22383907437324524	5.264665126800537
GSM2663161	Pvalb.Tac1.Syt2	1.8218843936920166	5.78757905960083
GSM2663163	Pvalb.C1ql1.Pvalb	-0.24961653351783752	3.8453762531280518
GSM2663177	Pvalb.Tac1.Sst	0.8458970189094543	6.2137675285339355
GSM2663187	Pvalb.Tac1.Akr1c18	2.9159796237945557	4.438098430633545
GSM2663192	Pvalb.C1ql1.Npy	-0.6106488108634949	4.461122035980225
GSM2663219	Pvalb.Tac1.Nr4a2	2.5818912982940674	6.473898410797119
GSM2663226	Pvalb.Tac1.Syt2	1.749897837638855	5.029475212097168
GSM2663229	Pvalb.Tac1.Sst	3.8585917949676514	6.112231254577637
GSM2663231	Pvalb.C1ql1.Cpne5	-0.8362054228782654	5.716693878173828
GSM2663243	Pvalb.Tac1.Akr1c18	1.5913351774215698	3.070094108581543
GSM2663258	Pvalb.C1ql1.Pvalb	1.5222742557525635	5.058660507202148
GSM2663260	Pvalb.C1ql1.Cpne5	-0.39947059750556946	5.717538356781006
GSM2663261	Pvalb.Tac1.Sst	3.521453380584717	6.00356388092041
GSM2663273	Pvalb.C1ql1.Pvalb	-0.7154379487037659	6.200628757476807
GSM2663282	Pvalb.C1ql1.Npy	-0.648792028427124	5.097877025604248
GSM2663283	Pvalb.Tac1.Syt2	2.352368116378784	3.7769153118133545
GSM2663292	Pvalb.Tac1.Syt2	-0.25308549404144287	2.981400966644287
GSM2663312	Pvalb.C1ql1.Pvalb	-0.4029753804206848	3.544639825820923
GSM2663350	Pvalb.Tac1.Sst	-2.1138131618499756	4.54478120803833
