SRA	Cell
SRR7319242	F2S4_160518_024_F01
SRR7319353	F2S4_160518_024_G01
SRR7319464	F2S4_160518_024_H01
SRR7322972	F0S4_160517_009_A01
SRR7323720	F0S4_160517_009_B01
SRR7322973	F0S4_160517_009_C01
SRR7323721	F0S4_160517_009_D01
SRR7321463	F0S4_160517_009_E01
SRR7321474	F0S4_160517_009_F01
SRR7322222	F0S4_160517_009_G01
SRR7322223	F0S4_160517_009_H01
SRR7319575	F2S4_160517_010_A01
SRR7319587	F2S4_160517_010_B01
SRR7319598	F2S4_160517_010_C01
SRR7319609	F2S4_160517_010_D01
SRR7319620	F2S4_160517_010_E01
SRR7319132	F2S4_160517_010_F01
SRR7319143	F2S4_160517_010_G01
SRR7319154	F2S4_160517_010_H01
SRR7319165	F2S4_160517_011_A01
SRR7319176	F2S4_160517_011_B01
SRR7319187	F2S4_160517_011_C01
SRR7319198	F2S4_160517_011_D01
SRR7319209	F2S4_160517_011_E01
SRR7319220	F2S4_160517_011_F01
SRR7319231	F2S4_160517_011_G01
SRR7319243	F2S4_160517_011_H01
SRR7319254	F2S4_160517_012_A01
SRR7319265	F2S4_160517_012_B01
SRR7319276	F2S4_160517_012_C01
SRR7319287	F2S4_160517_012_D01
SRR7319298	F2S4_160517_012_E01
SRR7319309	F2S4_160517_012_F01
SRR7319320	F2S4_160517_012_G01
SRR7319331	F2S4_160517_012_H01
SRR7319342	F2S4_160517_013_A01
SRR7319354	F2S4_160517_013_B01
SRR7319365	F2S4_160517_013_C01
SRR7319376	F2S4_160517_013_D01
SRR7319387	F2S4_160517_013_E01
SRR7319398	F2S4_160517_013_F01
SRR7319409	F2S4_160517_013_G01
SRR7319420	F2S4_160517_013_H01
SRR7319431	F2S4_160517_014_A01
SRR7319442	F2S4_160517_014_B01
SRR7319453	F2S4_160517_014_C01
SRR7319465	F2S4_160517_014_D01
SRR7319476	F2S4_160517_014_E01
SRR7319487	F2S4_160517_014_F01
SRR7319498	F2S4_160517_014_G01
SRR7319509	F2S4_160517_014_H01
SRR7319520	F2S4_160517_015_A01
SRR7319531	F2S4_160517_015_B01
SRR7319542	F2S4_160517_015_C01
SRR7319553	F2S4_160517_015_D01
SRR7319564	F2S4_160517_015_E01
SRR7319576	F2S4_160517_015_F01
SRR7319578	F2S4_160517_015_G01
SRR7319579	F2S4_160517_015_H01
SRR7319580	F2S4_160518_011_A01
SRR7319581	F2S4_160518_011_B01
SRR7319582	F2S4_160518_011_C01
SRR7319583	F2S4_160518_011_D01
SRR7319584	F2S4_160518_011_E01
SRR7319585	F2S4_160518_011_F01
SRR7319586	F2S4_160518_011_G01
SRR7319588	F2S4_160518_011_H01
SRR7319589	F2S4_160518_012_A01
SRR7319590	F2S4_160518_012_B01
SRR7319591	F2S4_160518_012_C01
SRR7319592	F2S4_160518_012_D01
SRR7319593	F2S4_160518_012_E01
SRR7319594	F2S4_160518_012_F01
SRR7319595	F2S4_160518_012_G01
SRR7319596	F2S4_160518_012_H01
SRR7319597	F2S4_160518_013_A01
SRR7319599	F2S4_160518_013_B01
SRR7319600	F2S4_160518_013_C01
SRR7319601	F2S4_160518_013_D01
SRR7319602	F2S4_160518_013_E01
SRR7319603	F2S4_160518_013_F01
SRR7319604	F2S4_160518_013_G01
SRR7319605	F2S4_160518_013_H01
SRR7319606	F2S4_160518_014_A01
SRR7319607	F2S4_160518_014_B01
SRR7319608	F2S4_160518_014_C01
SRR7319610	F2S4_160518_014_D01
SRR7319611	F2S4_160518_014_E01
SRR7319612	F2S4_160518_014_F01
SRR7319613	F2S4_160518_014_G01
SRR7319614	F2S4_160518_014_H01
SRR7319615	F2S4_160518_015_A01
SRR7319616	F2S4_160518_015_B01
SRR7319617	F2S4_160518_015_C01
SRR7319618	F2S4_160518_015_D01
SRR7319619	F2S4_160518_015_E01
SRR7319621	F2S4_160518_015_F01
SRR7319622	F2S4_160518_015_G01
SRR7319623	F2S4_160518_015_H01
SRR7322974	F0S4_160517_012_A01
SRR7323722	F0S4_160517_012_B01
SRR7322975	F0S4_160517_012_C01
SRR7323723	F0S4_160517_012_D01
SRR7321485	F0S4_160517_012_E01
SRR7321497	F0S4_160517_012_F01
SRR7322224	F0S4_160517_012_G01
SRR7322226	F0S4_160517_012_H01
SRR7319624	F2S4_160517_033_A01
SRR7319625	F2S4_160517_033_B01
SRR7319626	F2S4_160517_033_C01
SRR7319627	F2S4_160517_033_D01
SRR7319628	F2S4_160517_033_E01
SRR7319629	F2S4_160517_033_F01
SRR7319630	F2S4_160517_033_G01
SRR7319133	F2S4_160517_033_H01
SRR7319134	F2S4_160517_034_A01
SRR7319135	F2S4_160517_034_B01
SRR7319136	F2S4_160517_034_C01
SRR7319137	F2S4_160517_034_D01
SRR7319138	F2S4_160517_034_E01
SRR7319139	F2S4_160517_034_F01
SRR7319140	F2S4_160517_034_G01
SRR7319141	F2S4_160517_034_H01
SRR7319142	F2S4_160518_001_A01
SRR7319144	F2S4_160518_001_B01
SRR7319145	F2S4_160518_001_C01
SRR7319146	F2S4_160518_001_D01
SRR7319147	F2S4_160518_001_E01
SRR7319148	F2S4_160518_001_F01
SRR7319149	F2S4_160518_001_G01
SRR7319150	F2S4_160518_001_H01
SRR7319151	F2S4_160518_002_A01
SRR7319152	F2S4_160518_002_B01
SRR7319153	F2S4_160518_002_C01
SRR7319155	F2S4_160518_002_D01
SRR7319156	F2S4_160518_002_E01
SRR7319157	F2S4_160518_002_F01
SRR7319158	F2S4_160518_002_G01
SRR7319159	F2S4_160518_002_H01
SRR7319160	F2S4_160518_003_A01
SRR7319161	F2S4_160518_003_B01
SRR7319162	F2S4_160518_003_C01
SRR7319163	F2S4_160518_003_D01
SRR7319164	F2S4_160518_003_E01
SRR7319166	F2S4_160518_003_F01
SRR7319167	F2S4_160518_003_G01
SRR7319168	F2S4_160518_003_H01
SRR7319169	F2S4_160518_004_A01
SRR7319170	F2S4_160518_004_B01
SRR7319171	F2S4_160518_004_C01
SRR7319172	F2S4_160518_004_D01
SRR7319173	F2S4_160518_004_E01
SRR7319174	F2S4_160518_004_F01
SRR7319175	F2S4_160518_004_G01
SRR7319177	F2S4_160518_004_H01
SRR7319178	F2S4_160518_008_A01
SRR7319179	F2S4_160518_008_B01
SRR7319180	F2S4_160518_008_C01
SRR7319181	F2S4_160518_008_D01
SRR7319182	F2S4_160518_008_E01
SRR7319183	F2S4_160518_008_F01
SRR7319184	F2S4_160518_008_G01
SRR7319185	F2S4_160518_008_H01
SRR7319186	F2S4_160518_009_A01
SRR7319188	F2S4_160518_009_B01
SRR7319189	F2S4_160518_009_C01
SRR7319190	F2S4_160518_009_D01
SRR7319191	F2S4_160518_009_E01
SRR7319192	F2S4_160518_009_F01
SRR7319193	F2S4_160518_009_G01
SRR7319194	F2S4_160518_009_H01
SRR7319195	F2S4_160518_010_A01
SRR7319196	F2S4_160518_010_B01
SRR7319197	F2S4_160518_010_C01
SRR7319199	F2S4_160518_010_D01
SRR7319200	F2S4_160518_010_E01
SRR7319201	F2S4_160518_010_F01
SRR7319202	F2S4_160518_010_G01
SRR7319203	F2S4_160518_010_H01
SRR7319204	F2S4_160518_035_A01
SRR7319205	F2S4_160518_035_B01
SRR7319206	F2S4_160518_035_C01
SRR7319207	F2S4_160518_035_D01
SRR7319208	F2S4_160518_035_E01
SRR7319210	F2S4_160518_035_F01
SRR7319211	F2S4_160518_035_G01
SRR7319212	F2S4_160518_035_H01
SRR7319213	F2S4_160518_036_A01
SRR7319214	F2S4_160518_036_B01
SRR7319215	F2S4_160518_036_C01
SRR7319216	F2S4_160518_036_D01
SRR7319217	F2S4_160518_036_E01
SRR7319218	F2S4_160518_036_F01
SRR7319219	F2S4_160518_036_G01
SRR7319221	F2S4_160518_036_H01
SRR7322976	F0S4_160517_013_A01
SRR7323724	F0S4_160517_013_B01
SRR7322977	F0S4_160517_013_C01
SRR7323725	F0S4_160517_013_D01
SRR7321508	F0S4_160517_013_E01
SRR7321519	F0S4_160517_013_F01
SRR7322227	F0S4_160517_013_G01
SRR7322228	F0S4_160517_013_H01
SRR7316242	F2S4_160519_001_A01
SRR7316353	F2S4_160519_001_B01
SRR7316464	F2S4_160519_001_C01
SRR7316575	F2S4_160519_001_D01
SRR7316686	F2S4_160519_001_E01
SRR7316698	F2S4_160519_001_F01
SRR7316709	F2S4_160519_001_G01
SRR7316720	F2S4_160519_001_H01
SRR7316731	F2S4_160519_002_A01
SRR7316243	F2S4_160519_002_B01
SRR7316254	F2S4_160519_002_C01
SRR7316265	F2S4_160519_002_D01
SRR7316276	F2S4_160519_002_E01
SRR7316287	F2S4_160519_002_F01
SRR7316298	F2S4_160519_002_G01
SRR7316309	F2S4_160519_002_H01
SRR7316320	F2S4_160519_003_A01
SRR7316331	F2S4_160519_003_B01
SRR7316342	F2S4_160519_003_C01
SRR7316354	F2S4_160519_003_D01
SRR7316365	F2S4_160519_003_E01
SRR7316376	F2S4_160519_003_F01
SRR7316387	F2S4_160519_003_G01
SRR7316398	F2S4_160519_003_H01
SRR7316409	F2S4_160519_016_A01
SRR7316420	F2S4_160519_016_B01
SRR7316431	F2S4_160519_016_C01
SRR7316442	F2S4_160519_016_D01
SRR7316453	F2S4_160519_016_E01
SRR7316465	F2S4_160519_016_F01
SRR7316476	F2S4_160519_016_G01
SRR7316487	F2S4_160519_016_H01
SRR7316498	F2S4_160519_017_A01
SRR7316509	F2S4_160519_017_B01
SRR7316520	F2S4_160519_017_C01
SRR7316531	F2S4_160519_017_D01
SRR7316542	F2S4_160519_017_E01
SRR7316553	F2S4_160519_017_F01
SRR7316564	F2S4_160519_017_G01
SRR7316576	F2S4_160519_017_H01
SRR7316587	F2S4_160519_018_A01
SRR7316598	F2S4_160519_018_B01
SRR7316609	F2S4_160519_018_C01
SRR7316620	F2S4_160519_018_D01
SRR7316631	F2S4_160519_018_E01
SRR7316642	F2S4_160519_018_F01
SRR7316653	F2S4_160519_018_G01
SRR7316664	F2S4_160519_018_H01
SRR7316675	F2S4_160520_001_A01
SRR7316687	F2S4_160520_001_B01
SRR7316689	F2S4_160520_001_C01
SRR7316690	F2S4_160520_001_D01
SRR7316691	F2S4_160520_001_E01
SRR7316692	F2S4_160520_001_F01
SRR7316693	F2S4_160520_001_G01
SRR7316694	F2S4_160520_001_H01
SRR7316695	F2S4_160520_002_A01
SRR7316696	F2S4_160520_002_B01
SRR7316697	F2S4_160520_002_C01
SRR7316699	F2S4_160520_002_D01
SRR7316700	F2S4_160520_002_E01
SRR7316701	F2S4_160520_002_F01
SRR7316702	F2S4_160520_002_G01
SRR7316703	F2S4_160520_002_H01
SRR7316704	F2S4_160520_003_A01
SRR7316705	F2S4_160520_003_B01
SRR7316706	F2S4_160520_003_C01
SRR7316707	F2S4_160520_003_D01
SRR7316708	F2S4_160520_003_E01
SRR7316710	F2S4_160520_003_F01
SRR7316711	F2S4_160520_003_G01
SRR7316712	F2S4_160520_003_H01
SRR7316713	F2S4_160520_017_A01
SRR7316714	F2S4_160520_017_B01
SRR7316715	F2S4_160520_017_C01
SRR7316716	F2S4_160520_017_D01
SRR7316717	F2S4_160520_017_E01
SRR7316718	F2S4_160520_017_F01
SRR7316719	F2S4_160520_017_G01
SRR7316721	F2S4_160520_017_H01
SRR7316722	F2S4_160520_018_A01
SRR7316723	F2S4_160520_018_B01
SRR7316724	F2S4_160520_018_C01
SRR7316725	F2S4_160520_018_D01
SRR7316726	F2S4_160520_018_E01
SRR7316727	F2S4_160520_018_F01
SRR7316728	F2S4_160520_018_G01
SRR7316729	F2S4_160520_018_H01
SRR7322978	F0S4_160517_014_A01
SRR7323726	F0S4_160517_014_B01
SRR7322979	F0S4_160517_014_C01
SRR7323727	F0S4_160517_014_D01
SRR7321530	F0S4_160517_014_E01
SRR7321541	F0S4_160517_014_F01
SRR7322229	F0S4_160517_014_G01
SRR7322230	F0S4_160517_014_H01
SRR7316730	F2S4_160519_004_A01
SRR7316732	F2S4_160519_004_B01
SRR7316733	F2S4_160519_004_C01
SRR7316734	F2S4_160519_004_D01
SRR7316735	F2S4_160519_004_E01
SRR7316736	F2S4_160519_004_F01
SRR7316737	F2S4_160519_004_G01
SRR7316738	F2S4_160519_004_H01
SRR7316739	F2S4_160519_005_A01
SRR7316740	F2S4_160519_005_B01
SRR7316741	F2S4_160519_005_C01
SRR7316244	F2S4_160519_005_D01
SRR7316245	F2S4_160519_005_E01
SRR7316246	F2S4_160519_005_F01
SRR7316247	F2S4_160519_005_G01
SRR7316248	F2S4_160519_005_H01
SRR7316249	F2S4_160519_006_A01
SRR7316250	F2S4_160519_006_B01
SRR7316251	F2S4_160519_006_C01
SRR7316252	F2S4_160519_006_D01
SRR7316253	F2S4_160519_006_E01
SRR7316255	F2S4_160519_006_F01
SRR7316256	F2S4_160519_006_G01
SRR7316257	F2S4_160519_006_H01
SRR7316258	F2S4_160519_013_A01
SRR7316259	F2S4_160519_013_B01
SRR7316260	F2S4_160519_013_C01
SRR7316261	F2S4_160519_013_D01
SRR7316262	F2S4_160519_013_E01
SRR7316263	F2S4_160519_013_F01
SRR7316264	F2S4_160519_013_G01
SRR7316266	F2S4_160519_013_H01
SRR7316267	F2S4_160519_014_A01
SRR7316268	F2S4_160519_014_B01
SRR7316269	F2S4_160519_014_C01
SRR7316270	F2S4_160519_014_D01
SRR7316271	F2S4_160519_014_E01
SRR7316272	F2S4_160519_014_F01
SRR7316273	F2S4_160519_014_G01
SRR7316274	F2S4_160519_014_H01
SRR7316275	F2S4_160519_015_A01
SRR7316277	F2S4_160519_015_B01
SRR7316278	F2S4_160519_015_C01
SRR7316279	F2S4_160519_015_D01
SRR7316280	F2S4_160519_015_E01
SRR7316281	F2S4_160519_015_F01
SRR7316282	F2S4_160519_015_G01
SRR7316283	F2S4_160519_015_H01
SRR7316284	F2S4_160519_022_A01
SRR7316285	F2S4_160519_022_B01
SRR7316286	F2S4_160519_022_C01
SRR7316288	F2S4_160519_022_D01
SRR7316289	F2S4_160519_022_E01
SRR7316290	F2S4_160519_022_F01
SRR7316291	F2S4_160519_022_G01
SRR7316292	F2S4_160519_022_H01
SRR7316293	F2S4_160519_023_A01
SRR7316294	F2S4_160519_023_B01
SRR7316295	F2S4_160519_023_C01
SRR7316296	F2S4_160519_023_D01
SRR7316297	F2S4_160519_023_E01
SRR7316299	F2S4_160519_023_F01
SRR7316300	F2S4_160519_023_G01
SRR7316301	F2S4_160519_023_H01
SRR7316302	F2S4_160519_024_A01
SRR7316303	F2S4_160519_024_B01
SRR7316304	F2S4_160519_024_C01
SRR7316305	F2S4_160519_024_D01
SRR7316306	F2S4_160519_024_E01
SRR7316307	F2S4_160519_024_F01
SRR7316308	F2S4_160519_024_G01
SRR7316310	F2S4_160519_024_H01
SRR7312909	F2S4_160523_004_A01
SRR7313020	F2S4_160523_004_B01
SRR7313131	F2S4_160523_004_C01
SRR7313242	F2S4_160523_004_D01
SRR7313353	F2S4_160523_004_E01
SRR7313365	F2S4_160523_004_F01
SRR7313376	F2S4_160523_004_G01
SRR7313387	F2S4_160523_004_H01
SRR7313398	F2S4_160523_005_A01
SRR7312910	F2S4_160523_005_B01
SRR7312921	F2S4_160523_005_C01
SRR7312932	F2S4_160523_005_D01
SRR7312943	F2S4_160523_005_E01
SRR7312954	F2S4_160523_005_F01
SRR7312965	F2S4_160523_005_G01
SRR7312976	F2S4_160523_005_H01
SRR7322980	F0S4_160517_015_A01
SRR7323728	F0S4_160517_015_B01
SRR7322982	F0S4_160517_015_C01
SRR7323730	F0S4_160517_015_D01
SRR7321552	F0S4_160517_015_E01
SRR7321563	F0S4_160517_015_F01
SRR7322231	F0S4_160517_015_G01
SRR7322232	F0S4_160517_015_H01
SRR7316311	F2S4_160519_007_A01
SRR7316312	F2S4_160519_007_B01
SRR7316313	F2S4_160519_007_C01
SRR7316314	F2S4_160519_007_D01
SRR7316315	F2S4_160519_007_E01
SRR7316316	F2S4_160519_007_F01
SRR7316317	F2S4_160519_007_G01
SRR7316318	F2S4_160519_007_H01
SRR7316319	F2S4_160519_008_A01
SRR7316321	F2S4_160519_008_B01
SRR7316322	F2S4_160519_008_C01
SRR7316323	F2S4_160519_008_D01
SRR7316324	F2S4_160519_008_E01
SRR7316325	F2S4_160519_008_F01
SRR7316326	F2S4_160519_008_G01
SRR7316327	F2S4_160519_008_H01
SRR7316328	F2S4_160519_009_A01
SRR7316329	F2S4_160519_009_B01
SRR7316330	F2S4_160519_009_C01
SRR7316332	F2S4_160519_009_D01
SRR7316333	F2S4_160519_009_E01
SRR7316334	F2S4_160519_009_F01
SRR7316335	F2S4_160519_009_G01
SRR7316336	F2S4_160519_009_H01
SRR7316337	F2S4_160519_019_A01
SRR7316338	F2S4_160519_019_B01
SRR7316339	F2S4_160519_019_C01
SRR7316340	F2S4_160519_019_D01
SRR7316341	F2S4_160519_019_E01
SRR7316343	F2S4_160519_019_F01
SRR7316344	F2S4_160519_019_G01
SRR7316345	F2S4_160519_019_H01
SRR7316346	F2S4_160519_020_A01
SRR7316347	F2S4_160519_020_B01
SRR7316348	F2S4_160519_020_C01
SRR7316349	F2S4_160519_020_D01
SRR7316350	F2S4_160519_020_E01
SRR7316351	F2S4_160519_020_F01
SRR7316352	F2S4_160519_020_G01
SRR7316355	F2S4_160519_020_H01
SRR7316356	F2S4_160519_021_A01
SRR7316357	F2S4_160519_021_B01
SRR7316358	F2S4_160519_021_C01
SRR7316359	F2S4_160519_021_D01
SRR7316360	F2S4_160519_021_E01
SRR7316361	F2S4_160519_021_F01
SRR7316362	F2S4_160519_021_G01
SRR7316363	F2S4_160519_021_H01
SRR7312987	F2S4_160523_001_A01
SRR7312998	F2S4_160523_001_B01
SRR7313009	F2S4_160523_001_C01
SRR7313021	F2S4_160523_001_D01
SRR7313032	F2S4_160523_001_E01
SRR7313043	F2S4_160523_001_F01
SRR7313054	F2S4_160523_001_G01
SRR7313065	F2S4_160523_001_H01
SRR7313076	F2S4_160523_002_A01
SRR7313087	F2S4_160523_002_B01
SRR7313098	F2S4_160523_002_C01
SRR7313109	F2S4_160523_002_D01
SRR7313120	F2S4_160523_002_E01
SRR7313132	F2S4_160523_002_F01
SRR7313143	F2S4_160523_002_G01
SRR7313154	F2S4_160523_002_H01
SRR7313165	F2S4_160523_003_A01
SRR7313176	F2S4_160523_003_B01
SRR7313187	F2S4_160523_003_C01
SRR7313198	F2S4_160523_003_D01
SRR7313209	F2S4_160523_003_E01
SRR7313220	F2S4_160523_003_F01
SRR7313231	F2S4_160523_003_G01
SRR7313243	F2S4_160523_003_H01
SRR7313254	F2S4_160523_011_A01
SRR7313265	F2S4_160523_011_B01
SRR7313276	F2S4_160523_011_C01
SRR7313287	F2S4_160523_011_D01
SRR7313298	F2S4_160523_011_E01
SRR7313309	F2S4_160523_011_F01
SRR7313320	F2S4_160523_011_G01
SRR7313331	F2S4_160523_011_H01
SRR7313342	F2S4_160523_012_A01
SRR7313354	F2S4_160523_012_B01
SRR7313356	F2S4_160523_012_C01
SRR7313357	F2S4_160523_012_D01
SRR7313358	F2S4_160523_012_E01
SRR7313359	F2S4_160523_012_F01
SRR7313360	F2S4_160523_012_G01
SRR7313361	F2S4_160523_012_H01
SRR7322983	F0S4_160517_016_A01
SRR7323731	F0S4_160517_016_B01
SRR7322984	F0S4_160517_016_C01
SRR7323732	F0S4_160517_016_D01
SRR7321574	F0S4_160517_016_E01
SRR7321585	F0S4_160517_016_F01
SRR7322233	F0S4_160517_016_G01
SRR7322234	F0S4_160517_016_H01
SRR7316364	F2S4_160519_010_A01
SRR7316366	F2S4_160519_010_B01
SRR7316367	F2S4_160519_010_C01
SRR7316368	F2S4_160519_010_D01
SRR7316369	F2S4_160519_010_E01
SRR7316370	F2S4_160519_010_F01
SRR7316371	F2S4_160519_010_G01
SRR7316372	F2S4_160519_010_H01
SRR7316373	F2S4_160519_011_A01
SRR7316374	F2S4_160519_011_B01
SRR7316375	F2S4_160519_011_C01
SRR7316377	F2S4_160519_011_D01
SRR7316378	F2S4_160519_011_E01
SRR7316379	F2S4_160519_011_F01
SRR7316380	F2S4_160519_011_G01
SRR7316381	F2S4_160519_011_H01
SRR7316382	F2S4_160519_012_A01
SRR7316383	F2S4_160519_012_B01
SRR7316384	F2S4_160519_012_C01
SRR7316385	F2S4_160519_012_D01
SRR7316386	F2S4_160519_012_E01
SRR7316388	F2S4_160519_012_F01
SRR7316389	F2S4_160519_012_G01
SRR7316390	F2S4_160519_012_H01
SRR7316391	F2S4_160520_022_A01
SRR7316392	F2S4_160520_022_B01
SRR7316393	F2S4_160520_022_C01
SRR7316394	F2S4_160520_022_D01
SRR7316395	F2S4_160520_022_E01
SRR7316396	F2S4_160520_022_F01
SRR7316397	F2S4_160520_022_G01
SRR7316399	F2S4_160520_022_H01
SRR7316400	F2S4_160520_023_A01
SRR7316401	F2S4_160520_023_B01
SRR7316402	F2S4_160520_023_C01
SRR7316403	F2S4_160520_023_D01
SRR7316404	F2S4_160520_023_E01
SRR7316405	F2S4_160520_023_F01
SRR7316406	F2S4_160520_023_G01
SRR7316407	F2S4_160520_023_H01
SRR7316408	F2S4_160520_024_A01
SRR7316410	F2S4_160520_024_B01
SRR7316411	F2S4_160520_024_C01
SRR7316412	F2S4_160520_024_D01
SRR7316413	F2S4_160520_024_E01
SRR7316414	F2S4_160520_024_F01
SRR7316415	F2S4_160520_024_G01
SRR7316416	F2S4_160520_024_H01
SRR7313362	F2S4_160523_006_A01
SRR7313363	F2S4_160523_006_B01
SRR7313364	F2S4_160523_006_C01
SRR7313366	F2S4_160523_006_D01
SRR7313367	F2S4_160523_006_E01
SRR7313368	F2S4_160523_006_F01
SRR7313369	F2S4_160523_006_G01
SRR7313370	F2S4_160523_006_H01
SRR7313371	F2S4_160523_007_A01
SRR7313372	F2S4_160523_007_B01
SRR7313373	F2S4_160523_007_C01
SRR7313374	F2S4_160523_007_D01
SRR7313375	F2S4_160523_007_E01
SRR7313377	F2S4_160523_007_F01
SRR7313378	F2S4_160523_007_G01
SRR7313379	F2S4_160523_007_H01
SRR7313380	F2S4_160523_008_A01
SRR7313381	F2S4_160523_008_B01
SRR7313382	F2S4_160523_008_C01
SRR7313383	F2S4_160523_008_D01
SRR7313384	F2S4_160523_008_E01
SRR7313385	F2S4_160523_008_F01
SRR7313386	F2S4_160523_008_G01
SRR7313388	F2S4_160523_008_H01
SRR7313389	F2S4_160523_009_A01
SRR7313390	F2S4_160523_009_B01
SRR7313391	F2S4_160523_009_C01
SRR7313392	F2S4_160523_009_D01
SRR7313393	F2S4_160523_009_E01
SRR7313394	F2S4_160523_009_F01
SRR7313395	F2S4_160523_009_G01
SRR7313396	F2S4_160523_009_H01
SRR7313397	F2S4_160523_010_A01
SRR7313399	F2S4_160523_010_B01
SRR7313400	F2S4_160523_010_C01
SRR7313401	F2S4_160523_010_D01
SRR7313402	F2S4_160523_010_E01
SRR7313403	F2S4_160523_010_F01
SRR7313404	F2S4_160523_010_G01
SRR7313405	F2S4_160523_010_H01
SRR7322985	F0S4_160517_017_A01
SRR7323733	F0S4_160517_017_B01
SRR7322986	F0S4_160517_017_C01
SRR7323734	F0S4_160517_017_D01
SRR7321596	F0S4_160517_017_E01
SRR7321608	F0S4_160517_017_F01
SRR7322235	F0S4_160517_017_G01
SRR7322237	F0S4_160517_017_H01
SRR7316417	F2S4_160520_004_A01
SRR7316418	F2S4_160520_004_B01
SRR7316419	F2S4_160520_004_C01
SRR7316421	F2S4_160520_004_D01
SRR7316422	F2S4_160520_004_E01
SRR7316423	F2S4_160520_004_F01
SRR7316424	F2S4_160520_004_G01
SRR7316425	F2S4_160520_004_H01
SRR7316426	F2S4_160520_005_A01
SRR7316427	F2S4_160520_005_B01
SRR7316428	F2S4_160520_005_C01
SRR7316429	F2S4_160520_005_D01
SRR7316430	F2S4_160520_005_E01
SRR7316432	F2S4_160520_005_F01
SRR7316433	F2S4_160520_005_G01
SRR7316434	F2S4_160520_005_H01
SRR7316435	F2S4_160520_006_A01
SRR7316436	F2S4_160520_006_B01
SRR7316437	F2S4_160520_006_C01
SRR7316438	F2S4_160520_006_D01
SRR7316439	F2S4_160520_006_E01
SRR7316440	F2S4_160520_006_F01
SRR7316441	F2S4_160520_006_G01
SRR7316443	F2S4_160520_006_H01
SRR7316444	F2S4_160520_007_A01
SRR7316445	F2S4_160520_007_B01
SRR7316446	F2S4_160520_007_C01
SRR7316447	F2S4_160520_007_D01
SRR7316448	F2S4_160520_007_E01
SRR7316449	F2S4_160520_007_F01
SRR7316450	F2S4_160520_007_G01
SRR7316451	F2S4_160520_007_H01
SRR7316452	F2S4_160520_012_A01
SRR7316454	F2S4_160520_012_B01
SRR7316455	F2S4_160520_012_C01
SRR7316456	F2S4_160520_012_D01
SRR7316457	F2S4_160520_012_E01
SRR7316458	F2S4_160520_012_F01
SRR7316459	F2S4_160520_012_G01
SRR7316460	F2S4_160520_012_H01
SRR7316461	F2S4_160520_013_A01
SRR7316462	F2S4_160520_013_B01
SRR7316463	F2S4_160520_013_C01
SRR7316466	F2S4_160520_013_D01
SRR7316467	F2S4_160520_013_E01
SRR7316468	F2S4_160520_013_F01
SRR7316469	F2S4_160520_013_G01
SRR7316470	F2S4_160520_013_H01
SRR7316471	F2S4_160520_014_A01
SRR7316472	F2S4_160520_014_B01
SRR7316473	F2S4_160520_014_C01
SRR7316474	F2S4_160520_014_D01
SRR7316475	F2S4_160520_014_E01
SRR7316477	F2S4_160520_014_F01
SRR7316478	F2S4_160520_014_G01
SRR7316479	F2S4_160520_014_H01
SRR7316480	F2S4_160520_015_A01
SRR7316481	F2S4_160520_015_B01
SRR7316482	F2S4_160520_015_C01
SRR7316483	F2S4_160520_015_D01
SRR7316484	F2S4_160520_015_E01
SRR7316485	F2S4_160520_015_F01
SRR7316486	F2S4_160520_015_G01
SRR7316488	F2S4_160520_015_H01
SRR7316489	F2S4_160520_016_A01
SRR7316490	F2S4_160520_016_B01
SRR7316491	F2S4_160520_016_C01
SRR7316492	F2S4_160520_016_D01
SRR7316493	F2S4_160520_016_E01
SRR7316494	F2S4_160520_016_F01
SRR7316495	F2S4_160520_016_G01
SRR7316496	F2S4_160520_016_H01
SRR7316497	F2S4_160520_019_A01
SRR7316499	F2S4_160520_019_B01
SRR7316500	F2S4_160520_019_C01
SRR7316501	F2S4_160520_019_D01
SRR7316502	F2S4_160520_019_E01
SRR7316503	F2S4_160520_019_F01
SRR7316504	F2S4_160520_019_G01
SRR7316505	F2S4_160520_019_H01
SRR7316506	F2S4_160520_020_A01
SRR7316507	F2S4_160520_020_B01
SRR7316508	F2S4_160520_020_C01
SRR7316510	F2S4_160520_020_D01
SRR7316511	F2S4_160520_020_E01
SRR7316512	F2S4_160520_020_F01
SRR7316513	F2S4_160520_020_G01
SRR7316514	F2S4_160520_020_H01
SRR7322987	F0S4_160517_018_A01
SRR7323735	F0S4_160517_018_B01
SRR7322988	F0S4_160517_018_C01
SRR7323736	F0S4_160517_018_D01
SRR7321619	F0S4_160517_018_E01
SRR7321630	F0S4_160517_018_F01
SRR7322238	F0S4_160517_018_G01
SRR7322239	F0S4_160517_018_H01
SRR7317692	F2S4_160506_010_A01
SRR7317693	F2S4_160506_010_B01
SRR7317694	F2S4_160506_010_C01
SRR7317695	F2S4_160506_010_D01
SRR7317696	F2S4_160506_010_E01
SRR7317697	F2S4_160506_010_F01
SRR7317698	F2S4_160506_010_G01
SRR7317700	F2S4_160506_010_H01
SRR7317701	F2S4_160506_011_A01
SRR7317702	F2S4_160506_011_B01
SRR7317703	F2S4_160506_011_C01
SRR7317704	F2S4_160506_011_D01
SRR7317705	F2S4_160506_011_E01
SRR7317706	F2S4_160506_011_F01
SRR7317707	F2S4_160506_011_G01
SRR7317708	F2S4_160506_011_H01
