SRA	Cell
SRR7334555	F2S4_151223_011_H01
SRR7334556	F2S4_151223_012_A01
SRR7334557	F2S4_151223_012_B01
SRR7334558	F2S4_151223_012_C01
SRR7334559	F2S4_151223_012_D01
SRR7334560	F2S4_151223_012_E01
SRR7334561	F2S4_151223_012_F01
SRR7334562	F2S4_151223_012_G01
SRR7334564	F2S4_151223_012_H01
SRR7334565	F2S4_151223_013_A01
SRR7334566	F2S4_151223_013_B01
SRR7334567	F2S4_151223_013_C01
SRR7334568	F2S4_151223_013_D01
SRR7334569	F2S4_151223_013_E01
SRR7334570	F2S4_151223_013_F01
SRR7334571	F2S4_151223_013_G01
SRR7334572	F2S4_151223_013_H01
SRR7334573	F2S4_151223_017_A01
SRR7334575	F2S4_151223_017_B01
SRR7334576	F2S4_151223_017_C01
SRR7334577	F2S4_151223_017_D01
SRR7334578	F2S4_151223_017_E01
SRR7334579	F2S4_151223_017_F01
SRR7334580	F2S4_151223_017_G01
SRR7334581	F2S4_151223_017_H01
SRR7334582	F2S4_151223_018_A01
SRR7334583	F2S4_151223_018_B01
SRR7334584	F2S4_151223_018_C01
SRR7334084	F2S4_151223_018_D01
SRR7334085	F2S4_151223_018_E01
SRR7334086	F2S4_151223_018_F01
SRR7334087	F2S4_151223_018_G01
SRR7334088	F2S4_151223_018_H01
SRR7323325	F0S4_150820_021_A01
SRR7324073	F0S4_150820_021_B01
SRR7323337	F0S4_150820_021_C01
SRR7324085	F0S4_150820_021_D01
SRR7322447	F0S4_150820_021_E01
SRR7321959	F0S4_150820_021_F01
SRR7321970	F0S4_150820_021_G01
SRR7321981	F0S4_150820_021_H01
SRR7334089	F1S4_160108_003_A01
SRR7334090	F1S4_160108_003_B01
SRR7334091	F1S4_160108_003_C01
SRR7334092	F1S4_160108_003_D01
SRR7334093	F1S4_160108_003_E01
SRR7334095	F1S4_160108_003_F01
SRR7334096	F1S4_160108_003_G01
SRR7334097	F1S4_160108_003_H01
SRR7334098	F1S4_160108_004_A01
SRR7334099	F1S4_160108_004_B01
SRR7334100	F1S4_160108_004_C01
SRR7334101	F1S4_160108_004_D01
SRR7334102	F1S4_160108_004_E01
SRR7334103	F1S4_160108_004_F01
SRR7334104	F1S4_160108_004_G01
SRR7334106	F1S4_160108_004_H01
SRR7334107	F1S4_160108_005_A01
SRR7334108	F1S4_160108_005_B01
SRR7334109	F1S4_160108_005_C01
SRR7334110	F1S4_160108_005_D01
SRR7334111	F1S4_160108_005_E01
SRR7334112	F1S4_160108_005_F01
