Cell	PCA_X	PCA_Y	t-SNE_X	t-SNE_Y	FIt-SNE_X	FIt-SNE_Y	UMAP_X	UMAP_Y
O24	5.891585696673653	-22.176633338237124	-4.838525772094727	65.0003433227539	4.8300076671633025	-6.5975375171128485	2.726118564605713	1.1420798301696777
O31	6.390876309505717	-8.15927853121667	-9.613101959228516	119.3302001953125	4.421822480999006	-3.8130186853532564	2.6817779541015625	0.6080507636070251
O32	-26.62008789245687	2.1503426341382337	-55.40420913696289	-38.20795440673828	6.949699601865071	4.415374765240424	0.525820791721344	2.63330340385437
O36	-16.38000706201074	5.568152460772656	21.283605575561523	-87.2420654296875	-1.962077066258259	6.904726001078114	-0.18258419632911682	0.41679647564888
O39	15.656507032958011	-4.713335759002285	74.84427642822266	29.16022300720215	-5.427281732153024	-5.368513614172687	2.9407458305358887	-0.030919909477233887
O41	22.17290150195197	-10.482024478149572	92.36632537841797	58.229679107666016	-2.427570341181354	-8.31963041241055	3.3978188037872314	0.6986564993858337
O44	-11.634511319259458	-8.527561128795696	-15.751208305358887	17.855308532714844	4.149900579532941	-1.1232364006708888	1.5238440036773682	2.0654807090759277
O46	-1.7412401549656826	-14.075875463786339	9.827008247375488	46.12723922729492	2.4052045058223523	-4.105933517293485	2.2476868629455566	1.5283325910568237
O47	-15.184639736950144	-0.21342740711711256	-19.6367244720459	-78.77620697021484	2.0772391851841485	7.7685765776829205	0.14237681031227112	1.5434452295303345
O48	2.510751135368087	-13.458357171882202	66.30442810058594	49.19888687133789	-2.9100908700908654	-5.633670015702386	3.0801522731781006	0.22113636136054993
O49	-0.6800650505924569	35.58684437419459	21.18765640258789	-113.57132720947266	-4.625973172091378	11.338289433885201	-0.7055860161781311	0.4814726412296295
O52	15.543386243314721	6.297461775040672	66.76094818115234	95.4832534790039	3.925265092183328	-9.95863279102874	3.055321455001831	1.9541500806808472
O54	47.93322203057995	3.1447703820543853	33.435726165771484	153.83372497558594	-1.9081575551232086	-13.594652458329318	4.044910907745361	1.9472748041152954
O55	38.989570452806575	11.12325415373401	42.00692367553711	168.19630432128906	-2.5594144851481406	-14.737814322912627	4.161527633666992	1.8005489110946655
O56	-18.367959203921753	5.2052011328635786	-67.28771209716797	-57.21127700805664	6.688392953560484	6.4242523535675335	0.34720757603645325	2.407758951187134
O58	1.0252304861173158	7.915379072192186	64.25122833251953	-56.7966423034668	-6.196154550249603	8.21700557518124	-0.026580283418297768	-0.06993035972118378
O60	33.15203085727585	15.469595732890134	89.61460876464844	129.17193603515625	-6.775274538071515	-11.085003895409935	4.323894500732422	1.6118863821029663
O61	17.953517207830444	8.136634191733044	85.02140045166016	94.1758041381836	5.644395340903621	-10.200005259746849	2.7097573280334473	1.8826050758361816
O62	-15.228772697059378	5.24616964859817	-24.25481605529785	-96.05110931396484	2.0397130270260657	9.231157455266946	-0.8657107353210449	1.5186313390731812
O65	4.0436589433616215	-17.914001570088214	20.098875045776367	57.75142288208008	2.8915347776944795	-5.584591072197509	3.0311784744262695	0.943932831287384
O66	-3.127007495380162	-7.95397503711067	-30.25535774230957	34.161598205566406	6.846972418680985	-2.4639532537709243	2.0403873920440674	2.0149335861206055
O71	8.323414326661753	-13.621618731014118	-21.22367286682129	56.39366149902344	6.499358833086303	-6.8599714240332945	2.3538358211517334	1.2186695337295532
O73	-12.383993063616705	10.860174593972165	-2.443835496902466	-117.9961929321289	-1.3484108224782225	12.246740818232729	-0.8386404514312744	0.8450698852539062
O76	9.467718889671044	46.67334838956571	13.563490867614746	-154.7717742919922	-0.8300764807491005	15.438981239941887	-1.101367712020874	0.9228287935256958
O78	-22.578079061605667	-1.8220021508251611	-50.52535629272461	-25.095745086669922	6.763427182743736	3.326272732156412	0.7846429347991943	2.740422487258911
O80	-13.501606245999014	6.835409516143679	57.53238296508789	-90.10123443603516	-2.704676314491244	9.67380670111102	-0.5801745057106018	1.4053194522857666
O87	3.317991271764372	34.47137207064362	2.1045122146606445	-141.20555114746094	-0.611200016239538	13.970511842449822	-1.074839472770691	0.920409619808197
O89	-15.408483120426526	7.344799956931469	32.589324951171875	-96.27383422851562	-1.7251077823334948	8.196582599301374	-0.3441987633705139	1.2307785749435425
O90	-4.600778471604887	-1.9018883462609304	-56.73997497558594	24.861770629882812	-2.5337213389708264	-0.5860120567235572	1.5741955041885376	0.7538712024688721
O100	4.321109480656457	-14.652927333215276	69.18881225585938	56.1211051940918	-3.521847780497484	-6.382302105311226	2.6663334369659424	-0.204654261469841
O102	-18.650711944415708	1.8969184340096583	-36.3526496887207	-62.091339111328125	3.886049967421823	6.759458280571354	0.02827182039618492	2.3943779468536377
O103	-9.693621938069958	5.065902381187815	50.07167053222656	-73.98529052734375	-4.225448577568572	8.735638781409332	-0.40249764919281006	0.9546504020690918
O104	-13.829786849039053	-5.1892584327396065	-30.232912063598633	-24.023059844970703	5.1710165934063825	2.557496120093814	1.0074291229248047	2.539412260055542
O106	-1.9022049097069063	-10.5681064357404	3.526942491531372	87.92530059814453	0.8922369093023733	-5.766188359956139	2.551102638244629	1.465065598487854
O109	2.2737403872721513	-12.883909029771527	26.31283950805664	83.95890045166016	1.8914887878935511	-7.872942085402602	2.9188003540039062	1.6074517965316772
O111	2.195194386195539	-17.8271023535007	17.128780364990234	74.92451477050781	1.967031841753589	-7.035857371384718	2.9840338230133057	1.2909868955612183
O113	-7.127944547722979	17.108945937615797	49.29475784301758	-111.92351531982422	-0.2521843301058731	8.309216251603665	-0.1711389571428299	1.2066954374313354
