Cell	PCA_X	PCA_Y	t-SNE_X	t-SNE_Y	FIt-SNE_X	FIt-SNE_Y	UMAP_X	UMAP_Y
O24	5.890260772915813	1.147921012959499	10.651564598083496	-79.42511749267578	-6.227032301422874	-8.738769271709643	-1.0514119863510132	3.0697133541107178
O31	8.190582909822668	-12.511393804308604	-50.15730285644531	-2.6383564472198486	-4.201622624999122	7.329464145834002	3.3814308643341064	3.1293420791625977
O32	-11.442698121482826	-2.659988757132193	-36.17149353027344	113.46444702148438	6.345034366597431	9.708800516847488	3.8580679893493652	4.698453903198242
O36	-11.847266040823026	-9.731438452970034	-66.43537902832031	67.6278076171875	-0.5987576697176178	8.174442497291638	2.8029732704162598	3.2700865268707275
O39	13.125136303604721	5.347605649256072	12.644813537597656	-95.14422607421875	-7.439950567305431	-9.646544426386935	-1.5011510848999023	2.864969253540039
O41	13.806184948617046	-2.1686337477444635	46.8630485534668	-72.21174621582031	-3.562241164867188	-6.482295833204415	-1.0404318571090698	3.3635056018829346
O44	-11.84189680144125	0.12852535396661155	-24.321178436279297	88.18292999267578	5.23157686347276	6.824192355406571	3.5863962173461914	4.360449314117432
O46	-14.49823703713335	-2.8586341274858786	-33.579898834228516	57.821388244628906	3.605974045119649	5.915758878385968	2.570709705352783	3.9569334983825684
O47	-11.906477704567799	-6.694034415400416	-24.77391815185547	50.333229064941406	0.3646153306875075	6.996635839646426	2.754756212234497	3.1378650665283203
O48	-9.955370731923628	-8.80294666413331	-10.584091186523438	56.72994613647461	0.7333371234443106	9.785224207848875	2.914856433868408	3.4774937629699707
O49	23.267461928714567	-1.3907347737616826	51.59373092651367	-133.0434112548828	-4.582562518761922	-15.927881099134925	-1.369288682937622	2.0882797241210938
O52	-9.878518310125166	8.752460585306748	-108.71698760986328	35.98403549194336	8.063236291891771	-0.3623408226616903	1.8803651332855225	3.7626707553863525
O54	24.103793688775102	3.0489451099256835	-8.300172805786133	-145.4481964111328	-10.509674294066997	-14.448416523084425	-2.3328776359558105	2.4905452728271484
O55	25.616794248313916	-2.184504374538138	-3.033379316329956	-167.3795928955078	-8.508258601734294	-16.662114525705064	-2.0462965965270996	2.0535778999328613
O56	-2.7623201882433723	-5.946370908137641	-82.80616760253906	108.53509521484375	10.679214431576492	5.906570511467689	2.3461966514587402	4.973805904388428
O58	-1.3134477568740206	12.269018982172824	61.51599884033203	11.60565185546875	-4.844428388496369	1.6729940274101978	0.8775417804718018	2.6009488105773926
O60	16.43958587234511	-6.5608890285466615	5.742745399475098	-124.59984588623047	-8.85423379618736	-12.405117093877154	-1.842298150062561	2.6183290481567383
O61	-0.14003424016291294	6.790177341038875	50.67319107055664	-15.250757217407227	-2.2616932583812743	-2.597081145470424	0.5543270111083984	2.2286527156829834
O62	-11.241190848332874	8.717766511924927	23.743642807006836	117.71351623535156	10.630984702515068	11.425510186243836	3.0213539600372314	4.7175374031066895
O65	-5.0592612731863635	-0.19311748086167085	-13.914045333862305	101.00515747070312	6.9276477534063226	6.6998479437512835	3.3881614208221436	4.809023857116699
O66	-4.743261292195393	1.3258935991545229	-68.22481536865234	26.133325576782227	5.954706874043644	2.9111339487622607	2.1695868968963623	4.419556617736816
O71	5.530294869453602	7.371171179236422	-4.096041202545166	-60.07405471801758	-1.4751893602334274	-7.011095336794701	-0.3742682635784149	2.9898593425750732
O73	0.6490989567469135	12.57659854989925	47.12858963012695	30.57235336303711	-5.238608366974499	-0.6598804566779353	0.8721055388450623	3.0058114528656006
O76	22.582117415968604	0.5722047779407734	27.612136840820312	-142.2125701904297	-6.759112966313425	-15.098078902199472	-1.7953778505325317	2.1792874336242676
O78	-11.002063888642784	0.37898445198730923	-5.15374231338501	75.4238052368164	6.926960666705472	4.655884613417219	2.520833730697632	4.342135906219482
O80	-9.09573510065626	-4.271911885400191	111.19011688232422	-1.0782129764556885	-1.9215829676253773	13.326407292184424	3.049560308456421	2.4950919151306152
O87	-6.375403596287053	26.486120904075115	44.02693557739258	97.01336669921875	9.687570968583003	13.818650997293993	1.056028962135315	3.3603734970092773
O89	-5.839841512900415	-12.281495161216272	-35.207244873046875	139.74789428710938	3.0967506639411675	12.725290708148508	3.9334819316864014	3.854555606842041
O90	-2.5449676732781645	1.183640718515358	119.6258773803711	9.951325416564941	-3.0781841441188433	14.111913451033047	2.93009352684021	2.301280975341797
O100	-9.831058750502377	-2.3276779850358276	-21.129823684692383	37.381683349609375	1.4497433554266823	7.271477031758711	3.048178195953369	2.9943156242370605
O102	-13.452402160690514	6.82983675100299	29.16314125061035	104.59720611572266	9.77727008110511	12.247522880817431	2.8411738872528076	4.700314521789551
O103	-6.474233421577138	-4.4636139303973525	108.61453247070312	-10.737221717834473	-1.4100577816952615	13.102959700621163	3.0906364917755127	2.587568521499634
O104	-13.757373812882403	-2.9393004712265953	-35.84504699707031	124.79989624023438	6.052582561882422	10.468738814594738	3.9674007892608643	4.37017822265625
O106	-7.849601537696252	-2.596144782368349	-49.45032501220703	83.25308227539062	1.6275795746837813	3.6141183686322886	1.8976101875305176	4.700611591339111
O109	-9.809106872993228	1.6864239403147108	-99.10838317871094	38.943092346191406	7.239095285840781	0.5231364617881391	2.0191457271575928	3.9148170948028564
O111	-7.720944797505606	-3.6187767395006842	-44.59169006347656	67.58319091796875	2.394581177977273	5.331148944828	2.369558811187744	3.367391347885132
O113	17.880017047873668	-5.7646965056203285	38.84654998779297	-121.082275390625	-4.546337966024128	-14.258620739002202	-1.2428183555603027	2.0202176570892334
