Arhgdib	Cd14	Cd37	Spi1	Cd53	C1qb	C1qc	Tyrobp	Bcl2a1b	Fcer1g	Fcgr3	P2ry12	Ucp2	Grap	Msn	Ccl6	Pld4	Laptm5	Cd52	Il1a	Lst1	Rhog	Trem2	C1qa	Itgb5	
O24	O31	O32	O36	O39	O41	O44	O46	O47	O48	O49	O52	O54	O55	O56	O58	O60	O61	O62	O65	O66	O71	O73	O76	O78	O80	O87	O89	O90	O100	O102	O103	O104	O106	O109	O111	O113	O117	O125	O127	O128	O129	O130	O131	O132	O134	O135	O137	O141	O145	O147	O149	O151	O159	O160	O162	O164	O165	O171	O427	O430	O433	O434	O435	O439	O440	O454	
.C1qb.Arhgdib	.C1qb.Phka2	.Tmed1.Naxe	.Tmed1.Naxe	.C1qb.Arhgdib	.C1qb.Arhgdib	.C1qb.Phka2	.C1qb.Arhgdib	.Tmed1.Naxe	.C1qb.Arhgdib	.Tmed1.Naxe	.C1qb.Phka2	.C1qb.Arhgdib	.C1qb.Arhgdib	.Tmed1.Naxe	.C1qb.Phka2	.C1qb.Phka2	.C1qb.Arhgdib	.Tmed1.Naxe	.C1qb.Arhgdib	.C1qb.Phka2	.C1qb.Arhgdib	.Tmed1.Naxe	.Tmed1.Naxe	.C1qb.Phka2	.C1qb.Phka2	.Tmed1.Naxe	.Tmed1.Naxe	.C1qb.Phka2	.C1qb.Arhgdib	.Tmed1.Zfp133-ps	.C1qb.Phka2	.C1qb.Phka2	.C1qb.Arhgdib	.C1qb.Arhgdib	.C1qb.Arhgdib	.Tmed1.Naxe	.C1qb.Arhgdib	.Tmed1.Naxe	.C1qb.Arhgdib	.C1qb.Arhgdib	.C1qb.Arhgdib	.C1qb.Phka2	.C1qb.Arhgdib	.Tmed1.Naxe	.C1qb.Arhgdib	.C1qb.Phka2	.C1qb.Arhgdib	.C1qb.Arhgdib	.C1qb.Phka2	.C1qb.Phka2	.C1qb.Arhgdib	.C1qb.Phka2	.C1qb.Arhgdib	.C1qb.Arhgdib	.C1qb.Phka2	.C1qb.Phka2	.C1qb.Phka2	.C1qb.Arhgdib	.Tmed1.Naxe	.C1qb.Phka2	.Tmed1.Zfp133-ps	.Tmed1.Zfp133-ps	.C1qb.Phka2	.Tmed1.Naxe	.C1qb.Arhgdib	.Tmed1.Zfp133-ps	
1.278055e+02	-1.411941e+01	-1.026012e+02	-1.113736e+02	1.369880e+02	1.417092e+02	2.087576e+01	1.095704e+02	-1.298939e+02	8.068736e+01	-9.912588e+01	1.159356e+01	1.279020e+02	1.078103e+02	-8.745277e+01	-1.450639e+02	-3.343795e+01	1.063628e+02	-1.009533e+02	1.128014e+02	1.323007e+01	9.215833e+01	-8.984368e+01	-8.830271e+01	-5.678815e+01	-2.792107e+01	-1.269211e+02	-9.178603e+01	-4.407761e+01	9.103663e+01	-6.582796e+01	-4.971195e+01	-2.554603e+01	6.365666e+01	9.877658e+01	1.091963e+02	-1.071695e+02	7.789740e+01	-1.132767e+02	2.694544e+01	8.347478e+01	7.330904e+01	2.038782e+00	1.237529e+02	-1.151559e+02	1.721021e+01	-9.621824e+00	1.007737e+02	-5.742470e+00	9.087321e+00	2.873383e+00	6.547327e+01	2.571802e+01	1.045398e+02	4.515638e+01	-1.106138e+02	-4.154509e+00	-4.146384e+01	1.350811e+02	-8.897940e+01	-3.093438e+01	-7.717669e+01	-7.789765e+01	-1.654239e+01	-1.021038e+02	7.653071e+01	-1.304421e+02	
-8.859290e+00	-1.499227e+01	-1.215073e+00	-9.647546e+00	-2.594482e+01	-1.387409e+01	-1.694216e+01	1.886612e+01	1.174516e+01	-2.200607e+01	-1.277136e+01	1.180709e+01	1.678983e+01	-2.953372e+01	-3.560145e+01	6.870805e+00	4.031525e+01	3.003263e+01	2.396274e+01	-7.695573e+00	-2.608790e+00	-3.970718e+01	-6.225837e+00	1.610462e+01	1.123988e+01	9.575652e+00	-8.498379e+00	4.723476e+00	-2.077601e+01	-1.789458e+01	-2.059179e+01	4.843762e+00	-6.700998e+00	-5.682695e+00	-2.020541e+00	4.364088e+00	-2.245098e+01	2.860064e+01	1.469747e+01	1.395284e+01	-4.523822e+01	-4.371396e+00	-8.067744e-01	3.143287e+00	2.231607e+00	4.320179e+01	3.220300e+00	9.680128e+00	3.891717e+01	-1.758485e+01	2.504546e+01	4.482504e+00	-3.601885e+00	-1.891810e+01	1.608778e+01	-3.976601e+01	1.803782e+01	2.411321e+01	4.842587e-01	-2.047827e+01	1.884119e+01	-1.114885e+01	2.885316e+00	2.685323e+01	1.023714e+01	1.908433e+01	-2.088303e+01	
