Lst1	Cd14	Bcl2a1b	P2ry12	Cd53	Evi2a	Fcgr3	C1qa	Cd300c2	Fcer1g	Spi1	Ucp2	Ccl3	Csf1r	Cd37	Cxcl16	Grap	Rhog	Ccl6	Aif1	C1qb	Rrad	C1qc	Lgals9	Crybb1	Il1a	Tmem119	Laptm5	Cd52	Trem2	Itgb5	P2ry13	Unc93b1	Arhgdib	Ccl4	Vwa5a	Ctss	Vamp8	Rnase4	Ighm	Ccl7	Pld4	Fcrls	Ltc4s	Siglech	Tnf	Ccl12	Srgn	Ctsc	C5ar1	
O24	O26	O31	O32	O34	O35	O36	O39	O41	O44	O46	O47	O48	O49	O52	O54	O55	O56	O58	O60	O61	O62	O65	O66	O71	O73	O78	O80	O87	O89	O90	O100	O102	O103	O104	O106	O109	O111	O117	O125	O127	O128	O129	O130	O131	O132	O134	O135	O137	O138	O141	O145	O147	O149	O151	O159	O160	O162	O164	O165	O171	O422	O423	O427	O428	O430	O431	O433	O434	O435	O436	O439	O440	O441	O442	O443	O444	O445	O447	O448	O449	O451	O452	O453	O454	
.C1qa.Lst1	.C1qa.Lst1	.C1qa.Mtf2	.Adamts20.Ric8a	.Adamts20.Ric8a	.C1qa.Lst1	.Adamts20.Ric8a	.C1qa.Lst1	.C1qa.Lst1	.C1qa.Mtf2	.C1qa.Lst1	.Adamts20.Ric8a	.C1qa.Lst1	.Adamts20.Ric8a	.C1qa.Mtf2	.C1qa.Lst1	.C1qa.Lst1	.Adamts20.C1qb	.C1qa.Mtf2	.C1qa.Lst1	.C1qa.Mtf2	.Adamts20.Ric8a	.C1qa.Lst1	.C1qa.Mtf2	.C1qa.Lst1	.Adamts20.Ric8a	.Adamts20.C1qb	.Adamts20.C1qb	.Adamts20.Ric8a	.Adamts20.Ric8a	.C1qa.Mtf2	.C1qa.Lst1	.Adamts20.C1qb	.Adamts20.C1qb	.C1qa.Mtf2	.C1qa.Mtf2	.C1qa.Lst1	.C1qa.Lst1	.C1qa.Lst1	.Adamts20.Ric8a	.C1qa.Mtf2	.C1qa.Lst1	.C1qa.Lst1	.C1qa.Mtf2	.C1qa.Lst1	.Adamts20.Ric8a	.C1qa.Lst1	.C1qa.Mtf2	.C1qa.Lst1	.C1qa.Mtf2	.C1qa.Mtf2	.C1qa.Mtf2	.C1qa.Mtf2	.C1qa.Mtf2	.C1qa.Mtf2	.C1qa.Lst1	.C1qa.Lst1	.C1qa.Mtf2	.C1qa.Mtf2	.C1qa.Mtf2	.C1qa.Lst1	.Adamts20.Ric8a	.Adamts20.C1qb	.Adamts20.Ric8a	.C1qa.Mtf2	.Adamts20.C1qb	.Adamts20.C1qb	.Adamts20.Ric8a	.Adamts20.Ric8a	.C1qa.Mtf2	.C1qa.Mtf2	.Adamts20.Ric8a	.C1qa.Lst1	.Adamts20.Ric8a	.Adamts20.C1qb	.C1qa.Lst1	.C1qa.Mtf2	.C1qa.Mtf2	.Adamts20.Ric8a	.Adamts20.Ric8a	.C1qa.Lst1	.C1qa.Mtf2	.C1qa.Lst1	.C1qa.Lst1	.Adamts20.Ric8a	
2.977394e+02	3.208875e+02	1.087844e+02	-2.355661e+02	-1.577690e+02	2.827524e+02	-2.239877e+02	3.081869e+02	2.335407e+02	1.307323e+02	1.754830e+02	-9.808573e+01	2.244501e+02	-1.997975e+02	-6.647897e+01	1.949076e+02	2.374001e+02	-2.021861e+02	-3.272762e+02	-4.497289e+01	-3.619236e+01	-3.006423e+02	2.502025e+02	-2.416235e+01	1.909654e+02	-2.080681e+02	-1.407179e+01	-6.278880e+01	-2.768608e+02	-2.282046e+02	-2.544123e+02	2.398145e+02	-2.203534e+02	1.520176e+01	-1.332179e+02	3.348034e+01	1.898395e+02	1.954990e+02	1.103936e+02	-2.582460e+02	-1.510409e+01	1.770400e+02	2.881467e+02	8.178247e+01	2.789136e+02	-1.791188e+02	3.767829e+01	-1.133507e+01	2.378981e+02	-3.800363e+01	2.381797e+01	6.129765e+01	1.438015e+02	-3.402278e-01	1.497053e+01	2.642992e+02	1.687043e+02	-3.530638e+02	-6.578917e+01	1.108036e+02	2.617126e+02	-1.165635e+02	-3.114012e+02	-2.408720e+02	1.024015e+02	5.592875e+01	-9.550311e+01	-1.694416e+02	-2.488718e+02	3.597139e+01	-1.501945e+01	-1.935949e+02	1.418534e+02	-2.707179e+02	-1.725536e+02	1.098347e+02	-1.501241e+02	7.085500e+01	-1.597157e+02	-2.652998e+02	2.968954e+02	-3.179713e+02	2.711622e+02	1.240617e+02	-1.363459e+02	
2.795306e+02	3.768282e+02	-4.315749e+01	-2.012416e+02	-2.325979e+02	3.874807e+02	-2.759662e+02	1.193951e+02	3.939148e+02	1.868520e+01	2.164114e+02	-2.380380e+02	7.329598e+01	-2.156464e+02	6.174918e+01	3.266796e+02	1.732624e+02	-1.126082e+02	-4.319679e+01	-5.026614e+00	1.600465e+02	-2.396662e+02	2.337624e+02	5.097259e+01	1.382642e+02	-1.768983e+02	-1.412799e+02	-1.382506e+02	-2.946541e+02	-2.369533e+02	-3.776336e+01	1.035261e+02	-3.337197e+02	-1.447924e+02	2.077589e+01	1.454586e+02	2.829811e+02	2.477916e+02	2.769760e+02	-2.570197e+02	9.284511e+01	1.691371e+02	1.639170e+02	-5.094600e+01	3.233425e+02	-1.674510e+01	2.518770e+02	-1.856942e+02	2.887382e+02	-2.190510e+02	-2.295465e+02	3.767655e+01	-9.173629e+01	1.325612e+02	4.481097e+01	1.340484e+02	6.381414e+00	-9.848640e+01	-8.767617e+01	-1.343368e+02	3.557572e+02	-1.255921e+02	-8.845339e+01	-1.514602e+02	2.939564e+01	-1.339490e+02	-1.821361e+02	-1.890147e+02	-8.804815e+01	-7.528413e+01	-9.303113e+01	-2.549848e+02	3.076659e+02	-1.805128e+02	-1.491936e+02	1.318888e+02	-8.851364e+01	-1.744418e+02	-3.055597e+02	-2.200713e+02	3.503414e+02	-1.523694e+02	1.994196e+02	2.001897e+02	-1.724709e+02	
