Arhgdib	Cd37	Cd14	Spi1	Cd53	P2ry12	Fcer1g	Bcl2a1b	Fcgr3	C1qa	Ccl6	C1qb	Ucp2	C1qc	Grap	Cd52	Csf1r	Aif1	Pld4	Trem2	Lst1	Itgb5	Il1a	Crybb1	Rhog	Evi2a	Rrad	Tyrobp	Marcksl1	Msn	Ighm	Vamp8	Ccl4	Tmem119	Ncf4	Ccl3	Inpp5d	Ccl2	Ctss	Ly86	Gm43564	Gpsm3	Srgn	Unc93b1	Tnni2	Fcrls	Laptm5	Cd68	Selenop	S100a13	Ctsc	Phka2	Siglech	Lpcat2	Sash3	Bcl2a1d	Cd300c2	Ltc4s	Lgals9	Olfml3	BC049352	Clec5a	S100a16	Rhoc	Gmfg	Ccl12	Olig1	H2-DMa	F11r	P2ry13	Tubb6	Fermt3	Cmtm6	Tnf	Anxa3	Cx3cr1	Elovl1	C5ar1	Vwa5a	Ntsr2	Acsbg1	Vsir	Lefty1	Rnase4	Col15a1	Gpr34	Hpgd	Irf8	Slco2b1	Aldh1a1	Itgb2	Susd3	Lsp1	Nsun6	Slamf8	1700020L24Rik	Pes1	Zfp647	Cxcl2	Rpl36a-ps2	
O24	O31	O32	O36	O39	O41	O44	O46	O47	O48	O49	O52	O54	O55	O56	O58	O60	O61	O62	O65	O66	O71	O73	O76	O78	O80	O87	O89	O90	O100	O102	O103	O104	O106	O109	O111	O113	O117	O125	O127	O128	O129	O130	O131	O132	O134	O135	O137	O141	O145	O147	O149	O151	O159	O160	O162	O164	O165	O171	O427	O430	O433	O434	O435	O439	O440	O454	
.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Phka2	.Sqle.Tmem205	.Sqle.Tmem205	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Phka2	.Fcer1g.Arhgdib.Stmn3	.Sqle.Tmem205	.Fcer1g.Arhgdib.Stmn3	.Sqle.Tmem205	.Fcer1g.Phka2	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Arhgdib.Stmn3	.Sqle.C1qc	.Fcer1g.Phka2	.Fcer1g.Phka2	.Fcer1g.Arhgdib.Stmn3	.Sqle.Tmem205	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Phka2	.Fcer1g.Arhgdib.Stmn3	.Sqle.Tmem205	.Sqle.C1qc	.Sqle.C1qc	.Sqle.C1qc	.Sqle.Tmem205	.Sqle.Tmem205	.Fcer1g.Phka2	.Fcer1g.Arhgdib.Stmn3	.Sqle.Tmem205	.Sqle.C1qc	.Fcer1g.Phka2	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Arhgdib.Stmn3	.Sqle.Tmem205	.Fcer1g.Arhgdib.Gm43564	.Sqle.Tmem205	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Phka2	.Fcer1g.Arhgdib.Stmn3	.Sqle.Tmem205	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Phka2	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Phka2	.Fcer1g.Phka2	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Phka2	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Arhgdib.Stmn3	.Fcer1g.Phka2	.Fcer1g.Phka2	.Fcer1g.Phka2	.Fcer1g.Arhgdib.Stmn3	.Sqle.Tmem205	.Fcer1g.Phka2	.Sqle.Tmem205	.Sqle.Tmem205	.Fcer1g.Phka2	.Sqle.Tmem205	.Fcer1g.Arhgdib.Stmn3	.Sqle.Tmem205	
8.516680e+01	-2.028216e+01	-7.862914e+01	-8.946460e+01	6.139205e+01	1.133107e+02	3.181763e+01	7.165849e+01	-1.037601e+02	5.055853e+01	-5.889878e+01	1.713160e+01	7.275525e+01	5.398950e+01	-5.453995e+01	-5.293934e+01	-3.224605e+01	-4.845762e+01	-7.781668e+01	7.563223e+01	-5.148606e-01	5.978065e+01	-7.887149e+01	-5.665700e+01	-2.731545e+01	-2.727498e+01	-6.616919e+01	-6.697246e+01	-9.312532e+00	6.640521e+01	-4.142782e+01	-3.551858e+01	-3.635409e+01	6.313811e+01	7.839971e+01	8.725794e+01	-7.694942e+01	9.722992e+01	-6.737379e+01	1.478940e+01	4.788076e+01	4.659945e+01	-1.077598e+01	1.026570e+02	-9.587649e+01	3.066865e+01	2.697062e+00	9.934268e+01	-5.593952e+01	2.717733e+01	-1.854344e+00	2.918612e+01	2.787048e+01	7.704479e+01	2.638041e+01	-7.087545e+01	-1.505592e+01	-1.357738e+01	1.000941e+02	-5.626446e+01	-2.145382e+01	-4.720975e+01	-8.989555e+01	-7.675038e-01	-6.846663e+01	9.374232e+01	-5.599599e+01	
5.679838e+00	1.252350e+01	7.319370e+00	-1.876216e+01	2.396643e+01	-5.850812e-01	2.826014e+00	2.383913e+00	-1.072229e+01	4.360545e+01	-2.392379e+00	3.623818e+01	-2.363223e+01	-1.707608e+01	1.094685e+01	3.546433e+01	2.578746e+01	4.863140e+01	-1.690188e+01	1.431663e+01	3.891320e+01	1.027116e+01	-2.915538e+01	-2.395201e+01	-4.563537e+01	-2.367404e+01	-3.372394e+01	-1.008915e+01	4.274873e+01	4.088248e+01	-1.713789e+01	6.047274e+00	-3.524457e+01	-4.860168e+00	-8.978888e+00	-1.150381e+01	-6.268496e+00	-3.398504e+01	-2.007965e+01	1.658482e+01	9.163727e+00	2.311349e+01	1.317124e+01	2.067947e+01	-3.342048e+01	-3.081369e+01	1.158578e+01	-1.745320e+00	-5.584220e+01	4.950590e+01	-2.339262e+01	2.305620e+01	3.808209e+01	3.262761e+01	-8.845977e+00	2.407090e+01	-3.040748e+01	-1.346454e+01	1.196328e+01	-1.290606e+01	-3.289131e+00	-6.181682e+00	-2.760666e+00	-1.427972e+00	1.069211e+00	-2.343136e+01	-4.093626e+01	
