Bcl2a1b	Cd14	Cd300c2	Rhog	Fcgr3	Evi2a	Rrad	P2ry13	Cd53	Arhgdib	Psmb8	Itgb5	C1qa	Spi1	P2ry12	Ucp2	Cd37	Dcxr	Ccl6	Grap	Ncf4	Ccl4	Cmtm6	Ccl3	C1qc	Fcrls	Itgb2	Adgre1	Tyrobp	Tnf	Lst1	Clec5a	C1qb	Ctss	Laptm5	Cd52	Tmem119	Rhoc	Msn	Csf1r	Ighm	H2-DMa	Ly86	Ecscr	Unc93b1	C5ar1	Vamp8	H2-DMb1	Ccl2	Bin2	Siglech	Aif1	Gmfg	Gngt2	Lpcat2	S100a13	Parvg	Pld4	Crybb1	Trem2	F11r	Ccl12	S100a16	Tmem37	Lyn	Lgals9	Tubb6	Slc7a7	Olfml3	Socs3	Ltc4s	Edn1	Rnf138rt1	Gm43564	Cfh	Olig1	Osm	Cxcl10	Smim3	H2-K1	Tlr7	Susd3	Slco2b1	Cxcl2	Cst7	Cxcl16	Gpsm3	Gm4739	Tmem63a	Il1a	Agmat	Fermt3	Hk3	Col15a1	Irf5	Rapsn	Sla	Pycard	Srgn	Cx3cr1	Galnt12	Bcl2a1d	Mepce	Trim13	Rab20	Rnase4	Marcksl1	Anxa3	Ptpn6	Isyna1	Vav1	Vwa5a	Bcl2a1a	Slc15a3	Klk8	Cd33	Dap	Selenop	Gem	Plaur	Fcgr2b	Xlr	Ttpa	Gpr84	Acsbg1	Sptssb	Cd68	Ptk2b	Gpr34	Hcst	Fhad1	Pcdhb9	Vsir	Sash3	Tnfaip3	Fam107b	Suclg2	Fcer1g	Tent5c	Arhgap18	Fam110a	Atf3	Mpeg1	Wasf2	Hpgd	Zfp420	Limd2	Ppp1r18	Abhd4	Hvcn1
O24	O26	O31	O32	O34	O35	O36	O39	O41	O44	O46	O47	O48	O49	O54	O55	O56	O58	O60	O61	O62	O65	O66	O73	O76	O78	O89	O100	O102	O103	O109	O111	O113	O117	O125	O127	O128	O129	O130	O131	O132	O135	O137	O138	O141	O145	O147	O149	O159	O160	O162	O164	O165	O171
.C1qa.Bcl2a1b.Cox6b1	.C1qa.Bcl2a1b.Cox6b1	.C1qa.Miip	.Gtf2e1.Polr1e	.Gtf2e1.Tmem206	.C1qa.Bcl2a1b.Cox6b1	.Gtf2e1.Polr1e	.C1qa.Bcl2a1b.Cox6b1	.C1qa.Bcl2a1b.Cox6b1	.C1qa.Miip	.C1qa.Bcl2a1b.Cox6b1	.Gtf2e1.Tmem206	.C1qa.Bcl2a1b.Cox6b1	.Gtf2e1.Polr1e	.C1qa.Bcl2a1b.Cox6b1	.C1qa.Miip	.Gtf2e1.Tmem206	.Gtf2e1.Polr1e	.C1qa.Miip	.C1qa.Miip	.Gtf2e1.Polr1e	.C1qa.Bcl2a1b.Cox6b1	.C1qa.Miip	.Gtf2e1.Polr1e	.Gtf2e1.Tmem206	.Gtf2e1.Tmem206	.Gtf2e1.Polr1e	.C1qa.Bcl2a1b.Cox6b1	.Gtf2e1.Polr1e	.Gtf2e1.Tmem206	.C1qa.Bcl2a1b.Cox6b1	.C1qa.Bcl2a1b.Cox6b1	.Gtf2e1.Polr1e	.C1qa.Bcl2a1b.Gm43564	.Gtf2e1.Polr1e	.C1qa.Miip	.C1qa.Miip	.C1qa.Miip	.C1qa.Miip	.C1qa.Bcl2a1b.Cox6b1	.Gtf2e1.Tmem206	.C1qa.Miip	.C1qa.Bcl2a1b.Cox6b1	.C1qa.Miip	.C1qa.Miip	.C1qa.Miip	.C1qa.Miip	.C1qa.Miip	.C1qa.Bcl2a1b.Cox6b1	.C1qa.Miip	.Gtf2e1.Tmem206	.C1qa.Miip	.C1qa.Miip	.C1qa.Bcl2a1b.Cox6b1
9.739232e+01	1.436961e+02	-4.538080e+01	-7.525450e+01	-5.447801e+01	1.516185e+02	-1.035301e+02	5.077054e+01	1.202436e+02	3.206107e+01	8.870874e+01	-9.388151e+01	5.917547e+01	-7.545494e+01	1.082167e+02	3.074987e+01	-1.095339e+02	-8.909203e+01	-4.795982e+01	-9.050612e+01	-8.556007e+01	7.475865e+01	-9.541266e+00	-7.017707e+01	-1.017771e+02	-3.917095e+01	-9.005498e+01	7.499952e+01	-5.978487e+01	-6.436495e+01	8.332884e+01	8.886876e+01	-7.101888e+01	-1.433654e+01	-8.569744e+01	9.695699e+00	3.563734e+01	4.235763e+01	-2.531367e+01	1.361765e+02	-1.205193e+02	-2.451338e+01	1.053664e+02	-4.372663e+01	-3.514422e+01	1.966979e-01	-4.230887e-01	2.515213e+01	7.344438e+01	5.485490e+01	-6.318634e+01	-1.710865e+01	-1.249179e+01	1.315125e+02
1.679458e+01	1.206460e+01	4.968980e+01	1.042218e+01	-2.365009e+01	2.637802e+01	-3.384918e+01	7.468943e+00	-5.027308e-01	1.913533e+00	-3.663539e+00	2.126278e+01	4.850452e+01	-5.176320e+00	3.750113e+01	4.611726e+01	5.742752e+00	-5.177921e+01	-7.000759e+01	-7.189832e+01	-2.953847e+01	3.810837e+00	5.672178e+00	-3.446946e+01	-1.329931e+01	-7.501615e+00	4.093267e-01	4.258741e+01	-3.248811e+00	2.557265e+01	-1.912343e+01	-3.081702e+01	-1.838443e+01	6.157859e+01	-1.445839e+01	1.450653e+01	-1.070377e+01	2.882131e+01	4.045289e+01	3.306840e+01	-1.653959e+01	2.049429e+01	-2.131959e+01	1.460873e+01	-3.772314e+01	3.752241e+01	-2.521182e+01	2.247710e+01	2.550997e+01	-1.346972e+01	-5.624596e+01	-2.299903e+01	-4.317366e+01	1.780146e+01
