Arhgdib	Cd37	Cd14	Spi1	Cd53	P2ry12	Fcer1g	Il1a	Bcl2a1b	Fcgr3	C1qa	Ccl6	Ucp2	C1qb	Ccl4	C1qc	Grap	Cd52	Pld4	Ccl3	Csf1r	Aif1	Lst1	Trem2	Ctss	Itgb5	Rhog	Crybb1	Evi2a	Rrad	Msn	Tyrobp	Marcksl1	Ighm	Vamp8	Ncf4	Inpp5d	Tmem119	Ccl2	Gm43564	Gpsm3	Srgn	Tnni2	Ly86	Unc93b1	Laptm5	S100a13	Siglech	Fcrls	Cd68	Sash3	Ctsc	Phka2	Lpcat2	BC049352	Selenop	Cd300c2	Bcl2a1d	Clec5a	Ltc4s	Lgals9	Rhoc	Olfml3	S100a16	Anxa3	P2ry13	Ccl12	Gmfg	F11r	Fermt3	Gem	H2-DMa	S100a8	Vwa5a	Tubb6	
O24	O31	O32	O36	O39	O41	O44	O46	O47	O48	O49	O52	O54	O55	O56	O58	O60	O61	O62	O65	O66	O71	O73	O76	O78	O80	O87	O89	O90	O100	O102	O103	O104	O106	O109	O111	O113	O117	O125	O127	O128	O129	O130	O131	O132	O134	O135	O137	O141	O145	O147	O149	O151	O159	O160	O162	O164	O165	O171	O427	O430	O433	O434	O435	O439	O440	O454	
.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Phka2	.Sqle.Tmem205	.Sqle.Tmem205	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Sqle.Tmem205	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Sqle.Ankrd49	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Sqle.Tmem205	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Sqle.Tmem205	.Fcer1g.S100a8	.Sqle.Ankrd49	.Sqle.Ankrd49	.Sqle.Tmem205	.Sqle.Tmem205	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Sqle.Tmem205	.Sqle.Ankrd49	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Sqle.Tmem205	.Fcer1g.Cox6c.Arhgdib.Gm43564	.Sqle.Tmem205	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Sqle.Tmem205	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Phka2	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Sqle.Tmem205	.Fcer1g.Cox6c.Phka2	.Sqle.Tmem205	.Sqle.Tmem205	.Fcer1g.Cox6c.Phka2	.Sqle.Tmem205	.Fcer1g.Cox6c.Arhgdib.Stmn3	.Sqle.Tmem205	
9.790958e+01	1.314356e+01	-8.896333e+01	-8.530882e+01	5.436452e+01	1.148417e+02	2.945189e+01	7.432812e+01	-1.079645e+02	7.175858e+01	-7.154502e+01	1.662595e+01	1.004839e+02	6.242308e+01	-6.104291e+01	-6.376284e+01	-1.017664e+01	2.099801e+01	-6.318443e+01	8.341344e+01	-1.851438e+00	5.463497e+01	-7.564462e+01	-1.033852e+02	-3.459530e+01	-2.996803e+01	-6.014448e+01	-8.338907e+01	-1.190126e+01	7.798153e+01	-7.868278e+01	-3.235783e+01	-3.943815e+01	6.442066e+01	8.387483e+01	7.832384e+01	-7.343119e+01	7.175588e+01	-8.075790e+01	1.091905e+01	4.752963e+01	4.487297e+01	1.229217e+01	1.098479e+02	-9.553429e+01	-2.748370e+01	-1.775896e+01	9.395767e+01	-4.265330e+01	2.649044e+01	-1.115498e+01	3.353351e+01	2.150627e+01	7.677473e+01	3.864602e+01	-5.720414e+01	-2.255857e+01	-1.049075e-01	1.037161e+02	-7.216987e+01	-3.218566e+00	-6.315392e+01	-4.922509e+01	-4.496214e+00	-9.162174e+01	7.345665e+01	-4.844330e+01	
-3.521327e+01	3.192533e+01	-2.184292e+00	1.052637e+01	-3.130489e+00	-3.837739e+01	1.269754e+01	-3.606629e+01	2.672047e+01	6.289256e+00	2.515599e+01	-2.477609e+01	-1.947326e+01	-1.888193e+01	4.658728e+01	-1.260040e+01	3.325814e+00	-4.341327e+01	1.780996e+01	-2.970354e+01	-1.751478e+01	-4.393936e+01	2.661282e+00	7.363926e+00	3.691375e+00	3.223017e+01	3.060093e+01	3.111568e+01	-1.413582e+01	-2.797508e+00	4.985048e+01	1.577686e+01	4.431591e+01	-3.190296e+01	-4.246756e+01	-5.185176e+01	1.288140e+01	-7.419262e+01	2.055871e+01	2.066852e+00	-3.721051e+01	-1.723408e+01	4.266411e+01	-5.608434e+01	4.112624e+01	-2.389814e+01	2.257105e+01	-5.641596e+01	-1.297985e+01	-1.246078e+00	5.475781e+01	-2.194750e+01	-1.183292e+01	-1.582636e+01	2.265363e+01	6.547894e+01	4.305761e+01	1.508420e+01	-4.867103e+01	3.592279e+01	2.728615e+01	5.733722e+00	1.137095e+01	3.946194e+01	2.178177e+01	-6.417828e+01	2.704516e+01	
