Cell	CellType	Name	gSetType
GSM2658909	Calb2.Cntnap5a.Igfbp6	Kevontae	Calb2.Cntnap5a.Igfbp6
GSM2659245	Calb2.Cntnap5a.Igfbp6	Krishav	Calb2.Cntnap5a.Igfbp6
GSM2659785	Calb2.Cntnap5a.Igfbp6	Zinachidi	Calb2.Cntnap5a.Igfbp6
GSM2659982	Calb2.Cntnap5a.Igfbp6	Eliott	Calb2.Cntnap5a.Igfbp6
GSM2659996	Calb2.Cntnap5a.Igfbp6	Fitzgerald	Calb2.Cntnap5a.Igfbp6
GSM2660049	Calb2.Cntnap5a.Igfbp6	Kamaria	Calb2.Cntnap5a.Igfbp6
GSM2662340	Calb2.Cntnap5a.Igfbp6	Hatch	Calb2.Cntnap5a.Igfbp6
GSM2662374	Calb2.Cntnap5a.Igfbp6	Nana	Calb2.Cntnap5a.Igfbp6
GSM2662632	Calb2.Cntnap5a.Igfbp6	Bindi	Calb2.Cntnap5a.Igfbp6
GSM2663205	Calb2.Cntnap5a.Igfbp6	Avalyn	Calb2.Cntnap5a.Igfbp6
GSM2657733	Calb2.Cntnap5a.Igfbp6	Clay	Calb2.Cntnap5a.Igfbp6
GSM2659904	Calb2.Cntnap5a.Igfbp6	Jerel	Calb2.Cntnap5a.Igfbp6
GSM2660107	Calb2.Cntnap5a.Igfbp6	Arena	Calb2.Cntnap5a.Igfbp6
GSM2660898	Calb2.Cntnap5a.Igfbp6	Naimah	Calb2.Cntnap5a.Igfbp6
GSM2661075	Calb2.Cntnap5a.Igfbp6	Davier	Calb2.Cntnap5a.Igfbp6
GSM2661288	Calb2.Cntnap5a.Igfbp6	Naydeen	Calb2.Cntnap5a.Igfbp6
GSM2661420	Calb2.Cntnap5a.Igfbp6	Ajanae	Calb2.Cntnap5a.Igfbp6
GSM2662526	Calb2.Cntnap5a.Igfbp6	Saran	Calb2.Cntnap5a.Igfbp6
GSM2662535	Calb2.Cntnap5a.Igfbp6	Ahmet	Calb2.Cntnap5a.Igfbp6
GSM2662564	Calb2.Cntnap5a.Igfbp6	Treyveon	Calb2.Cntnap5a.Igfbp6
GSM2662957	Calb2.Cntnap5a.Igfbp6	Chynna	Calb2.Cntnap5a.Igfbp6
GSM2663366	Calb2.Cntnap5a.Igfbp6	Catherin	Calb2.Cntnap5a.Igfbp6
GSM2663469	Calb2.Cntnap5a.Igfbp6	Melis	Calb2.Cntnap5a.Igfbp6
GSM2663602	Calb2.Cntnap5a.Igfbp6	Elysium	Calb2.Cntnap5a.Igfbp6
GSM2662473	Calb2.Cntnap5a.Igfbp6	Evlynn	Calb2.Cntnap5a.Igfbp6
GSM2659508	Calb2.Cntnap5a.Vip	Eliaz	Calb2.Cntnap5a.Vip
GSM2659711	Calb2.Cntnap5a.Vip	Georgiana	Calb2.Cntnap5a.Vip
GSM2659852	Calb2.Cntnap5a.Vip	Brileigh	Calb2.Cntnap5a.Vip
GSM2660082	Calb2.Cntnap5a.Vip	Maxime	Calb2.Cntnap5a.Vip
GSM2660394	Calb2.Cntnap5a.Vip	Liah	Calb2.Cntnap5a.Vip
GSM2660424	Calb2.Cntnap5a.Vip	Soleia	Calb2.Cntnap5a.Vip
GSM2660434	Calb2.Cntnap5a.Vip	Jebadiah	Calb2.Cntnap5a.Vip
GSM2661230	Calb2.Cntnap5a.Vip	Rhylin	Calb2.Cntnap5a.Vip
GSM2661354	Calb2.Cntnap5a.Vip	Zuha	Calb2.Cntnap5a.Vip
GSM2661822	Calb2.Cntnap5a.Vip	Trajan	Calb2.Cntnap5a.Vip
GSM2657536	Calb2.Cntnap5a.Vip	Saurav	Calb2.Cntnap5a.Vip
GSM2657799	Calb2.Cntnap5a.Vip	Rocklynn	Calb2.Cntnap5a.Vip
GSM2658131	Calb2.Cntnap5a.Vip	Brenli	Calb2.Cntnap5a.Vip
GSM2658218	Calb2.Cntnap5a.Vip	Avianna	Calb2.Cntnap5a.Vip
GSM2658830	Calb2.Cntnap5a.Vip	Aleese	Calb2.Cntnap5a.Vip
GSM2659151	Calb2.Cntnap5a.Vip	Rhyan	Calb2.Cntnap5a.Vip
GSM2659684	Calb2.Cntnap5a.Vip	Aaliyah	Calb2.Cntnap5a.Vip
GSM2659739	Calb2.Cntnap5a.Vip	Reniyah	Calb2.Cntnap5a.Vip
GSM2659940	Calb2.Cntnap5a.Vip	Gildardo	Calb2.Cntnap5a.Vip
GSM2660022	Calb2.Cntnap5a.Vip	Tydus	Calb2.Cntnap5a.Vip
GSM2660083	Calb2.Cntnap5a.Vip	Asiya	Calb2.Cntnap5a.Vip
GSM2660115	Calb2.Cntnap5a.Vip	Djimon	Calb2.Cntnap5a.Vip
GSM2660458	Calb2.Cntnap5a.Vip	Jayline	Calb2.Cntnap5a.Vip
GSM2660751	Calb2.Cntnap5a.Vip	Prakriti	Calb2.Cntnap5a.Vip
GSM2660854	Calb2.Cntnap5a.Vip	Jullian	Calb2.Cntnap5a.Vip
GSM2661180	Calb2.Cntnap5a.Vip	Donathan	Calb2.Cntnap5a.Vip
GSM2662112	Calb2.Cntnap5a.Vip	Ellenie	Calb2.Cntnap5a.Vip
GSM2662323	Calb2.Cntnap5a.Vip	Isabellasophia	Calb2.Cntnap5a.Vip
GSM2662462	Calb2.Cntnap5a.Vip	Hadrian	Calb2.Cntnap5a.Vip
GSM2662519	Calb2.Cntnap5a.Vip	Landis	Calb2.Cntnap5a.Vip
GSM2662630	Calb2.Cntnap5a.Vip	Nayra	Calb2.Cntnap5a.Vip
GSM2662725	Calb2.Cntnap5a.Vip	Avital	Calb2.Cntnap5a.Vip
GSM2662756	Calb2.Cntnap5a.Vip	Artavious	Calb2.Cntnap5a.Vip
GSM2662769	Calb2.Cntnap5a.Vip	Alis	Calb2.Cntnap5a.Vip
GSM2662821	Calb2.Cntnap5a.Vip	Heavenly	Calb2.Cntnap5a.Vip
GSM2663083	Calb2.Cntnap5a.Vip	Keanen	Calb2.Cntnap5a.Vip
GSM2663121	Calb2.Cntnap5a.Vip	Natnael	Calb2.Cntnap5a.Vip
GSM2663270	Calb2.Cntnap5a.Vip	Brexten	Calb2.Cntnap5a.Vip
GSM2663650	Calb2.Cntnap5a.Vip	Alesandra	Calb2.Cntnap5a.Vip
GSM2663676	Calb2.Cntnap5a.Vip	Sig	Calb2.Cntnap5a.Vip
GSM2657731	Calb2.Cntnap5a.Vip	Icesis	Calb2.Cntnap5a.Vip
GSM2659298	Calb2.Cntnap5a.Vip	Raam	Calb2.Cntnap5a.Vip
GSM2660327	Calb2.Cntnap5a.Vip	Asaph	Calb2.Cntnap5a.Vip
GSM2661017	Calb2.Cntnap5a.Vip	Carla	Calb2.Cntnap5a.Vip
GSM2661650	Calb2.Cntnap5a.Vip	Deaken	Calb2.Cntnap5a.Vip
GSM2662485	Calb2.Cntnap5a.Vip	Dmya	Calb2.Cntnap5a.Vip
GSM2662801	Calb2.Cntnap5a.Vip	Mairead	Calb2.Cntnap5a.Vip
GSM2663104	Calb2.Cntnap5a.Vip	Adis	Calb2.Cntnap5a.Vip
GSM2663494	Calb2.Cntnap5a.Vip	Badr	Calb2.Cntnap5a.Vip
GSM2663504	Calb2.Cntnap5a.Vip	Ariaunna	Calb2.Cntnap5a.Vip
GSM2661609	Calb2.Cntnap5a.Vip	Carsin	Calb2.Cntnap5a.Vip
GSM2659222	Calb2.Cntnap5a.Rspo3	Tashia	Calb2.Cntnap5a.Rspo3
GSM2659427	Calb2.Cntnap5a.Rspo3	Ivis	Calb2.Cntnap5a.Rspo3
GSM2659620	Calb2.Cntnap5a.Rspo3	Alison	Calb2.Cntnap5a.Rspo3
GSM2659628	Calb2.Cntnap5a.Rspo3	Mikale	Calb2.Cntnap5a.Rspo3
GSM2659717	Calb2.Cntnap5a.Rspo3	Penny	Calb2.Cntnap5a.Rspo3
GSM2659892	Calb2.Cntnap5a.Rspo3	Medhansh	Calb2.Cntnap5a.Rspo3
GSM2660489	Calb2.Cntnap5a.Rspo3	Ameya	Calb2.Cntnap5a.Rspo3
GSM2660601	Calb2.Cntnap5a.Rspo3	Kalayah	Calb2.Cntnap5a.Rspo3
GSM2661085	Calb2.Cntnap5a.Rspo3	Annahi	Calb2.Cntnap5a.Rspo3
GSM2662245	Calb2.Cntnap5a.Rspo3	Daniel	Calb2.Cntnap5a.Rspo3
GSM2656894	Calb2.Cntnap5a.Rspo3	Beckam	Calb2.Cntnap5a.Rspo3
GSM2657027	Calb2.Cntnap5a.Rspo3	Jahkari	Calb2.Cntnap5a.Rspo3
GSM2657684	Calb2.Cntnap5a.Rspo3	Kemariya	Calb2.Cntnap5a.Rspo3
GSM2658827	Calb2.Cntnap5a.Rspo3	Jazmynn	Calb2.Cntnap5a.Rspo3
GSM2659303	Calb2.Cntnap5a.Rspo3	Melanee	Calb2.Cntnap5a.Rspo3
GSM2659309	Calb2.Cntnap5a.Rspo3	Milos	Calb2.Cntnap5a.Rspo3
GSM2659638	Calb2.Cntnap5a.Rspo3	Emalie	Calb2.Cntnap5a.Rspo3
GSM2659759	Calb2.Cntnap5a.Rspo3	Annely	Calb2.Cntnap5a.Rspo3
GSM2660064	Calb2.Cntnap5a.Rspo3	Shamyra	Calb2.Cntnap5a.Rspo3
GSM2660722	Calb2.Cntnap5a.Rspo3	Stokley	Calb2.Cntnap5a.Rspo3
GSM2660969	Calb2.Cntnap5a.Rspo3	Motty	Calb2.Cntnap5a.Rspo3
GSM2660991	Calb2.Cntnap5a.Rspo3	Desire	Calb2.Cntnap5a.Rspo3
GSM2661021	Calb2.Cntnap5a.Rspo3	Neriya	Calb2.Cntnap5a.Rspo3
GSM2661028	Calb2.Cntnap5a.Rspo3	Skylarrae	Calb2.Cntnap5a.Rspo3
GSM2661097	Calb2.Cntnap5a.Rspo3	Novia	Calb2.Cntnap5a.Rspo3
GSM2661099	Calb2.Cntnap5a.Rspo3	Bergen	Calb2.Cntnap5a.Rspo3
GSM2661118	Calb2.Cntnap5a.Rspo3	Saryah	Calb2.Cntnap5a.Rspo3
GSM2661273	Calb2.Cntnap5a.Rspo3	Emaad	Calb2.Cntnap5a.Rspo3
GSM2661321	Calb2.Cntnap5a.Rspo3	Giorgio	Calb2.Cntnap5a.Rspo3
GSM2663026	Calb2.Cntnap5a.Rspo3	Tayon	Calb2.Cntnap5a.Rspo3
GSM2661678	Calb2.Cntnap5a.Rspo3	Jaswiry	Calb2.Cntnap5a.Rspo3
GSM2661908	Calb2.Cntnap5a.Rspo3	Abdulahi	Calb2.Cntnap5a.Rspo3
GSM2661917	Calb2.Cntnap5a.Rspo3	Ashlan	Calb2.Cntnap5a.Rspo3
GSM2662008	Calb2.Cntnap5a.Rspo3	Yuleidy	Calb2.Cntnap5a.Rspo3
GSM2662113	Calb2.Cntnap5a.Rspo3	Xzayvier	Calb2.Cntnap5a.Rspo3
GSM2662201	Calb2.Cntnap5a.Rspo3	Gershon	Calb2.Cntnap5a.Rspo3
GSM2662941	Calb2.Cntnap5a.Rspo3	Eean	Calb2.Cntnap5a.Rspo3
GSM2663001	Calb2.Cntnap5a.Rspo3	Oliviya	Calb2.Cntnap5a.Rspo3
GSM2663033	Calb2.Cntnap5a.Rspo3	Panayiota	Calb2.Cntnap5a.Rspo3
GSM2663131	Calb2.Cntnap5a.Rspo3	Catheryn	Calb2.Cntnap5a.Rspo3
GSM2663250	Calb2.Cntnap5a.Rspo3	Zooey	Calb2.Cntnap5a.Rspo3
GSM2663427	Calb2.Cntnap5a.Rspo3	Winson	Calb2.Cntnap5a.Rspo3
GSM2658976	Calb2.Cntnap5a.Rspo3	Seyon	Calb2.Cntnap5a.Rspo3
GSM2659801	Calb2.Cntnap5a.Rspo3	Dalylah	Calb2.Cntnap5a.Rspo3
GSM2661920	Calb2.Cntnap5a.Rspo3	Sanae	Calb2.Cntnap5a.Rspo3
GSM2662106	Calb2.Cntnap5a.Rspo3	Damiya	Calb2.Cntnap5a.Rspo3
GSM2659780	Calb2.Cntnap5a.Rspo3	Davari	Calb2.Cntnap5a.Rspo3
GSM2661240	Calb2.Cntnap5a.Rspo3	Demarious	Calb2.Cntnap5a.Rspo3
GSM2662436	Calb2.Cntnap5a.Rspo3	Anorah	Calb2.Cntnap5a.Rspo3
GSM2662707	Calb2.Cntnap5a.Rspo3	Ritika	Calb2.Cntnap5a.Rspo3
GSM2659612	Calb2.Vip.Nos1	Malonie	Calb2.Vip.Nos1
GSM2659936	Calb2.Vip.Nos1	Camarie	Calb2.Vip.Nos1
GSM2661061	Calb2.Vip.Nos1	Rostin	Calb2.Vip.Nos1
GSM2662418	Calb2.Vip.Nos1	Eudora	Calb2.Vip.Nos1
GSM2662463	Calb2.Vip.Nos1	Barrett	Calb2.Vip.Nos1
GSM2663297	Calb2.Vip.Nos1	Jyiah	Calb2.Vip.Nos1
GSM2657926	Calb2.Vip.Nos1	Chevis	Calb2.Vip.Nos1
GSM2658347	Calb2.Vip.Nos1	Baye	Calb2.Vip.Nos1
GSM2659217	Calb2.Vip.Nos1	Azyla	Calb2.Vip.Nos1
GSM2659285	Calb2.Vip.Nos1	Kailer	Calb2.Vip.Nos1
GSM2659895	Calb2.Vip.Nos1	Treon	Calb2.Vip.Nos1
GSM2660045	Calb2.Vip.Nos1	Socrates	Calb2.Vip.Nos1
GSM2660220	Calb2.Vip.Nos1	Annalysse	Calb2.Vip.Nos1
GSM2660366	Calb2.Vip.Nos1	Giada	Calb2.Vip.Nos1
GSM2660407	Calb2.Vip.Nos1	Bladen	Calb2.Vip.Nos1
GSM2660476	Calb2.Vip.Nos1	Londan	Calb2.Vip.Nos1
GSM2660559	Calb2.Vip.Nos1	Santino	Calb2.Vip.Nos1
GSM2661004	Calb2.Vip.Nos1	Odalys	Calb2.Vip.Nos1
GSM2661233	Calb2.Vip.Nos1	Sissi	Calb2.Vip.Nos1
GSM2661314	Calb2.Vip.Nos1	Gaberiel	Calb2.Vip.Nos1
GSM2662146	Calb2.Vip.Nos1	Bessie	Calb2.Vip.Nos1
GSM2662408	Calb2.Vip.Nos1	Allison	Calb2.Vip.Nos1
GSM2662458	Calb2.Vip.Nos1	Shaely	Calb2.Vip.Nos1
GSM2662570	Calb2.Vip.Nos1	Suzann	Calb2.Vip.Nos1
GSM2663165	Calb2.Vip.Nos1	Stellah	Calb2.Vip.Nos1
GSM2663347	Calb2.Vip.Nos1	Jakub	Calb2.Vip.Nos1
GSM2663379	Calb2.Vip.Nos1	Riot	Calb2.Vip.Nos1
GSM2663404	Calb2.Vip.Nos1	Jayly	Calb2.Vip.Nos1
GSM2663412	Calb2.Vip.Nos1	Tatiyana	Calb2.Vip.Nos1
GSM2663657	Calb2.Vip.Nos1	Morena	Calb2.Vip.Nos1
GSM2656829	Calb2.Vip.Nos1	Gracie	Calb2.Vip.Nos1
GSM2659282	Calb2.Vip.Nos1	Finneas	Calb2.Vip.Nos1
GSM2659326	Calb2.Vip.Nos1	Breylin	Calb2.Vip.Nos1
GSM2659548	Calb2.Vip.Nos1	Naomii	Calb2.Vip.Nos1
GSM2659570	Calb2.Vip.Nos1	Dylanie	Calb2.Vip.Nos1
GSM2659712	Calb2.Vip.Nos1	Yaslyn	Calb2.Vip.Nos1
GSM2659906	Calb2.Vip.Nos1	Luzma	Calb2.Vip.Nos1
GSM2659941	Calb2.Vip.Nos1	Jaidyn	Calb2.Vip.Nos1
GSM2660035	Calb2.Vip.Nos1	Jenay	Calb2.Vip.Nos1
GSM2660130	Calb2.Vip.Nos1	Kamilia	Calb2.Vip.Nos1
GSM2660144	Calb2.Vip.Nos1	Maybelline	Calb2.Vip.Nos1
GSM2660249	Calb2.Vip.Nos1	Essa	Calb2.Vip.Nos1
GSM2660316	Calb2.Vip.Nos1	Aubryella	Calb2.Vip.Nos1
GSM2660378	Calb2.Vip.Nos1	Sejal	Calb2.Vip.Nos1
GSM2660644	Calb2.Vip.Nos1	Sinclair	Calb2.Vip.Nos1
GSM2660883	Calb2.Vip.Nos1	Salman	Calb2.Vip.Nos1
GSM2661158	Calb2.Vip.Nos1	Trevell	Calb2.Vip.Nos1
GSM2661239	Calb2.Vip.Nos1	Freeman	Calb2.Vip.Nos1
GSM2661534	Calb2.Vip.Nos1	Niva	Calb2.Vip.Nos1
GSM2661706	Calb2.Vip.Nos1	Athina	Calb2.Vip.Nos1
GSM2661988	Calb2.Vip.Nos1	Nezar	Calb2.Vip.Nos1
GSM2662096	Calb2.Vip.Nos1	Keats	Calb2.Vip.Nos1
GSM2662142	Calb2.Vip.Nos1	Ceaira	Calb2.Vip.Nos1
GSM2662149	Calb2.Vip.Nos1	Shlok	Calb2.Vip.Nos1
GSM2662179	Calb2.Vip.Nos1	Kaos	Calb2.Vip.Nos1
GSM2662670	Calb2.Vip.Nos1	Haden	Calb2.Vip.Nos1
GSM2662784	Calb2.Vip.Nos1	Mileena	Calb2.Vip.Nos1
GSM2663725	Calb2.Vip.Nos1	Kareema	Calb2.Vip.Nos1
GSM2662523	Calb2.Vip.Nos1	Varen	Calb2.Vip.Nos1
GSM2656743	Calb2.Vip.Nos1	Wilton	Calb2.Vip.Nos1
GSM2657176	Calb2.Vip.Igfbp4	Simranjit	Calb2.Vip.Igfbp4
GSM2657262	Calb2.Vip.Igfbp4	Claudette	Calb2.Vip.Igfbp4
GSM2657582	Calb2.Vip.Igfbp4	Thalya	Calb2.Vip.Igfbp4
GSM2657943	Calb2.Vip.Igfbp4	Ario	Calb2.Vip.Igfbp4
GSM2658459	Calb2.Vip.Igfbp4	Makailey	Calb2.Vip.Igfbp4
GSM2659674	Calb2.Vip.Igfbp4	Aashiyana	Calb2.Vip.Igfbp4
GSM2659764	Calb2.Vip.Igfbp4	Freyja	Calb2.Vip.Igfbp4
GSM2659826	Calb2.Vip.Igfbp4	Alanii	Calb2.Vip.Igfbp4
GSM2659995	Calb2.Vip.Igfbp4	Brodin	Calb2.Vip.Igfbp4
GSM2660020	Calb2.Vip.Igfbp4	Khing	Calb2.Vip.Igfbp4
GSM2660117	Calb2.Vip.Igfbp4	Emmasophia	Calb2.Vip.Igfbp4
GSM2660202	Calb2.Vip.Igfbp4	Margarette	Calb2.Vip.Igfbp4
GSM2660669	Calb2.Vip.Igfbp4	Zacharius	Calb2.Vip.Igfbp4
GSM2660673	Calb2.Vip.Igfbp4	Khloei	Calb2.Vip.Igfbp4
GSM2661041	Calb2.Vip.Igfbp4	Shyah	Calb2.Vip.Igfbp4
GSM2661613	Calb2.Vip.Igfbp4	Kayden	Calb2.Vip.Igfbp4
GSM2661901	Calb2.Vip.Igfbp4	Neville	Calb2.Vip.Igfbp4
GSM2662029	Calb2.Vip.Igfbp4	Angelee	Calb2.Vip.Igfbp4
GSM2662082	Calb2.Vip.Igfbp4	Starla	Calb2.Vip.Igfbp4
GSM2662180	Calb2.Vip.Igfbp4	Waylynn	Calb2.Vip.Igfbp4
GSM2662504	Calb2.Vip.Igfbp4	Owyn	Calb2.Vip.Igfbp4
GSM2662694	Calb2.Vip.Igfbp4	Cavin	Calb2.Vip.Igfbp4
GSM2662697	Calb2.Vip.Igfbp4	Rob	Calb2.Vip.Igfbp4
GSM2662754	Calb2.Vip.Igfbp4	Cassian	Calb2.Vip.Igfbp4
GSM2662848	Calb2.Vip.Igfbp4	Chantell	Calb2.Vip.Igfbp4
GSM2662980	Calb2.Vip.Igfbp4	Isandro	Calb2.Vip.Igfbp4
GSM2663334	Calb2.Vip.Igfbp4	Corabella	Calb2.Vip.Igfbp4
GSM2658547	Calb2.Vip.Igfbp4	Derrin	Calb2.Vip.Igfbp4
GSM2658892	Calb2.Vip.Igfbp4	Tavarus	Calb2.Vip.Igfbp4
GSM2659205	Calb2.Vip.Igfbp4	Nuradin	Calb2.Vip.Igfbp4
GSM2659494	Calb2.Vip.Igfbp4	Laird	Calb2.Vip.Igfbp4
GSM2659671	Calb2.Vip.Igfbp4	Vayda	Calb2.Vip.Igfbp4
GSM2659910	Calb2.Vip.Igfbp4	Jaquavis	Calb2.Vip.Igfbp4
GSM2660011	Calb2.Vip.Igfbp4	Gavon	Calb2.Vip.Igfbp4
GSM2660855	Calb2.Vip.Igfbp4	Breeze	Calb2.Vip.Igfbp4
GSM2661252	Calb2.Vip.Igfbp4	Charan	Calb2.Vip.Igfbp4
GSM2662127	Calb2.Vip.Igfbp4	Jayanth	Calb2.Vip.Igfbp4
GSM2662726	Calb2.Vip.Igfbp4	Maytal	Calb2.Vip.Igfbp4
GSM2663060	Calb2.Vip.Igfbp4	Zaliyah	Calb2.Vip.Igfbp4
GSM2663199	Calb2.Vip.Igfbp4	Shay	Calb2.Vip.Igfbp4
GSM2663298	Calb2.Vip.Igfbp4	Mehek	Calb2.Vip.Igfbp4
GSM2663409	Calb2.Vip.Igfbp4	Sanii	Calb2.Vip.Igfbp4
GSM2657132	Calb2.Vip.Igfbp4	Dilynn	Calb2.Vip.Igfbp4
GSM2657291	Calb2.Vip.Igfbp4	Daron	Calb2.Vip.Igfbp4
GSM2658191	Calb2.Vip.Igfbp4	Angus	Calb2.Vip.Igfbp4
GSM2659176	Calb2.Vip.Igfbp4	Sayani	Calb2.Vip.Igfbp4
GSM2659413	Calb2.Vip.Igfbp4	Anav	Calb2.Vip.Igfbp4
GSM2659456	Calb2.Vip.Igfbp4	Brayleigh	Calb2.Vip.Igfbp4
GSM2659487	Calb2.Vip.Igfbp4	Shashwat	Calb2.Vip.Igfbp4
GSM2659512	Calb2.Vip.Igfbp4	Tristina	Calb2.Vip.Igfbp4
GSM2659686	Calb2.Vip.Igfbp4	Gevork	Calb2.Vip.Igfbp4
GSM2659784	Calb2.Vip.Igfbp4	Emlyn	Calb2.Vip.Igfbp4
GSM2659957	Calb2.Vip.Igfbp4	Teressa	Calb2.Vip.Igfbp4
GSM2660259	Calb2.Vip.Igfbp4	Thijs	Calb2.Vip.Igfbp4
GSM2660300	Calb2.Vip.Igfbp4	Advay	Calb2.Vip.Igfbp4
GSM2660302	Calb2.Vip.Igfbp4	Dino	Calb2.Vip.Igfbp4
GSM2660456	Calb2.Vip.Igfbp4	Natilynn	Calb2.Vip.Igfbp4
GSM2660881	Calb2.Vip.Igfbp4	Phynix	Calb2.Vip.Igfbp4
GSM2661069	Calb2.Vip.Igfbp4	Zeynep	Calb2.Vip.Igfbp4
GSM2661243	Calb2.Vip.Igfbp4	Rosely	Calb2.Vip.Igfbp4
GSM2661620	Calb2.Vip.Igfbp4	Jeryn	Calb2.Vip.Igfbp4
GSM2661688	Calb2.Vip.Igfbp4	Ajit	Calb2.Vip.Igfbp4
GSM2661749	Calb2.Vip.Igfbp4	Keri	Calb2.Vip.Igfbp4
GSM2661763	Calb2.Vip.Igfbp4	Eryn	Calb2.Vip.Igfbp4
GSM2662045	Calb2.Vip.Igfbp4	Georgio	Calb2.Vip.Igfbp4
GSM2662141	Calb2.Vip.Igfbp4	Milan	Calb2.Vip.Igfbp4
GSM2662191	Calb2.Vip.Igfbp4	Jep	Calb2.Vip.Igfbp4
GSM2662228	Calb2.Vip.Igfbp4	Raihana	Calb2.Vip.Igfbp4
GSM2662317	Calb2.Vip.Igfbp4	Rayen	Calb2.Vip.Igfbp4
GSM2662328	Calb2.Vip.Igfbp4	Braxstyn	Calb2.Vip.Igfbp4
GSM2662627	Calb2.Vip.Igfbp4	Larissa	Calb2.Vip.Igfbp4
GSM2662722	Calb2.Vip.Igfbp4	Dharma	Calb2.Vip.Igfbp4
GSM2662736	Calb2.Vip.Igfbp4	Kierston	Calb2.Vip.Igfbp4
GSM2662763	Calb2.Vip.Igfbp4	Elisei	Calb2.Vip.Igfbp4
GSM2662810	Calb2.Vip.Igfbp4	Lexa	Calb2.Vip.Igfbp4
GSM2663015	Calb2.Vip.Igfbp4	Melah	Calb2.Vip.Igfbp4
GSM2663020	Calb2.Vip.Igfbp4	Maxon	Calb2.Vip.Igfbp4
GSM2663223	Calb2.Vip.Igfbp4	Rossie	Calb2.Vip.Igfbp4
GSM2663230	Calb2.Vip.Igfbp4	Teron	Calb2.Vip.Igfbp4
GSM2663269	Calb2.Vip.Igfbp4	Yassin	Calb2.Vip.Igfbp4
GSM2663342	Calb2.Vip.Igfbp4	Tailor	Calb2.Vip.Igfbp4
GSM2663363	Calb2.Vip.Igfbp4	Maral	Calb2.Vip.Igfbp4
GSM2663383	Calb2.Vip.Igfbp4	Varick	Calb2.Vip.Igfbp4
GSM2663455	Calb2.Vip.Igfbp4	Amaurie	Calb2.Vip.Igfbp4
GSM2663464	Calb2.Vip.Igfbp4	Kenenna	Calb2.Vip.Igfbp4
GSM2663507	Calb2.Vip.Igfbp4	Calimarie	Calb2.Vip.Igfbp4
GSM2663609	Calb2.Vip.Igfbp4	Indie	Calb2.Vip.Igfbp4
GSM2663618	Calb2.Vip.Igfbp4	Rohaan	Calb2.Vip.Igfbp4
GSM2659288	Calb2.Vip.Igfbp4	Juliocesar	Calb2.Vip.Igfbp4
GSM2661214	Calb2.Vip.Igfbp4	Mariem	Calb2.Vip.Igfbp4
GSM2661439	Calb2.Vip.Igfbp4	Brandom	Calb2.Vip.Igfbp4
GSM2662058	Calb2.Vip.Igfbp4	Yosif	Calb2.Vip.Igfbp4
GSM2662581	Calb2.Vip.Igfbp4	Gissele	Calb2.Vip.Igfbp4
GSM2663174	Calb2.Vip.Igfbp4	Hawraa	Calb2.Vip.Igfbp4
GSM2663471	Calb2.Vip.Igfbp4	Gracelin	Calb2.Vip.Igfbp4
GSM2663559	Calb2.Vip.Igfbp4	Jolina	Calb2.Vip.Igfbp4
GSM2663572	Calb2.Vip.Igfbp4	Brylei	Calb2.Vip.Igfbp4
GSM2660088	Calb2.Vip.Igfbp4	Annelee	Calb2.Vip.Igfbp4
GSM2662139	Calb2.Vip.Igfbp4	Maylah	Calb2.Vip.Igfbp4
GSM2662382	Calb2.Vip.Igfbp4	Antavius	Calb2.Vip.Igfbp4
GSM2656869	Calb2.Vip.Igfbp4	Almas	Calb2.Vip.Igfbp4
GSM2658258	Calb2.Vip.Gpd1	Kaylin	Calb2.Vip.Gpd1
GSM2658271	Calb2.Vip.Gpd1	Aralynne	Calb2.Vip.Gpd1
GSM2659142	Calb2.Vip.Gpd1	Hardy	Calb2.Vip.Gpd1
GSM2659302	Calb2.Vip.Gpd1	Iosefa	Calb2.Vip.Gpd1
GSM2659464	Calb2.Vip.Gpd1	Zamorion	Calb2.Vip.Gpd1
GSM2659526	Calb2.Vip.Gpd1	Elania	Calb2.Vip.Gpd1
GSM2659898	Calb2.Vip.Gpd1	Jarron	Calb2.Vip.Gpd1
GSM2660044	Calb2.Vip.Gpd1	Nassir	Calb2.Vip.Gpd1
GSM2660048	Calb2.Vip.Gpd1	Autumn	Calb2.Vip.Gpd1
GSM2660129	Calb2.Vip.Gpd1	Aubriee	Calb2.Vip.Gpd1
GSM2660265	Calb2.Vip.Gpd1	Nakiyah	Calb2.Vip.Gpd1
GSM2660273	Calb2.Vip.Gpd1	Aicen	Calb2.Vip.Gpd1
GSM2660301	Calb2.Vip.Gpd1	Schneur	Calb2.Vip.Gpd1
GSM2660974	Calb2.Vip.Gpd1	Ansh	Calb2.Vip.Gpd1
GSM2661223	Calb2.Vip.Gpd1	Arson	Calb2.Vip.Gpd1
GSM2661305	Calb2.Vip.Gpd1	Kayne	Calb2.Vip.Gpd1
GSM2661310	Calb2.Vip.Gpd1	Zuko	Calb2.Vip.Gpd1
GSM2661406	Calb2.Vip.Gpd1	Ha	Calb2.Vip.Gpd1
GSM2661554	Calb2.Vip.Gpd1	Esli	Calb2.Vip.Gpd1
GSM2661601	Calb2.Vip.Gpd1	Izella	Calb2.Vip.Gpd1
GSM2661695	Calb2.Vip.Gpd1	Daren	Calb2.Vip.Gpd1
GSM2662147	Calb2.Vip.Gpd1	Aireonna	Calb2.Vip.Gpd1
