Npas1	Sst	Layn	Ccna1	Kcng4	Ngf	Zcchc12	Coch	Reln	Cck	Pthlh	AW551984	Adamtsl5	Gabrd	Hbb-bs	Ctxn2	Erbb4	Syt2	Tac1	Lmo1	Qpct	Hba-a2	Gfra1	Parm1	Gm3488	F3	Rarres1	Tll1	Kcnip2	Hba-a1	Ndnf	Cdh8	Cdh12	Cox6a2	Fbln5	Doc2a	Tmem91	Cnr1	Rpl3-ps1	Adcy2	Calca	Itpka	Clstn2	Scn3b	Cd55	Grik1	Gda	Galnt18	Moxd1	Hbb-bt	Nell1	Gm8281	Pnoc	Grm1	Lxn	Adm	Nrg1	Cdc42ep5	Eya1	Gm3164	Gh	Syt5	Igf1	Rgs6	Trpc3	Plch2	Adgrl2	Cntnap4	Wnt5b	Cav3	Chrm3	Pde1a	Bex4	Fam43a	Ajap1	Lrrn1	Gm3375	Synpr	Nudt17	Syt16	Trps1	Pparg	Grin3a	Kcnf1	Lin7a	Fstl5	Nnmt	Serpina12	Ralyl	Smtn	Npy	Plppr1	Egfl7	Klhl14	Cd36	Ramp2	A330070K13Rik	Caln1	Plpp4	Chrm2	
O24	O31	O32	O36	O39	O41	O44	O46	O47	O48	O49	O52	O54	O55	O56	O58	O60	O61	O62	O65	O66	O71	O73	O76	O78	O80	O87	O89	O90	O100	O102	O103	O104	O106	O109	O111	O113	O117	O125	O127	O128	O129	O130	O131	O132	O134	O135	O137	O141	O145	O147	O149	O151	O159	O160	O162	O164	O165	O171	O423	O427	O430	O433	O434	O435	O439	O440	O454	H2	H6	H9	H11	H12	H16	H20	H22	H26	H30	H31	H32	H33	H35	H38	H39	H42	H46	H48	H52	H53	H57	H60	Som5	Som6	Som7	Som9	Som11	Som14	Som17	Som43	Som45	Som47	Som48	Som105	Som109	Som115	Som116	Som124	Som126	Som127	Som128	Som131	Som134	Som137	Som138	
.Ngf.Naa20.Sst	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Sst	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Crip2	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Crip2	.Ngf.Crip2	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Sst	.Ngf.Naa20.Sst	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Crip2	.Ngf.Naa20.Sst	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Crip2	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Sst	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Crip2	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Crip2	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Sst	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Sst	.Ngf.Crip2	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Sst	.Ngf.Naa20.Kcng4.Zcchc12	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Kcng4.Pcdh17	.Ngf.Naa20.Sst	.Npas1.Hba-a2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Hba-a2	.Npas1.Hba-a2	.Npas1.Hba-a2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Hba-a2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Hba-a2	.Npas1.Hba-a2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Hba-a2	.Npas1.Hba-a2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Hba-a2	.Npas1.Hba-a2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Hba-a2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Pdss2	.Npas1.Hba-a2	.Npas1.Hba-a2	
-1.356329e+02	-1.894799e+02	7.929187e+01	-5.462944e+01	-1.010441e+02	-1.091818e+02	2.751658e+01	-3.323228e+01	-6.603496e+01	-1.636927e+02	-2.180617e+02	-1.274092e+02	-2.275306e+02	-2.463417e+02	-3.471480e+00	-1.437214e+02	-2.510620e+02	-1.771907e+02	-1.086629e+02	-1.421163e+01	-1.229209e+02	-1.709685e+02	-1.045142e+02	-1.902591e+02	6.384397e+01	-1.768213e+02	-8.785841e+01	-2.317419e+02	-1.990665e+02	-9.094318e+01	-3.835653e+01	-1.616628e+02	5.279062e+01	-5.068484e+01	-5.982422e+01	-8.050842e+01	-2.063488e+02	-1.999653e+02	-2.829390e+01	-1.072698e+02	-7.498754e+01	-7.915204e+01	1.596475e+02	-2.579359e+02	-1.961700e+02	1.201571e+01	-2.335148e+02	-2.168870e+02	-1.766938e+02	-6.290798e+01	-1.149813e+02	-1.634880e+02	2.108466e+01	-2.262339e+02	-1.354512e+02	-1.250225e+02	-9.396763e+01	-3.703667e+01	-1.257212e+02	-1.224768e+02	-6.568824e+01	-1.211576e+02	-2.124077e+02	-8.990273e+01	-1.014273e+02	-8.265592e+01	-6.249271e+01	-1.555869e+02	4.676649e+01	1.084276e+02	2.797925e+02	2.058405e+02	1.136034e+02	2.630185e+02	1.510231e+02	5.211462e+01	8.518283e+01	8.910841e+01	1.788156e+02	1.982844e+02	1.072504e+02	1.524751e+02	1.100794e+02	1.174810e+02	1.702664e+02	2.837601e+02	1.503721e+02	2.320925e+02	1.649543e+02	1.469019e+02	1.737656e+02	8.591992e+01	7.217622e+01	2.723163e+02	1.993204e+02	1.074709e+02	1.320940e+02	2.401444e+02	2.848124e+02	2.617428e+02	1.409753e+02	1.273840e+02	8.191441e+01	4.882585e+01	2.509026e+02	1.155902e+02	2.100540e+02	2.490508e+02	7.211171e+01	2.231026e+02	1.694914e+02	2.671202e+02	2.041539e+02	1.983052e+02	
-4.559437e+01	1.355442e+02	1.984689e+02	1.440945e+02	2.782851e+01	2.164905e+00	2.381538e+02	2.032572e+02	1.860496e+02	2.366057e+02	9.294958e+00	1.703504e+02	-1.824272e+01	3.366306e+01	1.902099e+02	1.287535e+02	-5.162094e+00	-1.661685e+01	2.914139e+02	2.662925e+02	-7.577371e+01	-7.768619e+01	8.401604e+01	-3.577275e+01	1.910311e+02	2.161861e+02	2.723178e+02	1.218983e+02	1.903435e+02	1.827194e+02	2.691527e+02	1.908917e+02	1.648348e+02	2.259250e+02	2.558151e+02	2.449644e+02	5.276083e+01	1.235478e+00	2.253780e+02	1.998329e+02	1.605319e+02	2.036577e+02	-2.812335e+02	-2.507437e+01	8.098426e+01	2.235578e+02	5.816611e+01	1.007658e+02	2.951692e+02	1.085159e+02	1.146868e+02	1.006054e+02	1.652396e+02	-5.944450e+01	6.965644e+01	9.866712e+01	1.360045e+02	6.640623e+01	1.471357e+02	3.551483e+01	1.577454e+01	2.272718e+02	-3.099773e+01	1.136422e+02	5.494645e+01	4.539949e+01	6.196068e+01	-4.478759e+01	-2.209939e+02	-1.941210e+02	-1.821440e+02	-6.585917e+01	-1.431198e+02	-8.323379e+01	-2.214541e+02	-2.710902e+02	-2.223920e+02	-2.581361e+02	-1.457339e+02	-1.036931e+02	-2.140228e+02	-1.781987e+02	-1.677143e+02	-2.419081e+02	-1.940758e+02	-1.293827e+02	-8.213196e+01	-9.292791e+01	-1.169904e+02	-1.556322e+02	-1.627285e+02	-1.747893e+02	-2.828659e+02	-6.647861e+01	-1.706734e+02	-1.033646e+02	-2.042418e+02	-2.076834e+02	-9.930111e+01	-1.906913e+02	-1.236972e+02	-1.799003e+02	-1.395522e+02	-1.617743e+02	-1.431077e+02	-2.830585e+02	-1.305757e+02	-4.955372e+01	-2.001743e+02	-5.057044e+01	-8.801576e+01	-1.553814e+02	-2.474444e+02	-2.187430e+02	
